UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.6196+/-0.0259,train_time: 0.00000+/-0.00000,test_time: 0.06985+/-0.00098), => aucs:0.5980833333333333-0.6126222222222223-0.5996666666666666-0.668922222222222-0.6189444444444445, train_times:0-0-0-0-0, test_times:0.0712760324589908-0.0691169417463243-0.06851678304374217-0.06976489573717118-0.07055129911750554, n_comp: -, -, space_sizes: |model_spaces: 974.41-972.49-975.562-974.794-977.098,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7265+/-0.0323,train_time: 0.00000+/-0.00000,test_time: 0.00428+/-0.00080), => aucs:0.7550000000000001-0.6816666666666666-0.7696222222222223-0.7219333333333331-0.7041666666666664, train_times:0-0-0-0-0, test_times:0.005862257909029722-0.003816357348114252-0.003909368813037872-0.004054578207433224-0.0037638788111507893, n_comp: -, -, space_sizes: |model_spaces: 163.997-162.557-163.853-166.061-162.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.0168,train_time: 0.00000+/-0.00000,test_time: 0.00462+/-0.00104), => aucs:0.7550000000000001-0.7216666666666669-0.7635555555555555-0.7688444444444442-0.7616666666666667, train_times:0-0-0-0-0, test_times:0.0066180359572172165-0.004121468961238861-0.00467613460496068-0.0038593078032135965-0.003845018055289984, n_comp: -, -, space_sizes: |model_spaces: 162.617-162.713-162.713-162.665-162.617,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8823+/-0.0159,train_time: 0.00000+/-0.00000,test_time: 0.00399+/-0.00032), => aucs:0.8719222222222222-0.8728722222222224-0.9137555555555558-0.8785722222222223-0.8742222222222222, train_times:0-0-0-0-0, test_times:0.004368029069155455-0.0041994951665401455-0.0034232803620398043-0.003978862054646015-0.00396302342414856, n_comp: -, -, space_sizes: |model_spaces: 46.267-47.259-43.288-45.771-43.784,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9637+/-0.0065,train_time: 0.00000+/-0.00000,test_time: 0.00337+/-0.00046), => aucs:0.9654666666666671-0.9538333333333331-0.9642111111111111-0.9738222222222221-0.9611888888888886, train_times:0-0-0-0-0, test_times:0.003911828622221947-0.0031596168875694273-0.0029170413501560686-0.002924785576760769-0.003946627303957939, n_comp: -, -, space_sizes: |model_spaces: 44.791-43.796-43.3-43.3-45.783,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8711+/-0.0248,train_time: 0.00000+/-0.00000,test_time: 0.00407+/-0.00054), => aucs:0.8755888888888889-0.8722833333333332-0.9068055555555553-0.8289833333333332-0.8720555555555555, train_times:0-0-0-0-0, test_times:0.0038872377946972845-0.003931698016822338-0.005124403350055218-0.003765728045254946-0.003650525864213705, n_comp: -, -, space_sizes: |model_spaces: 43.288-44.035-47.259-43.536-43.288,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9574+/-0.0080,train_time: 0.00000+/-0.00000,test_time: 0.00504+/-0.00037), => aucs:0.9686111111111115-0.9616000000000001-0.9447888888888892-0.9533444444444443-0.958622222222222, train_times:0-0-0-0-0, test_times:0.004299882892519235-0.005217990558594465-0.0052027816884219645-0.005206410493701697-0.005293953977525234, n_comp: -, -, space_sizes: |model_spaces: 47.271-47.271-47.271-47.271-47.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6485+/-0.0145,train_time: 0.00000+/-0.00000,test_time: 0.07628+/-0.00056), => aucs:0.6376111111111111-0.6670333333333331-0.6380111111111113-0.665388888888889-0.6346000000000002, train_times:0-0-0-0-0, test_times:0.07669854965060949-0.07680197553709149-0.07640707697719336-0.07628860883414745-0.07521915072575211, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.738-480.97-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4949+/-0.0314,train_time: 0.00000+/-0.00000,test_time: 0.00505+/-0.00129), => aucs:0.4889833333333334-0.5407555555555557-0.45066666666666666-0.47671111111111114-0.5172333333333333, train_times:0-0-0-0-0, test_times:0.007594487722963094-0.004433073103427887-0.004288305435329676-0.004119451157748699-0.004820069298148155, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.261-143.357-143.261,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
