Namespace(dataset='AECHO1_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-09 10:03:06')
***AECHO1_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.017712962348014116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015239305095747113, model_test_time: 0.002473657252267003
Total test time: 0.015280819963663816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01295828795991838, model_test_time: 0.0023225320037454367
Total test time: 0.015159285860136151 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012904216069728136, model_test_time: 0.0022550697904080153
Total test time: 0.015244451817125082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012991862837225199, model_test_time: 0.0022525889798998833
Total test time: 0.015171453123912215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012919346103444695, model_test_time: 0.0022521070204675198
Total test time: 0.015197675907984376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012935623992234468, model_test_time: 0.0022620519157499075
Total test time: 0.015275912825018167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012953158933669329, model_test_time: 0.002322753891348839
Total test time: 0.015133860986679792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012874939944595098, model_test_time: 0.002258921042084694
Total test time: 0.01522367401048541 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012961733853444457, model_test_time: 0.0022619401570409536
Total test time: 0.015207713935524225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012957697734236717, model_test_time: 0.002250016201287508
Total test time: 0.02127430960536003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017968100728467107, model_test_time: 0.0033062088768929243
Total test time: 0.02122284914366901 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017911566188558936, model_test_time: 0.003311282955110073
Total test time: 0.018919614609330893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666624774225056, model_test_time: 0.002253366867080331
Total test time: 0.015202044043689966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012950567062944174, model_test_time: 0.0022514769807457924
Total test time: 0.015240080654621124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012993528740480542, model_test_time: 0.002246551914140582
Total test time: 0.015160120092332363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012913457117974758, model_test_time: 0.002246662974357605
Total test time: 0.02125397906638682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018005453050136566, model_test_time: 0.0032485260162502527
Total test time: 0.021199497394263744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017971935216337442, model_test_time: 0.003227562177926302
Total test time: 0.02022406365722418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01797304884530604, model_test_time: 0.0022510148119181395
Total test time: 0.015213395934551954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012950474862009287, model_test_time: 0.0022629210725426674
***1_th repeat
Total test time: 0.015554699813947082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013288167770951986, model_test_time: 0.0022665320429950953
Total test time: 0.015148584265261889 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012901254231110215, model_test_time: 0.0022473300341516733
Total test time: 0.020638698479160666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017386321676895022, model_test_time: 0.003252376802265644
Total test time: 0.021157184848561883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01791430707089603, model_test_time: 0.0032428777776658535
Total test time: 0.02112390799447894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01786895701661706, model_test_time: 0.0032549509778618813
Total test time: 0.021174833178520203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017928473884239793, model_test_time: 0.00324635929428041
Total test time: 0.021140591939911246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01790404785424471, model_test_time: 0.0032365440856665373
Total test time: 0.021199963055551052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017960787983611226, model_test_time: 0.003239175071939826
Total test time: 0.02117764693684876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017930362839251757, model_test_time: 0.003247284097597003
Total test time: 0.021240406204015017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017986270133405924, model_test_time: 0.0032541360706090927
