Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='KJL-GMM(full)', time='2021-04-09 10:11:48')
***AECHO1_2020, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.024596468079835176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021114149130880833, model_test_time: 0.003482318948954344
Total test time: 0.021141611970961094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01781680714339018, model_test_time: 0.0033248048275709152
Total test time: 0.017890434712171555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015636750729754567, model_test_time: 0.0022536839824169874
Total test time: 0.015045562060549855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012791712069883943, model_test_time: 0.0022538499906659126
Total test time: 0.015125468838959932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0128218038007617, model_test_time: 0.0023036650381982327
Total test time: 0.02301337826065719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207024363335222, model_test_time: 0.0023109419271349907
Total test time: 0.020970447920262814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01773025281727314, model_test_time: 0.0032401951029896736
Total test time: 0.021059353835880756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017807380761951208, model_test_time: 0.0032519730739295483
Total test time: 0.01727446890436113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0149428800214082, model_test_time: 0.0023315888829529285
Total test time: 0.015013229800388217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012753897812217474, model_test_time: 0.002259331988170743
Total test time: 0.01512146764434874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012878098525106907, model_test_time: 0.0022433691192418337
Total test time: 0.015061246696859598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012806638842448592, model_test_time: 0.002254607854411006
Total test time: 0.0150513572152704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012792581226676702, model_test_time: 0.0022587759885936975
Total test time: 0.01513655949383974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012802860233932734, model_test_time: 0.0023336992599070072
Total test time: 0.014989711344242096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012734843185171485, model_test_time: 0.002254868159070611
Total test time: 0.0161502743139863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012935560196638107, model_test_time: 0.003214714117348194
Total test time: 0.021072723204270005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0178210090380162, model_test_time: 0.003251714166253805
Total test time: 0.021621746011078358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018374755047261715, model_test_time: 0.0032469909638166428
Total test time: 0.02111014910042286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01786973117850721, model_test_time: 0.0032404179219156504
Total test time: 0.021106075262650847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017859436105936766, model_test_time: 0.0032466391567140818
***1_th repeat
Total test time: 0.02064942056313157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018328034784644842, model_test_time: 0.0023213857784867287
Total test time: 0.014985509216785431 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012726344168186188, model_test_time: 0.002259165048599243
Total test time: 0.015176466200500727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01290626497939229, model_test_time: 0.0022702012211084366
Total test time: 0.015052098548039794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012801192933693528, model_test_time: 0.002250905614346266
Total test time: 0.019557002931833267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016318103997036815, model_test_time: 0.0032388989347964525
