Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-09 10:13:59')
***AECHO1_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018562033772468567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015122853685170412, model_test_time: 0.003439180087298155
Total test time: 0.01591320615261793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012712002033367753, model_test_time: 0.0032012041192501783
Total test time: 0.015889631118625402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012664780020713806, model_test_time: 0.0032248510979115963
Total test time: 0.01593355811201036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012712724972516298, model_test_time: 0.0032208331394940615
Total test time: 0.01581626385450363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012615152867510915, model_test_time: 0.003201110986992717
Total test time: 0.022224986692890525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017486558761447668, model_test_time: 0.004738427931442857
Total test time: 0.02215469116345048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017464725067839026, model_test_time: 0.004689966095611453
Total test time: 0.01933747879229486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016064443858340383, model_test_time: 0.0032730349339544773
Total test time: 0.015795358223840594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012593488208949566, model_test_time: 0.0032018700148910284
Total test time: 0.015805725706741214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012592930812388659, model_test_time: 0.0032127948943525553
Total test time: 0.015888208290562034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012673244113102555, model_test_time: 0.0032149641774594784
Total test time: 0.015777781838551164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01256426377221942, model_test_time: 0.003213518066331744
Total test time: 0.015837819315493107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012638281332328916, model_test_time: 0.0031995379831641912
Total test time: 0.015900855883955956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012631485937163234, model_test_time: 0.0032693699467927217
Total test time: 0.01727189659141004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012602004688233137, model_test_time: 0.004669891903176904
Total test time: 0.022222318686544895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017516631865873933, model_test_time: 0.004705686820670962
Total test time: 0.02212832192890346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017455152003094554, model_test_time: 0.0046731699258089066
Total test time: 0.022074100794270635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017462928779423237, model_test_time: 0.004611172014847398
Total test time: 0.022106431191787124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017505668103694916, model_test_time: 0.004600763088092208
Total test time: 0.020658448105677962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01745542883872986, model_test_time: 0.003203019266948104
***1_th repeat
Total test time: 0.01629852782934904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013187859673053026, model_test_time: 0.003110668156296015
Total test time: 0.01594927837140858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012856868095695972, model_test_time: 0.0030924102757126093
Total test time: 0.016073203179985285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012926794122904539, model_test_time: 0.0031464090570807457
Total test time: 0.022392444079741836 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017845956841483712, model_test_time: 0.004546487238258123
Total test time: 0.022367777535691857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017826809780672193, model_test_time: 0.004540967755019665
Total test time: 0.020637559238821268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01753218611702323, model_test_time: 0.0031053731217980385
Total test time: 0.015995129011571407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01288103498518467, model_test_time: 0.003114094026386738
Total test time: 0.01608499907888472 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012993514304980636, model_test_time: 0.003091484773904085
Total test time: 0.016011538915336132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012909868964925408, model_test_time: 0.0031016699504107237
Total test time: 0.048884034156799316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.04439958301372826, model_test_time: 0.004484451143071055
Total test time: 0.02240085112862289 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01784192002378404, model_test_time: 0.004558931104838848
Total test time: 0.022373927291482687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01779582933522761, model_test_time: 0.004578097956255078
Total test time: 0.022316334070637822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01775584719143808, model_test_time: 0.004560486879199743
Total test time: 0.04801322193816304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.04353778809309006, model_test_time: 0.004475433845072985
Total test time: 0.02222972526215017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01776795811019838, model_test_time: 0.00446176715195179
Total test time: 0.022327018668875098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017794494749978185, model_test_time: 0.0045325239188969135
Total test time: 0.022352577419951558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017816385254263878, model_test_time: 0.00453619216568768
Total test time: 0.022363314870744944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017749588005244732, model_test_time: 0.004613726865500212
Total test time: 0.02236260985955596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017841863678768277, model_test_time: 0.0045207461807876825
Total test time: 0.022350985324010253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01783088524825871, model_test_time: 0.004520100075751543
***2_th repeat
Total test time: 0.021586111979559064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017127492930740118, model_test_time: 0.004458619048818946
Total test time: 0.02215587696991861 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01772070094011724, model_test_time: 0.004435176029801369
Total test time: 0.022283873287960887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017862327164039016, model_test_time: 0.004421546123921871
Total test time: 0.02228028094395995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01784327207133174, model_test_time: 0.004437008872628212
Total test time: 0.022276706527918577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017771995393559337, model_test_time: 0.0045047111343592405
Total test time: 0.022321982076391578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017792939208447933, model_test_time: 0.0045290428679436445
Total test time: 0.02224807790480554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01774568296968937, model_test_time: 0.004502394935116172
Total test time: 0.02234196476638317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01783238397911191, model_test_time: 0.004509580787271261
Total test time: 0.022312261862680316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01782884798012674, model_test_time: 0.004483413882553577
Total test time: 0.022307299310341477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017841957276687026, model_test_time: 0.004465342033654451
