Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-09 10:00:28')
***AECHO1_2020, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.05246874480508268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.04911996400915086, model_test_time: 0.003348780795931816
Total test time: 0.015710635343566537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012521757278591394, model_test_time: 0.0031888780649751425
Total test time: 0.01567941508255899 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012493129121139646, model_test_time: 0.003186285961419344
Total test time: 0.015583398751914501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012408223701640964, model_test_time: 0.0031751750502735376
Total test time: 0.015672376612201333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01243570470251143, model_test_time: 0.0032366719096899033
Total test time: 0.01568428543396294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012414482422173023, model_test_time: 0.003269803011789918
Total test time: 0.021714957198128104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017134356079623103, model_test_time: 0.004580601118505001
Total test time: 0.02159447828307748 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01701247110031545, model_test_time: 0.004582007182762027
Total test time: 0.02167497738264501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017075692303478718, model_test_time: 0.004599285079166293
Total test time: 0.021677717100828886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01709556207060814, model_test_time: 0.004582155030220747
Total test time: 0.02167286491021514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017080376856029034, model_test_time: 0.004592488054186106
Total test time: 0.01619316008873284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012926784111186862, model_test_time: 0.0032663759775459766
Total test time: 0.015598601894453168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012417872902005911, model_test_time: 0.003180728992447257
Total test time: 0.01566626806743443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012483630096539855, model_test_time: 0.003182637970894575
Total test time: 0.01571787614375353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012529573170468211, model_test_time: 0.0031883029732853174
Total test time: 0.015718044014647603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012530924985185266, model_test_time: 0.0031871190294623375
Total test time: 0.015620953170582652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012428187066689134, model_test_time: 0.0031927661038935184
Total test time: 0.015706451144069433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012448334135115147, model_test_time: 0.0032581170089542866
Total test time: 0.019693640060722828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01509054098278284, model_test_time: 0.004603099077939987
Total test time: 0.02172593679279089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713426294736564, model_test_time: 0.004591673845425248
***1_th repeat
Total test time: 0.021853731013834476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017670565051957965, model_test_time: 0.004183165961876512
Total test time: 0.015408403938636184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012401057872921228, model_test_time: 0.0030073460657149553
Total test time: 0.015519640874117613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012484276900067925, model_test_time: 0.0030353639740496874
Total test time: 0.015370700974017382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012361706933006644, model_test_time: 0.0030089940410107374
Total test time: 0.033768948866054416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.029329715995118022, model_test_time: 0.004439232870936394
Total test time: 0.021995486691594124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01759669673629105, model_test_time: 0.004398789955303073
Total test time: 0.020025167847052217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016955286962911487, model_test_time: 0.00306988088414073
Total test time: 0.015365368220955133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012337282067164779, model_test_time: 0.0030280861537903547
Total test time: 0.015543399145826697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012523184064775705, model_test_time: 0.003020215081050992
Total test time: 0.015456644352525473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012445632135495543, model_test_time: 0.003011012217029929
Total test time: 0.021506219869479537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017078653909265995, model_test_time: 0.004427565960213542
Total test time: 0.021657736040651798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017148616025224328, model_test_time: 0.00450912001542747
Total test time: 0.02035267697647214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017132282024249434, model_test_time: 0.003220394952222705
Total test time: 0.015514455735683441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012478925986215472, model_test_time: 0.003035529749467969
Total test time: 0.01550156669691205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01249411073513329, model_test_time: 0.00300745596177876
Total test time: 0.015409813029691577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012385800946503878, model_test_time: 0.0030240120831876993
Total test time: 0.019878100138157606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015513790072873235, model_test_time: 0.004364310065284371
Total test time: 0.021535053849220276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017172206891700625, model_test_time: 0.0043628469575196505
Total test time: 0.021547999000176787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017150746192783117, model_test_time: 0.00439725280739367
Total test time: 0.021517221117392182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017066785134375095, model_test_time: 0.004450435983017087
***2_th repeat
Total test time: 0.022326311096549034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018118015956133604, model_test_time: 0.00420829514041543
Total test time: 0.0216911977622658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01747519988566637, model_test_time: 0.004215997876599431
Total test time: 0.021624422864988446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017379332100972533, model_test_time: 0.004245090764015913
Total test time: 0.01814988534897566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015272185206413269, model_test_time: 0.0028777001425623894
Total test time: 0.015503844944760203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012630552053451538, model_test_time: 0.0028732928913086653
Total test time: 0.015532102901488543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01260581100359559, model_test_time: 0.002926291897892952
Total test time: 0.01567802717909217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01267421804368496, model_test_time: 0.0030038091354072094
Total test time: 0.021729012951254845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017571326810866594, model_test_time: 0.00415768614038825
Total test time: 0.021661826875060797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017486901953816414, model_test_time: 0.004174924921244383
Total test time: 0.021760603180155158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017587697133421898, model_test_time: 0.00417290604673326
Total test time: 0.021685865940526128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01749694114550948, model_test_time: 0.004188924795016646
Total test time: 0.02169821714051068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017452608095481992, model_test_time: 0.0042456090450286865
