Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-09 10:09:10')
***AECHO1_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017582752276211977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013975715031847358, model_test_time: 0.0036070372443646193
Total test time: 0.014907988952472806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01156137092038989, model_test_time: 0.0033466180320829153
Total test time: 0.019743347074836493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0150033391546458, model_test_time: 0.004740007920190692
Total test time: 0.02044153236784041 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015703820157796144, model_test_time: 0.004737712210044265
Total test time: 0.020558455027639866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015762411057949066, model_test_time: 0.0047960439696908
Total test time: 0.014809621963649988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011447707889601588, model_test_time: 0.0033619140740484
Total test time: 0.014682605164125562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011384931160137057, model_test_time: 0.0032976740039885044
Total test time: 0.014992468059062958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011506428010761738, model_test_time: 0.00348604004830122
Total test time: 0.016576520167291164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011828826973214746, model_test_time: 0.004747693194076419
Total test time: 0.020489884074777365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015744282864034176, model_test_time: 0.004745601210743189
Total test time: 0.020419553387910128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015676655108109117, model_test_time: 0.004742898279801011
Total test time: 0.014674624893814325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01138494978658855, model_test_time: 0.0032896751072257757
Total test time: 0.014693624107167125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011420744005590677, model_test_time: 0.0032728801015764475
Total test time: 0.014762326143682003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011429522186517715, model_test_time: 0.0033328039571642876
Total test time: 0.014707420254126191 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011378228198736906, model_test_time: 0.003329192055389285
Total test time: 0.020404090406373143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01568895112723112, model_test_time: 0.004715139279142022
