Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-09 10:07:14')
***AECHO1_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020138166844844818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013846735935658216, model_test_time: 0.006291430909186602
Total test time: 0.017416552873328328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011411743937060237, model_test_time: 0.006004808936268091
Total test time: 0.017405163031071424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011401390889659524, model_test_time: 0.0060037721414119005
Total test time: 0.01750441873446107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01145490794442594, model_test_time: 0.006049510790035129
Total test time: 0.017456104047596455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011430686106905341, model_test_time: 0.0060254179406911135
Total test time: 0.01818434800952673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01146939117461443, model_test_time: 0.0067149568349123
Total test time: 0.024500149302184582 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015739485155791044, model_test_time: 0.008760664146393538
Total test time: 0.024505998706445098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015705243917182088, model_test_time: 0.00880075478926301
Total test time: 0.01738025713711977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011431891936808825, model_test_time: 0.0059483652003109455
Total test time: 0.017395014641806483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011469815857708454, model_test_time: 0.005925198784098029
Total test time: 0.01738408813253045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011453963117673993, model_test_time: 0.005930125014856458
Total test time: 0.02089027618058026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01209779898636043, model_test_time: 0.008792477194219828
Total test time: 0.024542741011828184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015748115023598075, model_test_time: 0.00879462598823011
Total test time: 0.024404261028394103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015762539114803076, model_test_time: 0.008641721913591027
Total test time: 0.017456680070608854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01152161112986505, model_test_time: 0.005935068940743804
Total test time: 0.017450291197746992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011505407048389316, model_test_time: 0.0059448841493576765
Total test time: 0.017440717900171876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011487018782645464, model_test_time: 0.005953699117526412
Total test time: 0.02450399985536933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015700762858614326, model_test_time: 0.008803236996755004
Total test time: 0.024539591977372766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015738892136141658, model_test_time: 0.008800699841231108
Total test time: 0.02450157213024795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015729853184893727, model_test_time: 0.008771718945354223
***1_th repeat
Total test time: 0.025469750864431262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016440649749711156, model_test_time: 0.009029101114720106
Total test time: 0.024972153827548027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016022773925215006, model_test_time: 0.008949379902333021
Total test time: 0.024905951227992773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01594345993362367, model_test_time: 0.008962491294369102
Total test time: 0.026728702941909432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017728304024785757, model_test_time: 0.009000398917123675
Total test time: 0.024949524784460664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015951256966218352, model_test_time: 0.008998267818242311
