Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-09 10:12:23')
***AECHO1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.47406785748898983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1703697964549065e-05, model_test_time: 0.4740561537910253
Total test time: 0.4352992498315871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3703946024179459e-05, model_test_time: 0.4352855458855629
Total test time: 0.4760070121847093 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.103733666241169e-05, model_test_time: 0.4759959748480469
Total test time: 0.4496829754207283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0591698810458183e-05, model_test_time: 0.44967238372191787
Total test time: 0.5350962525699288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1721393093466759e-05, model_test_time: 0.5350845311768353
Total test time: 0.44268418941646814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0628718882799149e-05, model_test_time: 0.44267356069758534
Total test time: 0.48942967294715345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0630115866661072e-05, model_test_time: 0.4894190428312868
Total test time: 0.5139825858641416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4035962522029877e-05, model_test_time: 0.5139685499016196
Total test time: 0.4753637691028416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.129484735429287e-05, model_test_time: 0.4753524742554873
Total test time: 0.5057914792560041 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1055264621973038e-05, model_test_time: 0.5057804239913821
Total test time: 0.5048953739460558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1186115443706512e-05, model_test_time: 0.5048841878306121
Total test time: 0.4758136491291225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0593095794320107e-05, model_test_time: 0.4758030560333282
Total test time: 0.5068583420943469 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1055963113904e-05, model_test_time: 0.506847286131233
Total test time: 0.47938305884599686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1148862540721893e-05, model_test_time: 0.47937190998345613
Total test time: 0.49709109286777675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4130957424640656e-05, model_test_time: 0.4970769619103521
Total test time: 0.5196686477866024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4962861314415932e-05, model_test_time: 0.519653684925288
Total test time: 0.5052130708936602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0871095582842827e-05, model_test_time: 0.5052021997980773
Total test time: 0.5330938249826431 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1443858966231346e-05, model_test_time: 0.5330823811236769
Total test time: 0.48757520294748247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1350959539413452e-05, model_test_time: 0.48756385198794305
Total test time: 0.5005626340862364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0685995221138e-05, model_test_time: 0.5005519480910152
***1_th repeat
Total test time: 0.443888942245394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0740244761109352e-05, model_test_time: 0.4438782020006329
Total test time: 0.47270050761289895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0407296940684319e-05, model_test_time: 0.47269010031595826
Total test time: 0.47319003101438284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0296003893017769e-05, model_test_time: 0.4731797350104898
Total test time: 0.5076898799743503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0296003893017769e-05, model_test_time: 0.5076795839704573
Total test time: 0.5072467408608645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1739786714315414e-05, model_test_time: 0.5072350010741502
Total test time: 0.506577574647963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.981682524085045e-06, model_test_time: 0.506567592965439
Total test time: 0.47546823415905237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.020403578877449e-05, model_test_time: 0.4754580301232636
Total test time: 0.4961721710860729 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5035970136523247e-05, model_test_time: 0.4961571351159364
Total test time: 0.47432294813916087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.057400368154049e-05, model_test_time: 0.47431237413547933
Total test time: 0.501006476348266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1185184121131897e-05, model_test_time: 0.5009952911641449
Total test time: 0.5024265521205962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.433398574590683e-05, model_test_time: 0.5024122181348503
Total test time: 0.47433143202215433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1388910934329033e-05, model_test_time: 0.47432004311122
Total test time: 0.5035695962142199 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.00000761449337e-05, model_test_time: 0.503559596138075
Total test time: 0.4767253326717764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.554903954267502e-06, model_test_time: 0.47671577776782215
Total test time: 0.48773012962192297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0463874787092209e-05, model_test_time: 0.4877196657471359
Total test time: 0.4985733339563012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4998950064182281e-05, model_test_time: 0.49855833500623703
Total test time: 0.5114068789407611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4702090993523598e-05, model_test_time: 0.5113921768497676
Total test time: 0.5360263108741492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1035939678549767e-05, model_test_time: 0.5360152749344707
Total test time: 0.5110487597994506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0684831067919731e-05, model_test_time: 0.5110380749683827
Total test time: 0.5000217454507947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.416727900505066e-05, model_test_time: 0.5000075781717896
***2_th repeat
Total test time: 0.5178500320762396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.472211442887783e-05, model_test_time: 0.5178353099618107
Total test time: 0.5352523699402809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0777963325381279e-05, model_test_time: 0.5352415919769555
Total test time: 0.5205060199368745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.401687040925026e-05, model_test_time: 0.5204920030664653
Total test time: 0.5208281620871276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.413002610206604e-05, model_test_time: 0.5208140320610255
Total test time: 0.5082991649396718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0760035365819931e-05, model_test_time: 0.5082884049043059
Total test time: 0.5059258178807795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0833842679858208e-05, model_test_time: 0.5059149840380996
Total test time: 0.5342604878824204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0536983609199524e-05, model_test_time: 0.5342499508988112
Total test time: 0.4754017216619104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0684831067919731e-05, model_test_time: 0.4753910368308425
Total test time: 0.5445936168543994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.06107909232378e-05, model_test_time: 0.5445830060634762
Total test time: 0.44513291609473526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0612187907099724e-05, model_test_time: 0.44512230390682817
Total test time: 0.4727474187966436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0591931641101837e-05, model_test_time: 0.4727368268650025
Total test time: 0.5058405068702996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.133396290242672e-05, model_test_time: 0.5058291729073972
Total test time: 0.5053392229601741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0758871212601662e-05, model_test_time: 0.5053284640889615
Total test time: 0.542348301736638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0943040251731873e-05, model_test_time: 0.5423373586963862
Total test time: 0.47372389561496675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0499963536858559e-05, model_test_time: 0.4737133956514299
Total test time: 0.5334444011095911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0500894859433174e-05, model_test_time: 0.5334339002147317
Total test time: 0.5207498336676508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0500429198145866e-05, model_test_time: 0.5207393332384527
Total test time: 0.4522646248806268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4647841453552246e-05, model_test_time: 0.45224997703917325
