Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='OCSVM(rbf)', time='2021-04-09 10:07:32')
***AECHO1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4399408348836005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.044408418238163e-05, model_test_time: 0.4399303907994181
Total test time: 0.4447238219436258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0275980457663536e-05, model_test_time: 0.44471354596316814
Total test time: 0.4393704431131482 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0037096217274666e-05, model_test_time: 0.43936040601693094
Total test time: 0.4724473317619413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0609859600663185e-05, model_test_time: 0.47243672190234065
Total test time: 0.5036736407782882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0721851140260696e-05, model_test_time: 0.503662918927148
Total test time: 0.5417492738924921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4554942026734352e-05, model_test_time: 0.5417347189504653
Total test time: 0.4683241629973054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0703224688768387e-05, model_test_time: 0.4683134597726166
Total test time: 0.5007190890610218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5147030353546143e-05, model_test_time: 0.5007039420306683
Total test time: 0.5025530611164868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.92720015347004e-06, model_test_time: 0.5025431339163333
Total test time: 0.49369182670488954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4981720596551895e-05, model_test_time: 0.493676844984293
Total test time: 0.4718721101526171 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0333256796002388e-05, model_test_time: 0.4718617768958211
Total test time: 0.47345714340917766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0536052286624908e-05, model_test_time: 0.47344660735689104
Total test time: 0.5029392926953733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1147698387503624e-05, model_test_time: 0.5029281449969858
Total test time: 0.5029684028122574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0869931429624557e-05, model_test_time: 0.5029575328808278
Total test time: 0.47158548911102116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0963063687086105e-05, model_test_time: 0.4715745260473341
Total test time: 0.5200660568661988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0462943464517593e-05, model_test_time: 0.5200555939227343
