Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='KJL-OCSVM(linear)', time='2021-04-09 08:55:52')
***CTU1, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04596904804930091 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014511540066450834, model_test_time: 0.031457507982850075
Total test time: 0.043625118443742394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012215960305184126, model_test_time: 0.03140915813855827
Total test time: 0.04352097096852958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012232106877490878, model_test_time: 0.031288864091038704
Total test time: 0.043646005215123296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012203144142404199, model_test_time: 0.0314428610727191
Total test time: 0.04558952013030648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01217379397712648, model_test_time: 0.03341572615318
Total test time: 0.05445018224418163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017182464245706797, model_test_time: 0.037267717998474836
Total test time: 0.04487882973626256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013353508897125721, model_test_time: 0.03152532083913684
Total test time: 0.043649321887642145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012234736932441592, model_test_time: 0.03141458495520055
Total test time: 0.05352375702932477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017014153068885207, model_test_time: 0.03650960396043956
Total test time: 0.05339692463167012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01694120978936553, model_test_time: 0.03645571484230459
Total test time: 0.05382597236894071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017006227280944586, model_test_time: 0.036819745087996125
Total test time: 0.05437799752689898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0170264292974025, model_test_time: 0.03735156822949648
Total test time: 0.050775833893567324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017055133124813437, model_test_time: 0.033720700768753886
Total test time: 0.04353967495262623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012227347819134593, model_test_time: 0.031312327133491635
Total test time: 0.047532957745715976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012190717970952392, model_test_time: 0.035342239774763584
Total test time: 0.05416907696053386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017030467046424747, model_test_time: 0.03713860991410911
Total test time: 0.04367391439154744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012225109152495861, model_test_time: 0.03144880523905158
Total test time: 0.04375050403177738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012269143015146255, model_test_time: 0.031481361016631126
Total test time: 0.05259959073737264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012190644862130284, model_test_time: 0.04040894587524235
Total test time: 0.05823323014192283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012274218024685979, model_test_time: 0.04595901211723685
***1_th repeat
Total test time: 0.05453178915195167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01771311927586794, model_test_time: 0.03681866987608373
Total test time: 0.05415115039795637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717201923020184, model_test_time: 0.03697913116775453
Total test time: 0.04913086770102382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716007385402918, model_test_time: 0.03197079384699464
Total test time: 0.043798631988465786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012384289875626564, model_test_time: 0.03141434211283922
Total test time: 0.04934366000816226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012425991939380765, model_test_time: 0.036917668068781495
