Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='KJL-OCSVM(linear)', time='2021-04-09 08:51:07')
***CTU1, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.0455330740660429 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013852330856025219, model_test_time: 0.03168074321001768
Total test time: 0.04295272193849087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011540602892637253, model_test_time: 0.031412119045853615
Total test time: 0.04351169057190418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0115381577052176, model_test_time: 0.03197353286668658
Total test time: 0.05309396586380899 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015951248817145824, model_test_time: 0.037142717046663165
Total test time: 0.04744481039233506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016055710148066282, model_test_time: 0.031389100244268775
Total test time: 0.042702689534053206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011513269739225507, model_test_time: 0.0311894197948277
Total test time: 0.04286455735564232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011583157116547227, model_test_time: 0.03128140023909509
Total test time: 0.0426670063752681 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011520215077325702, model_test_time: 0.0311467912979424
Total test time: 0.04989064787514508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013056496856734157, model_test_time: 0.03683415101841092
Total test time: 0.06067615398205817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02242121985182166, model_test_time: 0.038254934130236506
Total test time: 0.05267131025902927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015954730100929737, model_test_time: 0.03671658015809953
Total test time: 0.053419680101796985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015980729134753346, model_test_time: 0.03743895096704364
Total test time: 0.05265184585005045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015999820781871676, model_test_time: 0.03665202506817877
Total test time: 0.05288880504667759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015929915942251682, model_test_time: 0.03695888910442591
Total test time: 0.05990144866518676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015959470765665174, model_test_time: 0.04394197789952159
Total test time: 0.051612628158181906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01591823110356927, model_test_time: 0.03569439705461264
Total test time: 0.042863982263952494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01155026932246983, model_test_time: 0.03131371294148266
Total test time: 0.04514291603118181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011520714964717627, model_test_time: 0.033622201066464186
Total test time: 0.05316559551283717 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016068469500169158, model_test_time: 0.037097126012668014
Total test time: 0.05321937194094062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016022302908822894, model_test_time: 0.037197069032117724
***1_th repeat
Total test time: 0.05219017085619271 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01793366903439164, model_test_time: 0.034256501821801066
Total test time: 0.043736556777730584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012447971850633621, model_test_time: 0.03128858492709696
Total test time: 0.04791118833236396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012513452209532261, model_test_time: 0.0353977361228317
Total test time: 0.054553860798478127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017397717805579305, model_test_time: 0.03715614299289882
Total test time: 0.054490919690579176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01746292063035071, model_test_time: 0.03702799906022847
Total test time: 0.0544852870516479 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017429383005946875, model_test_time: 0.03705590404570103
Total test time: 0.05414716503582895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01736832899041474, model_test_time: 0.03677883604541421
Total test time: 0.04371248302049935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012501730117946863, model_test_time: 0.031210752902552485
Total test time: 0.04394823778420687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01248032390139997, model_test_time: 0.0314679138828069
Total test time: 0.054157038452103734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017287480179220438, model_test_time: 0.036869558272883296
Total test time: 0.054010095074772835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017253851052373648, model_test_time: 0.03675624402239919
Total test time: 0.05396905820816755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01740986597724259, model_test_time: 0.036559192230924964
Total test time: 0.05370385921560228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017333829076960683, model_test_time: 0.036370030138641596
Total test time: 0.06284523825161159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.025708761299028993, model_test_time: 0.0371364769525826
Total test time: 0.05326033290475607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017417475813999772, model_test_time: 0.0358428570907563
Total test time: 0.04395673470571637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012489654822275043, model_test_time: 0.03146707988344133
Total test time: 0.044510984094813466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012554598972201347, model_test_time: 0.03195638512261212
Total test time: 0.054054223001003265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01736295805312693, model_test_time: 0.036691264947876334
Total test time: 0.051220690831542015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015628810971975327, model_test_time: 0.03559187985956669
Total test time: 0.04389607207849622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012607062235474586, model_test_time: 0.03128900984302163
***2_th repeat
Total test time: 0.05344192171469331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016449756920337677, model_test_time: 0.03699216479435563
Total test time: 0.05071348021738231 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679098908789456, model_test_time: 0.03392249112948775
Total test time: 0.043338027549907565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012082497822120786, model_test_time: 0.03125552972778678
Total test time: 0.04809570126235485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012079553212970495, model_test_time: 0.036016148049384356
Total test time: 0.05366708291694522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01675697322934866, model_test_time: 0.03691010968759656
Total test time: 0.05367208342067897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016846173210069537, model_test_time: 0.036825910210609436
Total test time: 0.05369632295332849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679587783291936, model_test_time: 0.03690044512040913
Total test time: 0.054025798104703426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016817952040582895, model_test_time: 0.03720784606412053
Total test time: 0.05364299286156893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016867636935785413, model_test_time: 0.036775355925783515
Total test time: 0.053548122057691216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016833080910146236, model_test_time: 0.03671504114754498
Total test time: 0.05373637890443206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01676017581485212, model_test_time: 0.03697620308957994
Total test time: 0.054017408983781934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01680856291204691, model_test_time: 0.037208846071735024
Total test time: 0.0539057448040694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01686256192624569, model_test_time: 0.03704318287782371
Total test time: 0.05384765542112291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01690545119345188, model_test_time: 0.03694220422767103
Total test time: 0.053955298848450184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016785582760348916, model_test_time: 0.03716971608810127
Total test time: 0.05384291312657297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679415605030954, model_test_time: 0.03704875707626343
Total test time: 0.06867785169743001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016876376699656248, model_test_time: 0.051801474997773767
Total test time: 0.04345660004764795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012081905966624618, model_test_time: 0.031374694081023335
Total test time: 0.04434156185016036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012057722080498934, model_test_time: 0.03228383976966143
Total test time: 0.053909078473225236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01694124611094594, model_test_time: 0.036967832362279296
***3_th repeat
Total test time: 0.05341849708929658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016517719021067023, model_test_time: 0.036900778068229556
Total test time: 0.06740615703165531 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015874194912612438, model_test_time: 0.05153196211904287
Total test time: 0.05301502486690879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015961729921400547, model_test_time: 0.03705329494550824
Total test time: 0.042880909284576774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011458270950242877, model_test_time: 0.0314226383343339
Total test time: 0.04295233404263854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01152767799794674, model_test_time: 0.0314246560446918
