Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-09 08:48:04')
***CTU1, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018194217002019286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014446854125708342, model_test_time: 0.0037473628763109446
Total test time: 0.015363502781838179 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011793634854257107, model_test_time: 0.003569867927581072
Total test time: 0.015378518030047417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011817466234788299, model_test_time: 0.003561051795259118
Total test time: 0.015424444107338786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011832670075818896, model_test_time: 0.00359177403151989
Total test time: 0.01542970584705472 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011830412084236741, model_test_time: 0.003599293762817979
Total test time: 0.015371799003332853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011823468143120408, model_test_time: 0.0035483308602124453
Total test time: 0.01704835402779281 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011942463926970959, model_test_time: 0.005105890100821853
Total test time: 0.02160273608751595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01649182802066207, model_test_time: 0.005110908066853881
Total test time: 0.021812622202560306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640851516276598, model_test_time: 0.005404107039794326
Total test time: 0.01937456289306283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015829453943297267, model_test_time: 0.003545108949765563
Total test time: 0.015394632006064057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01186043000780046, model_test_time: 0.0035342019982635975
Total test time: 0.015499424654990435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011907038744539022, model_test_time: 0.003592385910451412
Total test time: 0.016960984794422984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011780892964452505, model_test_time: 0.005180091829970479
Total test time: 0.021594754187390208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01642557024024427, model_test_time: 0.005169183947145939
Total test time: 0.02155153313651681 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016377256950363517, model_test_time: 0.005174276186153293
Total test time: 0.015679327305406332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212475635111332, model_test_time: 0.0035545709542930126
Total test time: 0.015446018194779754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011834375094622374, model_test_time: 0.00361164310015738
Total test time: 0.01547014806419611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011838336940854788, model_test_time: 0.003631811123341322
Total test time: 0.01535396440885961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011776430299505591, model_test_time: 0.003577534109354019
Total test time: 0.021566940704360604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016470199916511774, model_test_time: 0.00509674078784883
***1_th repeat
Total test time: 0.021242597373202443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017177703324705362, model_test_time: 0.004064894048497081
Total test time: 0.021075786091387272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060114070773125, model_test_time: 0.004015672020614147
Total test time: 0.021118080941960216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017018131911754608, model_test_time: 0.004099949030205607
Total test time: 0.021136488998308778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017087982734665275, model_test_time: 0.004048506263643503
Total test time: 0.01496200729161501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0122101791203022, model_test_time: 0.002751828171312809
Total test time: 0.01504804426804185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01230416027829051, model_test_time: 0.002743883989751339
Total test time: 0.015016637742519379 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012288233730942011, model_test_time: 0.0027284040115773678
Total test time: 0.016546752071008086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012591504957526922, model_test_time: 0.003955247113481164
Total test time: 0.02097630617208779 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01703177997842431, model_test_time: 0.003944526193663478
Total test time: 0.021031156880781054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017010336043313146, model_test_time: 0.004020820837467909
Total test time: 0.02113989507779479 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017117686104029417, model_test_time: 0.004022208973765373
Total test time: 0.021109672961756587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017084538005292416, model_test_time: 0.004025134956464171
Total test time: 0.02012443565763533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017177776666358113, model_test_time: 0.002946658991277218
Total test time: 0.01496736123226583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012233846122398973, model_test_time: 0.0027335151098668575
Total test time: 0.015099155716598034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012368214782327414, model_test_time: 0.0027309409342706203
Total test time: 0.015018323669210076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012273475993424654, model_test_time: 0.0027448476757854223
Total test time: 0.018710410920903087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014747126959264278, model_test_time: 0.003963283961638808
Total test time: 0.02100391616113484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017044760985299945, model_test_time: 0.003959155175834894
Total test time: 0.020977842388674617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01705111307092011, model_test_time: 0.003926729317754507
Total test time: 0.021019286941736937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017056594137102365, model_test_time: 0.003962692804634571
***2_th repeat
Total test time: 0.022002117708325386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016782396705821157, model_test_time: 0.0052197210025042295
Total test time: 0.018452360993251204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014849419938400388, model_test_time: 0.0036029410548508167
Total test time: 0.015492405276745558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011881409212946892, model_test_time: 0.003610996063798666
Total test time: 0.015698493691161275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01200912892818451, model_test_time: 0.0036893647629767656
Total test time: 0.015645642299205065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0119511301163584, model_test_time: 0.0036945121828466654
Total test time: 0.021748861065134406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016553085995838046, model_test_time: 0.00519577506929636
Total test time: 0.02172682830132544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016521328128874302, model_test_time: 0.0052055001724511385
Total test time: 0.020114748738706112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016503901919350028, model_test_time: 0.003610846819356084
Total test time: 0.01557686715386808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011961112031713128, model_test_time: 0.003615755122154951
Total test time: 0.015630568843334913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011953259818255901, model_test_time: 0.003677309025079012
Total test time: 0.015601181657984853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011932574911043048, model_test_time: 0.003668606746941805
Total test time: 0.02188463998027146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016659529879689217, model_test_time: 0.005225110100582242
Total test time: 0.021823733113706112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660615997388959, model_test_time: 0.005217573139816523
Total test time: 0.0387743825558573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03351781168021262, model_test_time: 0.005256570875644684
Total test time: 0.021869083866477013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663804892450571, model_test_time: 0.005231034941971302
Total test time: 0.021894804434850812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016625529620796442, model_test_time: 0.00526927481405437
Total test time: 0.021871545119211078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016646343050524592, model_test_time: 0.005225202068686485
Total test time: 0.021864045644178987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016630306839942932, model_test_time: 0.005233738804236054
Total test time: 0.02180128823965788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01659764116629958, model_test_time: 0.005203647073358297
Total test time: 0.02181513817049563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016598288202658296, model_test_time: 0.005216849967837334
***3_th repeat
Total test time: 0.021100709913298488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016928838100284338, model_test_time: 0.00417187181301415
Total test time: 0.015328946057707071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012298197252675891, model_test_time: 0.0030307488050311804
Total test time: 0.015229042153805494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012205755105242133, model_test_time: 0.003023287048563361
Total test time: 0.01528265024535358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01221793913282454, model_test_time: 0.0030647111125290394
Total test time: 0.01865670597180724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014275782741606236, model_test_time: 0.004380923230201006
Total test time: 0.021348666865378618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016986242961138487, model_test_time: 0.004362423904240131
Total test time: 0.02130687329918146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016939208144322038, model_test_time: 0.004367665154859424
Total test time: 0.021312465891242027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016950763761997223, model_test_time: 0.004361702129244804
Total test time: 0.021301020169630647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01694067008793354, model_test_time: 0.004360350081697106
Total test time: 0.021340596256777644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016964783193543553, model_test_time: 0.004375813063234091
Total test time: 0.021393721690401435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017019371734932065, model_test_time: 0.00437434995546937
Total test time: 0.021306241862475872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016948113916441798, model_test_time: 0.004358127946034074
Total test time: 0.021292390767484903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692039263434708, model_test_time: 0.004371998133137822
Total test time: 0.021336186211556196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01697911391966045, model_test_time: 0.004357072291895747
Total test time: 0.021362261148169637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016964689129963517, model_test_time: 0.0043975720182061195
Total test time: 0.02137272316031158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016969299875199795, model_test_time: 0.004403423285111785
Total test time: 0.021355057833716273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016943300841376185, model_test_time: 0.004411756992340088
Total test time: 0.02132981875911355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691924687474966, model_test_time: 0.00441057188436389
