Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(diag)', time='2021-04-09 08:47:56')
***CTU1, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017183147370815277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014873253181576729, model_test_time: 0.0023098941892385483
Total test time: 0.014484483981505036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012345697032287717, model_test_time: 0.0021387869492173195
Total test time: 0.014380984008312225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012242660857737064, model_test_time: 0.002138323150575161
Total test time: 0.014346652664244175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01218642177991569, model_test_time: 0.0021602308843284845
Total test time: 0.01440841075964272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012259827926754951, model_test_time: 0.0021485828328877687
Total test time: 0.01434635603800416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012211827095597982, model_test_time: 0.0021345289424061775
Total test time: 0.014433446805924177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012236031703650951, model_test_time: 0.002197415102273226
Total test time: 0.014354541897773743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012223680038005114, model_test_time: 0.002130861859768629
Total test time: 0.014362801099196076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012225273065268993, model_test_time: 0.002137528033927083
Total test time: 0.014434077078476548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012243884149938822, model_test_time: 0.0021901929285377264
Total test time: 0.014360097469761968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220587581396103, model_test_time: 0.0021395098883658648
Total test time: 0.014375337399542332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012244124663993716, model_test_time: 0.0021312127355486155
Total test time: 0.014759865822270513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01221262477338314, model_test_time: 0.002547241048887372
Total test time: 0.014327541925013065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012180864810943604, model_test_time: 0.002146677114069462
Total test time: 0.015989414183422923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012903869850561023, model_test_time: 0.0030855443328619003
Total test time: 0.020139248808845878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01708072191104293, model_test_time: 0.003058526897802949
Total test time: 0.020068289013579488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016995614860206842, model_test_time: 0.0030726741533726454
Total test time: 0.014287986559793353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012147847563028336, model_test_time: 0.0021401389967650175
Total test time: 0.014391190139576793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012245681136846542, model_test_time: 0.0021455090027302504
Total test time: 0.014370744116604328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012240882962942123, model_test_time: 0.0021298611536622047
***1_th repeat
Total test time: 0.01486934395506978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012725557899102569, model_test_time: 0.0021437860559672117
Total test time: 0.020219100173562765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017089575296267867, model_test_time: 0.003129524877294898
Total test time: 0.020262376870959997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717740693129599, model_test_time: 0.0030849699396640062
Total test time: 0.020829420303925872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017751320265233517, model_test_time: 0.003078100038692355
Total test time: 0.020157989813014865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017077037831768394, model_test_time: 0.0030809519812464714
Total test time: 0.0204218162689358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017040445236489177, model_test_time: 0.003381371032446623
Total test time: 0.023802355164662004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020726866088807583, model_test_time: 0.0030754890758544207
Total test time: 0.020183285931125283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017103758873417974, model_test_time: 0.0030795270577073097
Total test time: 0.020208026515319943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017139018746092916, model_test_time: 0.003069007769227028
Total test time: 0.021487480029463768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01838865806348622, model_test_time: 0.0030988219659775496
Total test time: 0.02048161206766963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017413289984688163, model_test_time: 0.0030683220829814672
Total test time: 0.014301152201369405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012158736353740096, model_test_time: 0.0021424158476293087
