Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='Nystrom-GMM(diag)', time='2021-04-09 08:51:38')
***CTU1, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.032163752941414714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02942877495661378, model_test_time: 0.002734977984800935
Total test time: 0.014511928195133805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011980686103925109, model_test_time: 0.0025312420912086964
Total test time: 0.01446968805976212 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01192850200459361, model_test_time: 0.0025411860551685095
Total test time: 0.02028765482828021 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016617326997220516, model_test_time: 0.0036703278310596943
Total test time: 0.020289931213483214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01662238105200231, model_test_time: 0.0036675501614809036
Total test time: 0.017280702013522387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0147363122086972, model_test_time: 0.0025443898048251867
Total test time: 0.014476171229034662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011937596136704087, model_test_time: 0.002538575092330575
Total test time: 0.014501022174954414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011964299250394106, model_test_time: 0.0025367229245603085
Total test time: 0.01460625883191824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011999593814834952, model_test_time: 0.0026066650170832872
Total test time: 0.019397878786548972 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685130363330245, model_test_time: 0.002546575153246522
Total test time: 0.014549666317179799 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011926723178476095, model_test_time: 0.002622943138703704
Total test time: 0.01443516998551786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011902096215635538, model_test_time: 0.0025330737698823214
Total test time: 0.015072990907356143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011893762741237879, model_test_time: 0.003179228166118264
Total test time: 0.020220470847561955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016562216682359576, model_test_time: 0.0036582541652023792
Total test time: 0.020277618896216154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016568920807912946, model_test_time: 0.0037086980883032084
Total test time: 0.01677241502329707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014246247941628098, model_test_time: 0.002526167081668973
Total test time: 0.014427817892283201 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011899280129000545, model_test_time: 0.0025285377632826567
Total test time: 0.014587276382371783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01198770315386355, model_test_time: 0.002599573228508234
Total test time: 0.014501020312309265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011954631190747023, model_test_time: 0.0025463891215622425
Total test time: 0.014524038881063461 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011988999787718058, model_test_time: 0.0025350390933454037
***1_th repeat
Total test time: 0.014599683228880167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011751967249438167, model_test_time: 0.0028477159794420004
Total test time: 0.01430974924005568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011419754941016436, model_test_time: 0.0028899942990392447
Total test time: 0.01423004548996687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011405569734051824, model_test_time: 0.0028244757559150457
Total test time: 0.019790129037573934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015720030991360545, model_test_time: 0.0040700980462133884
Total test time: 0.01989781204611063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015827250899747014, model_test_time: 0.004070561146363616
Total test time: 0.019875590223819017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01575101213529706, model_test_time: 0.004124578088521957
Total test time: 0.019946365850046277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015810046810656786, model_test_time: 0.004136319039389491
Total test time: 0.020034051965922117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015900881960988045, model_test_time: 0.0041331700049340725
Total test time: 0.014266100246459246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011396049987524748, model_test_time: 0.002870050258934498
Total test time: 0.014201822690665722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011378087801858783, model_test_time: 0.002823734888806939
Total test time: 0.01419797190465033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0113837537355721, model_test_time: 0.002814218169078231
Total test time: 0.014343262882903218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011449808022007346, model_test_time: 0.002893454860895872
Total test time: 0.019889144226908684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015826713060960174, model_test_time: 0.00406243116594851
Total test time: 0.019852035213261843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015789864119142294, model_test_time: 0.004062171094119549
Total test time: 0.0198891069740057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015809287084266543, model_test_time: 0.004079819889739156
Total test time: 0.019944181898608804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015809641918167472, model_test_time: 0.004134539980441332
Total test time: 0.01997981104068458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015838010935112834, model_test_time: 0.004141800105571747
Total test time: 0.020024733850732446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015915879048407078, model_test_time: 0.004108854802325368
Total test time: 0.01994992117397487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01587463915348053, model_test_time: 0.004075282020494342
Total test time: 0.019939163234084845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015875695273280144, model_test_time: 0.004063467960804701
***2_th repeat
Total test time: 0.020191915100440383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01578460424207151, model_test_time: 0.004407310858368874
Total test time: 0.020429968368262053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01607430330477655, model_test_time: 0.004355665063485503
Total test time: 0.0204396890476346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016077448846772313, model_test_time: 0.0043622402008622885
Total test time: 0.020384021569043398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016033393563702703, model_test_time: 0.004350628005340695
Total test time: 0.0205026320181787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016129486029967666, model_test_time: 0.004373145988211036
