Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='Nystrom-GMM(full)', time='2021-04-09 08:49:46')
***CTU1, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.022942985873669386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014632220845669508, model_test_time: 0.008310765027999878
Total test time: 0.01999649521894753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011910651111975312, model_test_time: 0.008085844106972218
Total test time: 0.020019344752654433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01194479689002037, model_test_time: 0.008074547862634063
Total test time: 0.019991864217445254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011863318039104342, model_test_time: 0.008128546178340912
Total test time: 0.020063066156581044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011930297128856182, model_test_time: 0.008132769027724862
Total test time: 0.02841666410677135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016519272234290838, model_test_time: 0.011897391872480512
Total test time: 0.028416164219379425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656119734980166, model_test_time: 0.011854966869577765
Total test time: 0.02028906298801303 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012161422986537218, model_test_time: 0.008127640001475811
Total test time: 0.019975071074441075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01192717021331191, model_test_time: 0.008047900861129165
Total test time: 0.020126657327637076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01196159259416163, model_test_time: 0.008165064733475447
Total test time: 0.027002193965017796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01507813623175025, model_test_time: 0.011924057733267546
Total test time: 0.028459182009100914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016440496081486344, model_test_time: 0.01201868592761457
