Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-09 08:43:32')
***CTU1, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.02609815518371761 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02197783812880516, model_test_time: 0.004120317054912448
Total test time: 0.016108129173517227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012133864220231771, model_test_time: 0.003974264953285456
Total test time: 0.016013373853638768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012060588924214244, model_test_time: 0.003952784929424524
Total test time: 0.015914503717795014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012032811995595694, model_test_time: 0.003881691722199321
Total test time: 0.022482400061562657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016891150968149304, model_test_time: 0.005591249093413353
Total test time: 0.02253515599295497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016870261169970036, model_test_time: 0.005664894822984934
Total test time: 0.01786400144919753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013974900357425213, model_test_time: 0.003889101091772318
Total test time: 0.02286620601080358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018924994859844446, model_test_time: 0.003941211150959134
Total test time: 0.016078409738838673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012105755740776658, model_test_time: 0.003972653998062015
Total test time: 0.016076427418738604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012170846341177821, model_test_time: 0.0039055810775607824
Total test time: 0.016198500292375684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012288659112527966, model_test_time: 0.003909841179847717
Total test time: 0.01598546700552106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012076477985829115, model_test_time: 0.003908989019691944
Total test time: 0.016047131037339568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012109049828723073, model_test_time: 0.003938081208616495
Total test time: 0.022420531138777733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674165390431881, model_test_time: 0.005678877234458923
Total test time: 0.02254704595543444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01682152203284204, model_test_time: 0.0057255239225924015
Total test time: 0.020877083064988256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01690752198919654, model_test_time: 0.003969561075791717
Total test time: 0.016102428315207362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012149124406278133, model_test_time: 0.003953303908929229
Total test time: 0.01603555795736611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012141161132603884, model_test_time: 0.003894396824762225
Total test time: 0.016143388114869595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012239288073033094, model_test_time: 0.0039041000418365
Total test time: 0.0218861170578748 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016214295057579875, model_test_time: 0.005671822000294924
***1_th repeat
Total test time: 0.02270532096736133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017245698953047395, model_test_time: 0.005459622014313936
Total test time: 0.02093371096998453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718223700299859, model_test_time: 0.003751473966985941
Total test time: 0.016108279349282384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012348732445389032, model_test_time: 0.0037595469038933516
Total test time: 0.01620235200971365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012389675015583634, model_test_time: 0.0038126769941300154
Total test time: 0.016162296291440725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012331583304330707, model_test_time: 0.0038307129871100187
Total test time: 0.022443457040935755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017011721851304173, model_test_time: 0.005431735189631581
