Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-09 08:46:31')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.37963796174153686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0628020390868187e-05, model_test_time: 0.379627333721146
Total test time: 0.46119504794478416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4462973922491074e-05, model_test_time: 0.4611805849708617
Total test time: 0.4418483751360327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.024012453854084e-05, model_test_time: 0.44183813501149416
Total test time: 0.44576425291597843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4184042811393738e-05, model_test_time: 0.44575006887316704
Total test time: 0.4578201211988926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3906043022871017e-05, model_test_time: 0.4578062151558697
Total test time: 0.49447507015429437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4129094779491425e-05, model_test_time: 0.4944609410595149
Total test time: 0.4520526563283056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3705343008041382e-05, model_test_time: 0.45203895098529756
Total test time: 0.49693651497364044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0221032425761223e-05, model_test_time: 0.4969262939412147
Total test time: 0.4440622359979898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.020403578877449e-05, model_test_time: 0.444052031962201
Total test time: 0.5138884452171624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4333287253975868e-05, model_test_time: 0.5138741119299084
Total test time: 0.44059327500872314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1221738532185555e-05, model_test_time: 0.44058205327019095
Total test time: 0.4808814190328121 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0092044249176979e-05, model_test_time: 0.48087132698856294
Total test time: 0.4747193872462958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4407094568014145e-05, model_test_time: 0.4747049801517278
Total test time: 0.48474692925810814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0481104254722595e-05, model_test_time: 0.4847364481538534
Total test time: 0.49595072073861957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4109769836068153e-05, model_test_time: 0.4959366109687835
Total test time: 0.5119264898821712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4667166396975517e-05, model_test_time: 0.5119118227157742
Total test time: 0.5286434050649405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0740943253040314e-05, model_test_time: 0.5286326641216874
Total test time: 0.4419145788997412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3813842087984085e-05, model_test_time: 0.4419007650576532
Total test time: 0.4752189868595451 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1146767064929008e-05, model_test_time: 0.4752078400924802
Total test time: 0.4601261478383094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4315126463770866e-05, model_test_time: 0.46011183271184564
***1_th repeat
Total test time: 0.49105992424301803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.135328784584999e-05, model_test_time: 0.4910485709551722
