Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-09 10:26:13')
***DWSHR_WSHR_2020, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.019520467845723033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014397870982065797, model_test_time: 0.005122596863657236
Total test time: 0.016891976818442345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011916819959878922, model_test_time: 0.004975156858563423
Total test time: 0.02149325585924089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016246882965788245, model_test_time: 0.005246372893452644
Total test time: 0.019060071790590882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013021886814385653, model_test_time: 0.00603818497620523
Total test time: 0.023763385135680437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016483821906149387, model_test_time: 0.00727956322953105
Total test time: 0.023950620088726282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016662169247865677, model_test_time: 0.007288450840860605
Total test time: 0.023871085606515408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016622762894257903, model_test_time: 0.0072483227122575045
Total test time: 0.02374234818853438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016550523228943348, model_test_time: 0.007191824959591031
Total test time: 0.02389688091352582 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663302001543343, model_test_time: 0.007263860898092389
Total test time: 0.023897770093753934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016653205966576934, model_test_time: 0.007244564127177
Total test time: 0.023804661352187395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016560264164581895, model_test_time: 0.0072443971876055
Total test time: 0.01690564421005547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012001949129626155, model_test_time: 0.004903695080429316
Total test time: 0.016853553941473365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011951265158131719, model_test_time: 0.004902288783341646
Total test time: 0.016838885843753815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011918042786419392, model_test_time: 0.004920843057334423
Total test time: 0.02194926212541759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014649365097284317, model_test_time: 0.007299897028133273
Total test time: 0.02380160614848137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016577393049374223, model_test_time: 0.007224213099107146
Total test time: 0.023736216593533754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656274381093681, model_test_time: 0.007173472782596946
Total test time: 0.023813714971765876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016623149858787656, model_test_time: 0.00719056511297822
Total test time: 0.023942009080201387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666429708711803, model_test_time: 0.007277711993083358
Total test time: 0.023796143010258675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165906329639256, model_test_time: 0.007205510046333075
***1_th repeat
Total test time: 0.03088711784221232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01750251790508628, model_test_time: 0.01338459993712604
Total test time: 0.022334863198921084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01327625010162592, model_test_time: 0.009058613097295165
Total test time: 0.02125905710272491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012081706197932363, model_test_time: 0.009177350904792547
Total test time: 0.021086079999804497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011962691089138389, model_test_time: 0.009123388910666108
Total test time: 0.02866276283748448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01538851298391819, model_test_time: 0.013274249853566289
Total test time: 0.02993680816143751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656987424939871, model_test_time: 0.013366933912038803
Total test time: 0.02983827516436577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01647074706852436, model_test_time: 0.013367528095841408
