Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-OCSVM(linear)', time='2021-04-09 10:23:57')
***DWSHR_WSHR_2020, KJL-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.046120549784973264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014408336719498038, model_test_time: 0.031712213065475225
Total test time: 0.04356859088875353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01213659392669797, model_test_time: 0.031431996962055564
Total test time: 0.04373068199492991 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012079467298462987, model_test_time: 0.03165121469646692
Total test time: 0.043642982142046094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012158281169831753, model_test_time: 0.03148470097221434
Total test time: 0.05352914589457214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012134613236412406, model_test_time: 0.04139453265815973
Total test time: 0.05360036785714328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016884220065549016, model_test_time: 0.03671614779159427
Total test time: 0.054064670111984015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692186715081334, model_test_time: 0.03714280296117067
Total test time: 0.05408628238365054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016928535187616944, model_test_time: 0.0371577471960336
Total test time: 0.056954026920720935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01942534395493567, model_test_time: 0.037528682965785265
Total test time: 0.054217814933508635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01706316089257598, model_test_time: 0.037154654040932655
Total test time: 0.048394403187558055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016823797253891826, model_test_time: 0.03157060593366623
Total test time: 0.043469280237331986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012111984193325043, model_test_time: 0.031357296044006944
Total test time: 0.05186091223731637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014683645218610764, model_test_time: 0.037177267018705606
Total test time: 0.053271856624633074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016900571761652827, model_test_time: 0.03637128486298025
Total test time: 0.043738755164667964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012174742063507438, model_test_time: 0.031564013101160526
Total test time: 0.04593340726569295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012241499964147806, model_test_time: 0.03369190730154514
Total test time: 0.05412600375711918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017016328871250153, model_test_time: 0.037109674885869026
Total test time: 0.05404069018550217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017054883064702153, model_test_time: 0.03698580712080002
Total test time: 0.05404515308327973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016972088953480124, model_test_time: 0.037073064129799604
Total test time: 0.05418538860976696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016954050865024328, model_test_time: 0.03723133774474263
***1_th repeat
Total test time: 0.054292424116283655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017489705001935363, model_test_time: 0.03680271911434829
Total test time: 0.051310700830072165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016975570004433393, model_test_time: 0.03433513082563877
Total test time: 0.04349150089547038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01215470489114523, model_test_time: 0.03133679600432515
Total test time: 0.047879395773634315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012172112939879298, model_test_time: 0.035707282833755016
Total test time: 0.05427779396995902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01709777000360191, model_test_time: 0.03718002396635711
Total test time: 0.05446925410069525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017000921070575714, model_test_time: 0.03746833303011954
Total test time: 0.054434866178780794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017126770224422216, model_test_time: 0.03730809595435858
Total test time: 0.05462601128965616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716328924521804, model_test_time: 0.037462722044438124
Total test time: 0.0731186552438885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03597381408326328, model_test_time: 0.03714484116062522
