Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-09 10:24:37')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.05243848613463342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.048567116959020495, model_test_time: 0.0038713691756129265
Total test time: 0.01583096757531166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01213779766112566, model_test_time: 0.003693169914186001
Total test time: 0.015653600683435798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011947449762374163, model_test_time: 0.003706150921061635
Total test time: 0.015636287163943052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011928525054827332, model_test_time: 0.00370776210911572
Total test time: 0.015729248756542802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195693202316761, model_test_time: 0.0037723167333751917
Total test time: 0.015685305232182145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011916267219930887, model_test_time: 0.003769038012251258
Total test time: 0.015631692949682474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011932449880987406, model_test_time: 0.0036992430686950684
Total test time: 0.015797078143805265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012079243082553148, model_test_time: 0.003717835061252117
Total test time: 0.015658991876989603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011943858815357089, model_test_time: 0.003715133061632514
Total test time: 0.020858662435784936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015433441381901503, model_test_time: 0.005425221053883433
Total test time: 0.02205953816883266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016645391937345266, model_test_time: 0.005414146231487393
Total test time: 0.022144721820950508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667359471321106, model_test_time: 0.0054711271077394485
Total test time: 0.0220627598464489 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016635114792734385, model_test_time: 0.005427645053714514
Total test time: 0.02220570109784603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016638337168842554, model_test_time: 0.005567363929003477
Total test time: 0.017239765962585807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013471134938299656, model_test_time: 0.003768631024286151
Total test time: 0.015665492042899132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011958210961893201, model_test_time: 0.003707281081005931
Total test time: 0.015597253106534481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011888657230883837, model_test_time: 0.0037085958756506443
Total test time: 0.015737024834379554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011965821031481028, model_test_time: 0.003771203802898526
Total test time: 0.022011873312294483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01659059734083712, model_test_time: 0.005421275971457362
Total test time: 0.021971021313220263 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165335051715374, model_test_time: 0.005437516141682863
***1_th repeat
Total test time: 0.01755794626660645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0141819529235363, model_test_time: 0.0033759933430701494
Total test time: 0.015578417805954814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012212851084768772, model_test_time: 0.003365566721186042
Total test time: 0.0156183997169137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012254147790372372, model_test_time: 0.0033642519265413284
Total test time: 0.015593028161674738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012214759131893516, model_test_time: 0.0033782690297812223
Total test time: 0.021859544096514583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016923701157793403, model_test_time: 0.00493584293872118
Total test time: 0.02180786128155887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691675721667707, model_test_time: 0.004891104064881802
Total test time: 0.02182652521878481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0169367550406605, model_test_time: 0.004889770178124309
Total test time: 0.021768064005300403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016916386084631085, model_test_time: 0.004851677920669317
Total test time: 0.021803638199344277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691092294640839, model_test_time: 0.004892715252935886
Total test time: 0.021695510018616915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016806443920359015, model_test_time: 0.004889066098257899
Total test time: 0.021709361113607883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016874738270416856, model_test_time: 0.004834622843191028
Total test time: 0.01985905528999865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016442805295810103, model_test_time: 0.003416249994188547
Total test time: 0.01556728919968009 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012153649004176259, model_test_time: 0.003413640195503831
Total test time: 0.015512290876358747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012149390764534473, model_test_time: 0.003362900111824274
Total test time: 0.01563571230508387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012275294167920947, model_test_time: 0.003360418137162924
Total test time: 0.0218065632507205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01689864508807659, model_test_time: 0.0049079181626439095
Total test time: 0.021738341776654124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016834665089845657, model_test_time: 0.004903676686808467
Total test time: 0.021850210148841143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016926570096984506, model_test_time: 0.004923640051856637
Total test time: 0.031842709286138415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.026964198099449277, model_test_time: 0.004878511186689138
Total test time: 0.0217585654463619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685501728206873, model_test_time: 0.00490354816429317
***2_th repeat
Total test time: 0.022125482093542814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017215231200680137, model_test_time: 0.004910250892862678
Total test time: 0.021929505979642272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017056956887245178, model_test_time: 0.004872549092397094
Total test time: 0.022416751133278012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01749450108036399, model_test_time: 0.004922250052914023
Total test time: 0.02201661397702992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060566693544388, model_test_time: 0.004956047283485532
