Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-09 10:33:09')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01756203081458807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014628861797973514, model_test_time: 0.0029331690166145563
Total test time: 0.014960169093683362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012232792098075151, model_test_time: 0.0027273769956082106
Total test time: 0.015033352887257934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01230110484175384, model_test_time: 0.002732248045504093
Total test time: 0.014916245127096772 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012183719081804156, model_test_time: 0.002732526045292616
Total test time: 0.014947929885238409 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012160923797637224, model_test_time: 0.002787006087601185
Total test time: 0.01763415872119367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013573055854067206, model_test_time: 0.004061102867126465
Total test time: 0.02102592890150845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01702384208329022, model_test_time: 0.004002086818218231
Total test time: 0.0209754123352468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01696325116790831, model_test_time: 0.0040121611673384905
Total test time: 0.02097894763574004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016971842851489782, model_test_time: 0.004007104784250259
Total test time: 0.02105109393596649 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017024452099576592, model_test_time: 0.004026641836389899
Total test time: 0.020979539956897497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017039025900885463, model_test_time: 0.003940514056012034
Total test time: 0.020992374746128917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017035304801538587, model_test_time: 0.00395706994459033
Total test time: 0.020957244094461203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017013915348798037, model_test_time: 0.003943328745663166
Total test time: 0.020829321118071675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016888974234461784, model_test_time: 0.003940346883609891
Total test time: 0.02092307899147272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016991805052384734, model_test_time: 0.003931273939087987
Total test time: 0.02095254068262875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01701124873943627, model_test_time: 0.003941291943192482
Total test time: 0.020933171035721898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01697106403298676, model_test_time: 0.003962107002735138
Total test time: 0.02087258151732385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692197541706264, model_test_time: 0.003950606100261211
Total test time: 0.02097670710645616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017023045103996992, model_test_time: 0.0039536620024591684
Total test time: 0.020918578142300248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016948972130194306, model_test_time: 0.003969606012105942
***1_th repeat
Total test time: 0.0214704901445657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01757897506467998, model_test_time: 0.003891515079885721
Total test time: 0.01512834895402193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012442470993846655, model_test_time: 0.002685877960175276
Total test time: 0.014965224778279662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012287772726267576, model_test_time: 0.002677452052012086
Total test time: 0.015045093605294824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012296105735003948, model_test_time: 0.0027489878702908754
Total test time: 0.01625773124396801 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012306086951866746, model_test_time: 0.003951644292101264
Total test time: 0.021095445612445474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017108894884586334, model_test_time: 0.0039865507278591394
Total test time: 0.021172796143218875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017198949120938778, model_test_time: 0.003973847022280097
Total test time: 0.021103703882545233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017136190785095096, model_test_time: 0.003967513097450137
Total test time: 0.02795538678765297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.024062982760369778, model_test_time: 0.0038924040272831917
Total test time: 0.020999909844249487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017105654114857316, model_test_time: 0.003894255729392171
Total test time: 0.020940208109095693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017043285071849823, model_test_time: 0.0038969230372458696
Total test time: 0.02094011614099145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017033415148034692, model_test_time: 0.0039067009929567575
Total test time: 0.020859544165432453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016990083269774914, model_test_time: 0.0038694608956575394
Total test time: 0.026482348097488284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022549371235072613, model_test_time: 0.003932976862415671
Total test time: 0.02103976090438664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017154911998659372, model_test_time: 0.0038848489057272673
Total test time: 0.021060796221718192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716620707884431, model_test_time: 0.0038945891428738832
Total test time: 0.020974744111299515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017116338945925236, model_test_time: 0.003858405165374279
Total test time: 0.021015114150941372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713548693805933, model_test_time: 0.003879627212882042
Total test time: 0.021016391925513744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017120245844125748, model_test_time: 0.0038961460813879967
Total test time: 0.020257150987163186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01702037896029651, model_test_time: 0.0032367720268666744
***2_th repeat
Total test time: 0.014669806230813265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012141331331804395, model_test_time: 0.00252847489900887
Total test time: 0.014912188984453678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012380640022456646, model_test_time: 0.002531548961997032
Total test time: 0.01495674392208457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012379029067233205, model_test_time: 0.002577714854851365
Total test time: 0.018456900026649237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014745434978976846, model_test_time: 0.003711465047672391
Total test time: 0.02084748772904277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713774586096406, model_test_time: 0.0037097418680787086
Total test time: 0.020885969046503305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017152671236544847, model_test_time: 0.003733297809958458
Total test time: 0.020777435740455985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01704826788045466, model_test_time: 0.0037291678600013256
Total test time: 0.020860414719209075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01714917179197073, model_test_time: 0.003711242927238345
Total test time: 0.01960951858200133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017095117596909404, model_test_time: 0.0025144009850919247
Total test time: 0.014836228918284178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012320234905928373, model_test_time: 0.0025159940123558044
Total test time: 0.014861875912174582 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012296475935727358, model_test_time: 0.0025653999764472246
Total test time: 0.014798302669078112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012289215810596943, model_test_time: 0.0025090868584811687
Total test time: 0.019410597626119852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01569685456342995, model_test_time: 0.0037137430626899004
Total test time: 0.020831322064623237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017108839005231857, model_test_time: 0.0037224830593913794
Total test time: 0.020840507000684738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01708585792221129, model_test_time: 0.0037546490784734488
Total test time: 0.020922448951750994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017196429893374443, model_test_time: 0.0037260190583765507
Total test time: 0.02084321016445756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017216613981872797, model_test_time: 0.0036265961825847626
Total test time: 0.01847056462429464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015960793709382415, model_test_time: 0.002509770914912224
Total test time: 0.01487693190574646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01234917901456356, model_test_time: 0.0025277528911828995
Total test time: 0.014868392841890454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012288382975384593, model_test_time: 0.0025800098665058613
***3_th repeat
Total test time: 0.015217145904898643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012553432956337929, model_test_time: 0.0026637129485607147
Total test time: 0.020838303957134485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01704160077497363, model_test_time: 0.0037967031821608543
Total test time: 0.020924059906974435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017143430886790156, model_test_time: 0.0037806290201842785
Total test time: 0.02088861702941358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017129357205703855, model_test_time: 0.0037592598237097263
Total test time: 0.020881986478343606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01704154466278851, model_test_time: 0.0038404418155550957
Total test time: 0.021009835647419095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017147670965641737, model_test_time: 0.003862164681777358
Total test time: 0.021016482962295413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01709059812128544, model_test_time: 0.0039258848410099745
Total test time: 0.021036742022261024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017152985092252493, model_test_time: 0.0038837569300085306
Total test time: 0.021027021808549762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017135803122073412, model_test_time: 0.00389121868647635
Total test time: 0.021024004090577364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017160691088065505, model_test_time: 0.003863313002511859
Total test time: 0.03214730229228735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.028271972201764584, model_test_time: 0.003875330090522766
Total test time: 0.02107990882359445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017133523942902684, model_test_time: 0.003946384880691767
Total test time: 0.02093613357283175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017136689508333802, model_test_time: 0.0037994440644979477
Total test time: 0.020977800013497472 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017154745990410447, model_test_time: 0.0038230540230870247
Total test time: 0.021172683918848634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017207151977345347, model_test_time: 0.003965531941503286
Total test time: 0.02091220929287374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0171236724127084, model_test_time: 0.0037885368801653385
Total test time: 0.020967225078493357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017170041101053357, model_test_time: 0.0037971839774399996
Total test time: 0.020958892069756985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017168189166113734, model_test_time: 0.0037907029036432505
Total test time: 0.020995595026761293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017220372799783945, model_test_time: 0.0037752222269773483
Total test time: 0.021026222966611385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017238389933481812, model_test_time: 0.003787833033129573
***4_th repeat
Total test time: 0.020601625088602304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016783958999440074, model_test_time: 0.0038176660891622305
Total test time: 0.02093441318720579 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017149265157058835, model_test_time: 0.0037851480301469564
Total test time: 0.020904135890305042 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017126450780779123, model_test_time: 0.003777685109525919
Total test time: 0.02099576313048601 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017187356017529964, model_test_time: 0.003808407112956047
Total test time: 0.020867968909442425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017068042885512114, model_test_time: 0.003799926023930311
Total test time: 0.020859156968072057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017061952967196703, model_test_time: 0.003797204000875354
Total test time: 0.02113783312961459 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01735525904223323, model_test_time: 0.003782574087381363
Total test time: 0.020888800965622067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017103506019338965, model_test_time: 0.003785294946283102
Total test time: 0.020908948965370655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017136541893705726, model_test_time: 0.0037724070716649294
Total test time: 0.0209629840683192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715609710663557, model_test_time: 0.003806886961683631
Total test time: 0.020927542820572853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01712606195360422, model_test_time: 0.0038014808669686317
Total test time: 0.02099200477823615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017139839939773083, model_test_time: 0.003852164838463068
Total test time: 0.021023114677518606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713285781443119, model_test_time: 0.0038902568630874157
Total test time: 0.020978614455088973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01712637534365058, model_test_time: 0.0038522391114383936
Total test time: 0.021007057977840304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017155078938230872, model_test_time: 0.0038519790396094322
Total test time: 0.020963726798072457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017085154773667455, model_test_time: 0.0038785720244050026
Total test time: 0.020950857317075133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017092840280383825, model_test_time: 0.003858017036691308
Total test time: 0.020944911055266857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715504191815853, model_test_time: 0.003789869137108326
Total test time: 0.020969317760318518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017188780941069126, model_test_time: 0.0037805368192493916
Total test time: 0.021022409200668335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724644610658288, model_test_time: 0.003775963094085455
speedup/out/models_res/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/DWSHR_WSHR_2020-KJL-QS-init_GMM(diag).dat
