Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-09 10:22:43')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02177508478052914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014422225067391992, model_test_time: 0.00735285971313715
Total test time: 0.01918347948230803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011923284735530615, model_test_time: 0.007260194746777415
Total test time: 0.019083332968875766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011765880975872278, model_test_time: 0.007317451993003488
Total test time: 0.01905185356736183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011778381885960698, model_test_time: 0.0072734716814011335
Total test time: 0.019075428834185004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011821455787867308, model_test_time: 0.007253973046317697
Total test time: 0.021990173729136586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01184458495117724, model_test_time: 0.010145588777959347
Total test time: 0.027250767685472965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01648767595179379, model_test_time: 0.010763091733679175
Total test time: 0.02712319721467793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016439288156107068, model_test_time: 0.010683909058570862
Total test time: 0.027003643801435828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640030788257718, model_test_time: 0.010603335918858647
Total test time: 0.027099160943180323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01643747417256236, model_test_time: 0.010661686770617962
Total test time: 0.019163944525644183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011861028615385294, model_test_time: 0.007302915910258889
Total test time: 0.019008930074051023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011726754019036889, model_test_time: 0.0072821760550141335
Total test time: 0.019169573206454515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011827917071059346, model_test_time: 0.007341656135395169
Total test time: 0.026006723986938596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015262538101524115, model_test_time: 0.010744185885414481
Total test time: 0.026993033941835165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016367326956242323, model_test_time: 0.010625706985592842
Total test time: 0.023571652825921774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016073278849944472, model_test_time: 0.007498373975977302
Total test time: 0.020260288380086422 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012970038689672947, model_test_time: 0.007290249690413475
Total test time: 0.019091334892436862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011875046882778406, model_test_time: 0.007216288009658456
Total test time: 0.022561957128345966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011912936344742775, model_test_time: 0.010649020783603191
Total test time: 0.02713764109648764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01638451195321977, model_test_time: 0.01075312914326787
***1_th repeat
