Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(diag)', time='2021-04-09 10:19:41')
***DWSHR_WSHR_2020, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018933990271762013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01438656309619546, model_test_time: 0.004547427175566554
Total test time: 0.01599783985875547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011566871777176857, model_test_time: 0.004430968081578612
Total test time: 0.01594771002419293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011512687196955085, model_test_time: 0.0044350228272378445
Total test time: 0.015849712304770947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011410819133743644, model_test_time: 0.004438893171027303
Total test time: 0.01580617926083505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01145154214464128, model_test_time: 0.004354637116193771
Total test time: 0.015935935080051422 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011599705088883638, model_test_time: 0.004336229991167784
Total test time: 0.022212337935343385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015941452234983444, model_test_time: 0.0062708857003599405
Total test time: 0.022520239232107997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015933490125462413, model_test_time: 0.006586749106645584
Total test time: 0.022992820013314486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664793468080461, model_test_time: 0.006344885332509875
Total test time: 0.022433814825490117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016078170854598284, model_test_time: 0.006355643970891833
Total test time: 0.022487702779471874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610267092473805, model_test_time: 0.006385031854733825
Total test time: 0.02235246472992003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015986913815140724, model_test_time: 0.0063655509147793055
Total test time: 0.022513573756441474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01615618891082704, model_test_time: 0.006357384845614433
Total test time: 0.022474332945421338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016118355095386505, model_test_time: 0.006355977850034833
Total test time: 0.02236294699832797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016043301904574037, model_test_time: 0.006319645093753934
Total test time: 0.022280502133071423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015995560213923454, model_test_time: 0.006284941919147968
Total test time: 0.015864380169659853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011527428170666099, model_test_time: 0.004336951998993754
Total test time: 0.015924860257655382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011591612128540874, model_test_time: 0.004333248129114509
Total test time: 0.016043301206082106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01160538918338716, model_test_time: 0.004437912022694945
Total test time: 0.01942103379406035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013124221935868263, model_test_time: 0.006296811858192086
***1_th repeat
Total test time: 0.021605854853987694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016036154935136437, model_test_time: 0.005569699918851256
Total test time: 0.02154133701696992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015975878108292818, model_test_time: 0.005565458908677101
Total test time: 0.021612555719912052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016016596695408225, model_test_time: 0.005595959024503827
Total test time: 0.021631368901580572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01603387389332056, model_test_time: 0.005597495008260012
Total test time: 0.021683335304260254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016032636165618896, model_test_time: 0.005650699138641357
Total test time: 0.02166529535315931 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602159719914198, model_test_time: 0.005643698154017329
Total test time: 0.021613795775920153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015944710932672024, model_test_time: 0.005669084843248129
Total test time: 0.021641778759658337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015978709794580936, model_test_time: 0.0056630689650774
Total test time: 0.021681427024304867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016020301962271333, model_test_time: 0.005661125062033534
Total test time: 0.038961270824074745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03341629193164408, model_test_time: 0.005544978892430663
Total test time: 0.021566390991210938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015985690988600254, model_test_time: 0.0055807000026106834
Total test time: 0.019785231910645962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01592793478630483, model_test_time: 0.0038572971243411303
