Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-09 10:24:08')
***DWSHR_WSHR_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.05806003604084253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02046954003162682, model_test_time: 0.03759049600921571
Total test time: 0.05460665933787823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01702171820215881, model_test_time: 0.03758494113571942
Total test time: 0.049089681124314666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01694938587024808, model_test_time: 0.032140295254066586
Total test time: 0.044195316499099135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01213255780749023, model_test_time: 0.032062758691608906
Total test time: 0.04411448584869504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012137650046497583, model_test_time: 0.031976835802197456
Total test time: 0.04436585190705955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012196501949802041, model_test_time: 0.03216934995725751
Total test time: 0.05359184788540006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016067221062257886, model_test_time: 0.03752462682314217
Total test time: 0.0526025400031358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691444288007915, model_test_time: 0.03568809712305665
Total test time: 0.044242947828024626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012162983883172274, model_test_time: 0.03207996394485235
Total test time: 0.047766879899427295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012257517781108618, model_test_time: 0.03550936211831868
Total test time: 0.054240573197603226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016960385022684932, model_test_time: 0.037280188174918294
Total test time: 0.054196574026718736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016979680163785815, model_test_time: 0.03721689386293292
Total test time: 0.054285776102915406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016962774097919464, model_test_time: 0.03732300200499594
Total test time: 0.054336125031113625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017032271018251777, model_test_time: 0.03730385401286185
Total test time: 0.044401997001841664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01220274087972939, model_test_time: 0.032199256122112274
Total test time: 0.04480769205838442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012227667029947042, model_test_time: 0.032580025028437376
Total test time: 0.04431616608053446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012237331829965115, model_test_time: 0.032078834250569344
Total test time: 0.06184214912354946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02660663309507072, model_test_time: 0.03523551602847874
Total test time: 0.05454303021542728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016985218040645123, model_test_time: 0.03755781217478216
Total test time: 0.05468434328213334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01707134721800685, model_test_time: 0.03761299606412649
***1_th repeat
Total test time: 0.06307745282538235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017302098916843534, model_test_time: 0.04577535390853882
Total test time: 0.05484196776524186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01695386692881584, model_test_time: 0.03788810083642602
Total test time: 0.054262683959677815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016991198994219303, model_test_time: 0.03727148496545851
Total test time: 0.048463806277140975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01698966114781797, model_test_time: 0.031474145129323006
Total test time: 0.04384893481619656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012170111062005162, model_test_time: 0.0316788237541914
Total test time: 0.051189816324040294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01400364306755364, model_test_time: 0.037186173256486654
Total test time: 0.054324794095009565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01707995613105595, model_test_time: 0.037244837963953614
Total test time: 0.05433214642107487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017087808344513178, model_test_time: 0.03724433807656169
Total test time: 0.0541445950511843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016950756078585982, model_test_time: 0.037193838972598314
Total test time: 0.054393141996115446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017097027972340584, model_test_time: 0.03729611402377486
Total test time: 0.05423533311113715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01706010615453124, model_test_time: 0.03717522695660591
Total test time: 0.054112892132252455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017034050077199936, model_test_time: 0.03707884205505252
Total test time: 0.05422755493782461 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017061085905879736, model_test_time: 0.03716646903194487
Total test time: 0.054225945146754384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01698121801018715, model_test_time: 0.037244727136567235
Total test time: 0.05442847823724151 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01698957127518952, model_test_time: 0.03743890696205199
Total test time: 0.054295944049954414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017000532941892743, model_test_time: 0.03729541110806167
Total test time: 0.054099408676847816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017106102779507637, model_test_time: 0.03699330589734018
Total test time: 0.05418805708177388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017033291049301624, model_test_time: 0.03715476603247225
Total test time: 0.05446530901826918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017023863969370723, model_test_time: 0.03744144504889846
Total test time: 0.07436842122115195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017059772973880172, model_test_time: 0.057308648247271776
***2_th repeat
Total test time: 0.054982516914606094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017487444914877415, model_test_time: 0.03749507199972868
Total test time: 0.05437421961687505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0170095507055521, model_test_time: 0.03736466891132295
Total test time: 0.06965666194446385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017072030110284686, model_test_time: 0.05258463183417916
Total test time: 0.054405327886343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017006086884066463, model_test_time: 0.03739924100227654
