Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-09 10:19:21')
***DWSHR_WSHR_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04565220605581999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014518283074721694, model_test_time: 0.031133922981098294
Total test time: 0.05302225216291845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012233060086145997, model_test_time: 0.04078919207677245
Total test time: 0.04603004804812372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012179782148450613, model_test_time: 0.033850265899673104
Total test time: 0.054162133019417524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017051093047484756, model_test_time: 0.03711103997193277
Total test time: 0.05441025737673044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017045204993337393, model_test_time: 0.03736505238339305
Total test time: 0.05190511397086084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060871236026287, model_test_time: 0.03484424273483455
Total test time: 0.04349896148778498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220968259498477, model_test_time: 0.031277993228286505
Total test time: 0.04382367734797299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012250227155163884, model_test_time: 0.031573450192809105
Total test time: 0.043830286245793104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012142302002757788, model_test_time: 0.031687984243035316
Total test time: 0.04862745013087988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012237930204719305, model_test_time: 0.036389519926160574
Total test time: 0.05375727266073227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017044889740645885, model_test_time: 0.036712382920086384
Total test time: 0.05611521610990167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.024900054093450308, model_test_time: 0.03121516201645136
Total test time: 0.046271395636722445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012786917854100466, model_test_time: 0.03348447778262198
Total test time: 0.054195983335375786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016998390201479197, model_test_time: 0.03719759313389659
Total test time: 0.05423570494167507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017044852953404188, model_test_time: 0.03719085198827088
Total test time: 0.05442010797560215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01701164897531271, model_test_time: 0.03740845900028944
