Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='KJL-GMM(diag)', time='2021-04-09 09:35:09')
***MACCDC1, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.04058970301412046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.038348917849361897, model_test_time: 0.002240785164758563
Total test time: 0.014491986017674208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012372493976727128, model_test_time: 0.0021194920409470797
Total test time: 0.014397172955796123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012269329046830535, model_test_time: 0.0021278439089655876
Total test time: 0.018578787334263325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015494741033762693, model_test_time: 0.0030840463005006313
Total test time: 0.020111975958570838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017027004854753613, model_test_time: 0.0030849711038172245
Total test time: 0.020351507468149066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718298369087279, model_test_time: 0.0031685237772762775
Total test time: 0.014492059126496315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012328346958383918, model_test_time: 0.002163712168112397
Total test time: 0.014369081240147352 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012244497193023562, model_test_time: 0.00212458404712379
Total test time: 0.014484821120277047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012366550974547863, model_test_time: 0.002118270145729184
Total test time: 0.015486093936488032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012414049822837114, model_test_time: 0.003072044113650918
Total test time: 0.020307176047936082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715153967961669, model_test_time: 0.003155636368319392
Total test time: 0.020200030179694295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01705204206518829, model_test_time: 0.0031479881145060062
Total test time: 0.01645420235581696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014315137173980474, model_test_time: 0.002139065181836486
Total test time: 0.014570853905752301 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012382159940898418, model_test_time: 0.002188693964853883
Total test time: 0.014458283083513379 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01233419799245894, model_test_time: 0.0021240850910544395
Total test time: 0.014470263849943876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012343105860054493, model_test_time: 0.0021271579898893833
Total test time: 0.02026595501229167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017181779956445098, model_test_time: 0.003084175055846572
Total test time: 0.02033924963325262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0172615188639611, model_test_time: 0.00307773076929152
Total test time: 0.019859368912875652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017218350898474455, model_test_time: 0.0026410180144011974
Total test time: 0.014388746581971645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0122580889146775, model_test_time: 0.0021306576672941446
***1_th repeat
Total test time: 0.014929531142115593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012788633117452264, model_test_time: 0.002140898024663329
Total test time: 0.01461764913983643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012426678091287613, model_test_time: 0.0021909710485488176
Total test time: 0.017828191863372922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014691499760374427, model_test_time: 0.003136692102998495
Total test time: 0.020392247941344976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01725201914086938, model_test_time: 0.0031402288004755974
Total test time: 0.020330989966169 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017265832982957363, model_test_time: 0.0030651569832116365
Total test time: 0.020342286443337798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01721579721197486, model_test_time: 0.003126489231362939
Total test time: 0.020302433287724853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017208482371643186, model_test_time: 0.003093950916081667
