Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-09 09:21:56')
***MACCDC1, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017708324128761888 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014516596216708422, model_test_time: 0.003191727912053466
Total test time: 0.015320728067308664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012266441015526652, model_test_time: 0.003054287051782012
Total test time: 0.015145194716751575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012164239771664143, model_test_time: 0.002980954945087433
Total test time: 0.015265746973454952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012272421969100833, model_test_time: 0.0029933250043541193
Total test time: 0.016494498355314136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012213571229949594, model_test_time: 0.004280927125364542
Total test time: 0.02132446924224496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017020506085827947, model_test_time: 0.004303963156417012
Total test time: 0.021291451063007116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016988561023026705, model_test_time: 0.0043028900399804115
Total test time: 0.01572757074609399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012739504687488079, model_test_time: 0.0029880660586059093
Total test time: 0.015257674269378185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012273831060156226, model_test_time: 0.002983843209221959
Total test time: 0.015145120909437537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012170295929536223, model_test_time: 0.0029748249799013138
Total test time: 0.015227340394631028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012242830358445644, model_test_time: 0.002984510036185384
Total test time: 0.021471244283020496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017070616129785776, model_test_time: 0.00440062815323472
