Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-09 09:30:21')
***MACCDC1, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017448347061872482 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014312304090708494, model_test_time: 0.003136042971163988
Total test time: 0.014839850133284926 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012046464020386338, model_test_time: 0.002793386112898588
Total test time: 0.014679054263979197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195542817004025, model_test_time: 0.0027236260939389467
Total test time: 0.015004475833848119 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012271515792235732, model_test_time: 0.0027329600416123867
Total test time: 0.014738017693161964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012006575940176845, model_test_time: 0.00273144175298512
Total test time: 0.014790015062317252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011976947076618671, model_test_time: 0.0028130679856985807
Total test time: 0.01467007165774703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011932982597500086, model_test_time: 0.0027370890602469444
Total test time: 0.020509819267317653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016571404179558158, model_test_time: 0.003938415087759495
Total test time: 0.020534391747787595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01659056986682117, model_test_time: 0.003943821880966425
Total test time: 0.018256018171086907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015477206092327833, model_test_time: 0.002778812078759074
Total test time: 0.02335361111909151 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020641613053157926, model_test_time: 0.002711998065933585
Total test time: 0.014705554582178593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011967983795329928, model_test_time: 0.0027375707868486643
Total test time: 0.014869014266878366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012054871302098036, model_test_time: 0.0028141429647803307
Total test time: 0.020662149414420128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0167209564242512, model_test_time: 0.003941192990168929
Total test time: 0.02063803910277784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671441993676126, model_test_time: 0.003923619166016579
Total test time: 0.020584966288879514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664168038405478, model_test_time: 0.003943285904824734
Total test time: 0.020580595126375556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016647531185299158, model_test_time: 0.003933063941076398
