Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-09 09:24:49')
***MACCDC1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.016917840112000704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014453190146014094, model_test_time: 0.0024646499659866095
Total test time: 0.014575556851923466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012251811800524592, model_test_time: 0.0023237450513988733
Total test time: 0.014493153197690845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012234498048201203, model_test_time: 0.002258655149489641
Total test time: 0.01451952219940722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012272034073248506, model_test_time: 0.0022474881261587143
Total test time: 0.02025373186916113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01701591187156737, model_test_time: 0.0032378199975937605
Total test time: 0.02040322870016098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0171656496822834, model_test_time: 0.0032375790178775787
Total test time: 0.020337101072072983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017086208099499345, model_test_time: 0.003250892972573638
Total test time: 0.014563392149284482 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012298126006498933, model_test_time: 0.002265266142785549
Total test time: 0.014619334833696485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01232893904671073, model_test_time: 0.002290395786985755
Total test time: 0.014479503966867924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01221727509982884, model_test_time: 0.0022622288670390844
Total test time: 0.014615129912272096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012355566956102848, model_test_time: 0.0022595629561692476
Total test time: 0.01455552177503705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012298810761421919, model_test_time: 0.0022567110136151314
Total test time: 0.014617870794609189 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012299865949898958, model_test_time: 0.002318004844710231
Total test time: 0.014550872845575213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012283921707421541, model_test_time: 0.0022669511381536722
Total test time: 0.019609671784564853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0162942239549011, model_test_time: 0.0033154478296637535
Total test time: 0.020489152055233717 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716809393838048, model_test_time: 0.003321058116853237
Total test time: 0.027200084179639816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02495707618072629, model_test_time: 0.0022430079989135265
Total test time: 0.01454287488013506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012293959967792034, model_test_time: 0.002248914912343025
Total test time: 0.014615092193707824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01228532730601728, model_test_time: 0.002329764887690544
Total test time: 0.014572447398677468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012303829425945878, model_test_time: 0.0022686179727315903
***1_th repeat
Total test time: 0.019261919893324375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015955601818859577, model_test_time: 0.003306318074464798
Total test time: 0.020478154066950083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715430011972785, model_test_time: 0.003323853947222233
Total test time: 0.020466985879465938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713629881851375, model_test_time: 0.0033306870609521866
Total test time: 0.0204860782250762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017157464986667037, model_test_time: 0.0033286132384091616
Total test time: 0.020453986944630742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017211649101227522, model_test_time: 0.00324233784340322
Total test time: 0.018628193298354745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636372320353985, model_test_time: 0.0022644700948148966
Total test time: 0.014531096909195185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012267273850739002, model_test_time: 0.0022638230584561825
Total test time: 0.014572355197742581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012276108143851161, model_test_time: 0.0022962470538914204
Total test time: 0.014525928534567356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012273958651348948, model_test_time: 0.0022519698832184076
Total test time: 0.014549170387908816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012285256292670965, model_test_time: 0.002263914095237851
Total test time: 0.014575059060007334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012283403892070055, model_test_time: 0.0022916551679372787
Total test time: 0.014525188133120537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01226719911210239, model_test_time: 0.0022579890210181475
Total test time: 0.014571614330634475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012306217104196548, model_test_time: 0.0022653972264379263
Total test time: 0.02044404298067093 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01711665210314095, model_test_time: 0.0033273908775299788
Total test time: 0.020491765113547444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017150836996734142, model_test_time: 0.003340928116813302
Total test time: 0.02057755901478231 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017253926023840904, model_test_time: 0.0033236329909414053
Total test time: 0.020498153055086732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715566893108189, model_test_time: 0.003342484124004841
Total test time: 0.0203539349604398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017105357022956014, model_test_time: 0.0032485779374837875
Total test time: 0.020424378104507923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716072508133948, model_test_time: 0.0032636530231684446
Total test time: 0.02042787685059011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017175094923004508, model_test_time: 0.003252781927585602
***2_th repeat
Total test time: 0.02088440302759409 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01763752894476056, model_test_time: 0.0032468740828335285
Total test time: 0.020513893803581595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017256759805604815, model_test_time: 0.00325713399797678
Total test time: 0.026882071746513247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.023613270604982972, model_test_time: 0.0032688011415302753
Total test time: 0.014680295949801803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01241652900353074, model_test_time: 0.002263766946271062
Total test time: 0.014645610703155398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012378437910228968, model_test_time: 0.0022671727929264307
Total test time: 0.014716313686221838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012400418752804399, model_test_time: 0.0023158949334174395
Total test time: 0.01458350196480751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012335401959717274, model_test_time: 0.0022481000050902367
Total test time: 0.020532042253762484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017281185602769256, model_test_time: 0.003250856650993228
Total test time: 0.02046461682766676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017212889855727553, model_test_time: 0.003251726971939206
Total test time: 0.02042726520448923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717259525321424, model_test_time: 0.003254669951274991
Total test time: 0.020405804039910436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017160003073513508, model_test_time: 0.003245800966396928
Total test time: 0.02052333764731884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01726394472643733, model_test_time: 0.0032593929208815098
Total test time: 0.01457450189627707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01231877296231687, model_test_time: 0.0022557289339601994
Total test time: 0.014638687949627638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012332995887845755, model_test_time: 0.0023056920617818832
Total test time: 0.014508038992062211 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01224349602125585, model_test_time: 0.0022645429708063602
Total test time: 0.014893773943185806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012416085926815867, model_test_time: 0.002477688016369939
Total test time: 0.020400285022333264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017158281058073044, model_test_time: 0.0032420039642602205
Total test time: 0.0204136548563838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017150669824332, model_test_time: 0.0032629850320518017
Total test time: 0.02050333796069026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017231814796105027, model_test_time: 0.0032715231645852327
Total test time: 0.020539151737466455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01725572277791798, model_test_time: 0.0032834289595484734
***3_th repeat
Total test time: 0.03257917193695903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.029325204901397228, model_test_time: 0.0032539670355618
Total test time: 0.020382360322400928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017141078365966678, model_test_time: 0.00324128195643425
Total test time: 0.020447005750611424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017182075884193182, model_test_time: 0.0032649298664182425
Total test time: 0.020388729171827435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017134929075837135, model_test_time: 0.0032538000959903
Total test time: 0.02038841531611979 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017132930224761367, model_test_time: 0.0032554850913584232
Total test time: 0.02040243288502097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017147261882200837, model_test_time: 0.003255171002820134
Total test time: 0.02044833987019956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017129336949437857, model_test_time: 0.0033190029207617044
Total test time: 0.02065740921534598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017328073270618916, model_test_time: 0.003329335944727063
Total test time: 0.02052329876460135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017188536934554577, model_test_time: 0.003334761830046773
Total test time: 0.020511633483693004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718585263006389, model_test_time: 0.0033257808536291122
Total test time: 0.020404470851644874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715259486809373, model_test_time: 0.0032518759835511446
Total test time: 0.014631464146077633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012356308987364173, model_test_time: 0.00227515515871346
Total test time: 0.014640462817624211 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012382585788145661, model_test_time: 0.00225787702947855
Total test time: 0.014613575069233775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01234953198581934, model_test_time: 0.0022640430834144354
Total test time: 0.015498963417485356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012355549028143287, model_test_time: 0.0031434143893420696
Total test time: 0.020482615800574422 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017154390923678875, model_test_time: 0.003328224876895547
Total test time: 0.020527616376057267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017222779104486108, model_test_time: 0.0033048372715711594
Total test time: 0.020535005955025554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017236779909580946, model_test_time: 0.0032982260454446077
Total test time: 0.020427155075594783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017186298966407776, model_test_time: 0.003240856109187007
Total test time: 0.020461432402953506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017207446275278926, model_test_time: 0.0032539861276745796
***4_th repeat
Total test time: 0.01964724319986999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01638494315557182, model_test_time: 0.003262300044298172
Total test time: 0.02041572891175747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017177983885630965, model_test_time: 0.003237745026126504
Total test time: 0.020518892910331488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017261222936213017, model_test_time: 0.003257669974118471
Total test time: 0.030983428936451674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02773477602750063, model_test_time: 0.003248652908951044
Total test time: 0.02038056426681578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01713450439274311, model_test_time: 0.003246059874072671
Total test time: 0.020311916945502162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017061060993000865, model_test_time: 0.003250855952501297
Total test time: 0.020330767845734954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017073967959731817, model_test_time: 0.0032567998860031366
Total test time: 0.020350933773443103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01708652195520699, model_test_time: 0.0032644118182361126
Total test time: 0.02034791698679328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0170454322360456, model_test_time: 0.0033024847507476807
Total test time: 0.020399913657456636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017036596778780222, model_test_time: 0.0033633168786764145
Total test time: 0.020445969188585877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017107744235545397, model_test_time: 0.0033382249530404806
Total test time: 0.020449856761842966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017215981846675277, model_test_time: 0.0032338749151676893
Total test time: 0.020298638148233294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017049096059054136, model_test_time: 0.003249542089179158
Total test time: 0.020434690872207284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017176409950479865, model_test_time: 0.003258280921727419
Total test time: 0.02038059919141233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017118836287409067, model_test_time: 0.0032617629040032625
Total test time: 0.015856530983000994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013533727964386344, model_test_time: 0.0023228030186146498
Total test time: 0.01446937583386898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01220846176147461, model_test_time: 0.002260914072394371
Total test time: 0.014559760922566056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012295013992115855, model_test_time: 0.002264746930450201
Total test time: 0.014550873078405857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012303884141147137, model_test_time: 0.0022469889372587204
Total test time: 0.020432525081560016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017197465058416128, model_test_time: 0.0032350600231438875
