Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-09 09:28:30')
***MACCDC1, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018236055737361312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014655316947028041, model_test_time: 0.003580738790333271
Total test time: 0.01578147686086595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012349643046036363, model_test_time: 0.003431833814829588
Total test time: 0.022087305085733533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017161539988592267, model_test_time: 0.004925765097141266
Total test time: 0.022339077200740576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01730729592964053, model_test_time: 0.005031781271100044
Total test time: 0.022293393267318606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017285593319684267, model_test_time: 0.005007799947634339
Total test time: 0.022311431355774403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017278742277994752, model_test_time: 0.005032689077779651
Total test time: 0.02228316804394126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017284720903262496, model_test_time: 0.004998447140678763
Total test time: 0.015906307147815824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012400864157825708, model_test_time: 0.003505442989990115
Total test time: 0.015992749948054552 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012533324072137475, model_test_time: 0.003459425875917077
Total test time: 0.015892473747953773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012407029746100307, model_test_time: 0.003485444001853466
Total test time: 0.01594739849679172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012468491215258837, model_test_time: 0.0034789072815328836
Total test time: 0.015775551786646247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012366679729893804, model_test_time: 0.0034088720567524433
Total test time: 0.015859272563830018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012456085765734315, model_test_time: 0.003403186798095703
Total test time: 0.015891196206212044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012501231161877513, model_test_time: 0.003389965044334531
Total test time: 0.022390259662643075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017440125811845064, model_test_time: 0.004950133850798011
Total test time: 0.022208801936358213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017256666906177998, model_test_time: 0.004952135030180216
Total test time: 0.022209302056580782 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017257353058084846, model_test_time: 0.004951948998495936
Total test time: 0.02222874714061618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017279168125241995, model_test_time: 0.004949579015374184
Total test time: 0.022306837141513824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017296147998422384, model_test_time: 0.00501068914309144
Total test time: 0.01588940084911883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012397123966366053, model_test_time: 0.003492276882752776
***1_th repeat
Total test time: 0.016259966883808374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012783799786120653, model_test_time: 0.0034761670976877213
Total test time: 0.015857567777857184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012417159741744399, model_test_time: 0.0034404080361127853
Total test time: 0.01971179898828268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014720035949721932, model_test_time: 0.004991763038560748
Total test time: 0.022181875770911574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017235722858458757, model_test_time: 0.004946152912452817
Total test time: 0.02217702497728169 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017230112105607986, model_test_time: 0.004946912871673703
Total test time: 0.022179061081260443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724148215726018, model_test_time: 0.004937578924000263
Total test time: 0.022299503907561302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017373757902532816, model_test_time: 0.004925746005028486
Total test time: 0.022348742932081223 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01731464802287519, model_test_time: 0.005034094909206033
Total test time: 0.022302929079160094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017264148918911815, model_test_time: 0.00503878016024828
Total test time: 0.022282652324065566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017257593339309096, model_test_time: 0.00502505898475647
Total test time: 0.015941269462928176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012467843247577548, model_test_time: 0.003473426215350628
Total test time: 0.015872438903898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012357050785794854, model_test_time: 0.0035153881181031466
Total test time: 0.015851844334974885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012454269221052527, model_test_time: 0.0033975751139223576
Total test time: 0.02005408820696175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015053659211844206, model_test_time: 0.005000428995117545
Total test time: 0.022324374644085765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01734786992892623, model_test_time: 0.004976504715159535
Total test time: 0.022212246200069785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017272111028432846, model_test_time: 0.004940135171636939
Total test time: 0.022202895022928715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017254149075597525, model_test_time: 0.00494874594733119
Total test time: 0.022246578242629766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01730818417854607, model_test_time: 0.004938394064083695
Total test time: 0.03735869866795838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.032361657824367285, model_test_time: 0.004997040843591094
Total test time: 0.022235614946112037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017302350839599967, model_test_time: 0.00493326410651207
***2_th repeat
Total test time: 0.02698179194703698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015472204890102148, model_test_time: 0.011509587056934834
Total test time: 0.02679731510579586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015365153085440397, model_test_time: 0.011432162020355463
Total test time: 0.027010551188141108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015510483179241419, model_test_time: 0.011500068008899689
Total test time: 0.026907054241746664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015353152994066477, model_test_time: 0.011553901247680187
Total test time: 0.026986236916854978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015437447931617498, model_test_time: 0.01154878898523748
Total test time: 0.026948514627292752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01543500181287527, model_test_time: 0.011513512814417481
Total test time: 0.026934014866128564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015424594981595874, model_test_time: 0.01150941988453269
Total test time: 0.036257851868867874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.024420494679361582, model_test_time: 0.011837357189506292
Total test time: 0.026955680921673775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015401483746245503, model_test_time: 0.011554197175428271
Total test time: 0.02703056880272925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01550288894213736, model_test_time: 0.011527679860591888
Total test time: 0.026839072117581964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015360837103798985, model_test_time: 0.011478235013782978
Total test time: 0.026958421804010868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015433872817084193, model_test_time: 0.011524548986926675
Total test time: 0.026974645210430026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015454929089173675, model_test_time: 0.011519716121256351
Total test time: 0.02302067168056965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015162099851295352, model_test_time: 0.007858571829274297
Total test time: 0.01908779493533075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011206796858459711, model_test_time: 0.007880998076871037
Total test time: 0.01898416574113071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011208758922293782, model_test_time: 0.007775406818836927
Total test time: 0.022278615040704608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011285166023299098, model_test_time: 0.01099344901740551
Total test time: 0.02706525521352887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01548163197003305, model_test_time: 0.011583623243495822
Total test time: 0.02704160730354488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015523557085543871, model_test_time: 0.011518050218001008
Total test time: 0.026867997366935015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015399040421471, model_test_time: 0.011468956945464015
***3_th repeat
Total test time: 0.023235705448314548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017260760068893433, model_test_time: 0.005974945379421115
Total test time: 0.023397166281938553 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017389462096616626, model_test_time: 0.006007704185321927
Total test time: 0.02342216414399445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01735805394127965, model_test_time: 0.006064110202714801
Total test time: 0.020548613741993904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640690676867962, model_test_time: 0.004141706973314285
Total test time: 0.01646961085498333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012388956965878606, model_test_time: 0.004080653889104724
Total test time: 0.016503996681421995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012424676911905408, model_test_time: 0.004079319769516587
Total test time: 0.016509569948539138 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012430103030055761, model_test_time: 0.0040794669184833765
Total test time: 0.023117892909795046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017189482925459743, model_test_time: 0.005928409984335303
Total test time: 0.02334101893939078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01730144419707358, model_test_time: 0.0060395747423172
Total test time: 0.023389592999592423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017290260177105665, model_test_time: 0.006099332822486758
Total test time: 0.02323657600209117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017220631008967757, model_test_time: 0.006015944993123412
Total test time: 0.023091801209375262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716287201270461, model_test_time: 0.0059289291966706514
Total test time: 0.023229613667353988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017228093929588795, model_test_time: 0.006001519737765193
Total test time: 0.023330778116360307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017301981803029776, model_test_time: 0.006028796313330531
Total test time: 0.039628149941563606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03357653901912272, model_test_time: 0.0060516109224408865
Total test time: 0.023389552952721715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017336830962449312, model_test_time: 0.006052721990272403
Total test time: 0.023315572645515203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01731394254602492, model_test_time: 0.006001630099490285
Total test time: 0.02312302403151989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017172540072351694, model_test_time: 0.005950483959168196
Total test time: 0.023171819746494293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017256390769034624, model_test_time: 0.005915428977459669
Total test time: 0.0233001671731472 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01728259213268757, model_test_time: 0.006017575040459633
***4_th repeat
Total test time: 0.018488716334104538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015159120317548513, model_test_time: 0.0033295960165560246
Total test time: 0.01885204017162323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015594850294291973, model_test_time: 0.003257189877331257
Total test time: 0.01889824471436441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01563166594132781, model_test_time: 0.003266578773036599
Total test time: 0.01890176092274487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015628571854904294, model_test_time: 0.003273189067840576
Total test time: 0.02305576577782631 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019808723824098706, model_test_time: 0.003247041953727603
Total test time: 0.018923503113910556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015648110071197152, model_test_time: 0.0032753930427134037
Total test time: 0.015839955070987344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013577725971117616, model_test_time: 0.002262229099869728
Total test time: 0.01370265195146203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011434626765549183, model_test_time: 0.0022680251859128475
Total test time: 0.013662261888384819 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011339441873133183, model_test_time: 0.0023228200152516365
Total test time: 0.013598653953522444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011338386917486787, model_test_time: 0.002260267036035657
Total test time: 0.018452011747285724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015074491733685136, model_test_time: 0.003377520013600588
Total test time: 0.0191879419144243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015919658821076155, model_test_time: 0.0032682830933481455
Total test time: 0.018869151826947927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015620592050254345, model_test_time: 0.0032485597766935825
Total test time: 0.018983130110427737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015700700227171183, model_test_time: 0.0032824298832565546
Total test time: 0.019043666776269674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015712348744273186, model_test_time: 0.0033313180319964886
Total test time: 0.019111756701022387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015751644037663937, model_test_time: 0.00336011266335845
Total test time: 0.019004240166395903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01572216209024191, model_test_time: 0.0032820780761539936
Total test time: 0.018921871203929186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015637701144441962, model_test_time: 0.0032841700594872236
Total test time: 0.018992592114955187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0157169031444937, model_test_time: 0.0032756889704614878
Total test time: 0.019060090882703662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01571568101644516, model_test_time: 0.003344409866258502
speedup/out/models_res/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full/MACCDC1-KJL-GMM(full).dat
