Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-OCSVM(linear)', time='2021-04-09 09:29:58')
***MACCDC1, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04605790227651596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014820961048826575, model_test_time: 0.031236941227689385
Total test time: 0.04349386319518089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01242408505640924, model_test_time: 0.031069778138771653
Total test time: 0.0436036023311317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012493824120610952, model_test_time: 0.031109778210520744
Total test time: 0.06181733985431492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.025260142982006073, model_test_time: 0.03655719687230885
Total test time: 0.05406143423169851 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01750834728591144, model_test_time: 0.03655308694578707
Total test time: 0.05405845330096781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017452071188017726, model_test_time: 0.03660638211295009
Total test time: 0.043603121070191264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012470640009269118, model_test_time: 0.031132481060922146
Total test time: 0.04363169381394982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012508953921496868, model_test_time: 0.031122739892452955
Total test time: 0.05280962563119829 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012524711666628718, model_test_time: 0.04028491396456957
Total test time: 0.04448082367889583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012582896975800395, model_test_time: 0.031897926703095436
Total test time: 0.053857621969655156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017314461059868336, model_test_time: 0.03654316090978682
Total test time: 0.05364638892933726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017341129016131163, model_test_time: 0.0363052599132061
Total test time: 0.0533288202714175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017262852052226663, model_test_time: 0.036065968219190836
Total test time: 0.053864141227677464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017421756172552705, model_test_time: 0.03644238505512476
Total test time: 0.05359481507912278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01743279304355383, model_test_time: 0.03616202203556895
Total test time: 0.05358177609741688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01732085016556084, model_test_time: 0.036260925931856036
Total test time: 0.05383821716532111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017392145935446024, model_test_time: 0.03644607122987509
Total test time: 0.05379436700604856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017389423912391067, model_test_time: 0.036404943093657494
Total test time: 0.05376242287456989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017387368716299534, model_test_time: 0.03637505415827036
Total test time: 0.05358355515636504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017307000001892447, model_test_time: 0.03627655515447259
***1_th repeat
Total test time: 0.04789586225524545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01642701798118651, model_test_time: 0.03146884427405894
Total test time: 0.04372489475645125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0123283457942307, model_test_time: 0.03139654896222055
Total test time: 0.052366136806085706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015484612667933106, model_test_time: 0.0368815241381526
Total test time: 0.054378407541662455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01723666675388813, model_test_time: 0.037141740787774324
Total test time: 0.0542317449580878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017231445061042905, model_test_time: 0.0370002998970449
Total test time: 0.05387762375175953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017227130942046642, model_test_time: 0.03665049280971289
Total test time: 0.061252780724316835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017165372846648097, model_test_time: 0.04408740787766874
Total test time: 0.04359993617981672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012350902194157243, model_test_time: 0.03124903398565948
Total test time: 0.04844299820251763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012408586218953133, model_test_time: 0.036034411983564496
Total test time: 0.05436057597398758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017258185893297195, model_test_time: 0.037102390080690384
Total test time: 0.054371335078030825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0172735380474478, model_test_time: 0.037097797030583024
Total test time: 0.0541787282563746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017283982131630182, model_test_time: 0.036894746124744415
Total test time: 0.0575990229845047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020633019972592592, model_test_time: 0.03696600301191211
Total test time: 0.05444872076623142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017311831936240196, model_test_time: 0.03713688882999122
Total test time: 0.054392741061747074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017203038092702627, model_test_time: 0.03718970296904445
Total test time: 0.05436998303048313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017237592954188585, model_test_time: 0.03713239007629454
Total test time: 0.054383391281589866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720516919158399, model_test_time: 0.037178222090005875
Total test time: 0.04928283183835447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01719383499585092, model_test_time: 0.03208899684250355
Total test time: 0.04365934105589986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012383196968585253, model_test_time: 0.031276144087314606
Total test time: 0.04371939576230943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012374956859275699, model_test_time: 0.03134443890303373
***2_th repeat
Total test time: 0.04362921300344169 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012068388983607292, model_test_time: 0.0315608240198344
Total test time: 0.05248663388192654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015468612778931856, model_test_time: 0.03701802110299468
Total test time: 0.05432950030080974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727536926046014, model_test_time: 0.0370541310403496
Total test time: 0.054585016099736094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727975904941559, model_test_time: 0.037305257050320506
Total test time: 0.05444540665484965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017229426885023713, model_test_time: 0.037215979769825935
Total test time: 0.054474720964208245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017312924843281507, model_test_time: 0.03716179612092674
Total test time: 0.05455472017638385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017381091136485338, model_test_time: 0.037173629039898515
Total test time: 0.05447625904344022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017283259890973568, model_test_time: 0.037192999152466655
Total test time: 0.05440631485544145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017223055940121412, model_test_time: 0.03718325891532004
Total test time: 0.05483519705012441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017331500072032213, model_test_time: 0.037503696978092194
Total test time: 0.06587597820907831 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.028217285173013806, model_test_time: 0.037658693036064506
Total test time: 0.054573625791817904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017313238931819797, model_test_time: 0.03726038685999811
Total test time: 0.05449277674779296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01733651664108038, model_test_time: 0.03715626010671258
Total test time: 0.05449679377488792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017267351737245917, model_test_time: 0.037229442037642
Total test time: 0.05447203596122563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017238778993487358, model_test_time: 0.03723325696773827
Total test time: 0.06064455211162567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02360601187683642, model_test_time: 0.03703854023478925
Total test time: 0.05448227608576417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01734097907319665, model_test_time: 0.03714129701256752
Total test time: 0.05445483303628862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01723048184067011, model_test_time: 0.03722435119561851
Total test time: 0.05459238635376096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01733231428079307, model_test_time: 0.03726007207296789
Total test time: 0.05448570312000811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01725914911366999, model_test_time: 0.03722655400633812
***3_th repeat
Total test time: 0.054571293061599135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017828229116275907, model_test_time: 0.03674306394532323
Total test time: 0.053910438204184175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0173587950412184, model_test_time: 0.036551643162965775
Total test time: 0.05399530730210245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017426627222448587, model_test_time: 0.03656868007965386
Total test time: 0.054017434595152736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017281055683270097, model_test_time: 0.03673637891188264
Total test time: 0.0540617483202368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01741223828867078, model_test_time: 0.036649510031566024
Total test time: 0.05416330066509545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0174183479975909, model_test_time: 0.03674495266750455
Total test time: 0.054185949033126235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01738779409788549, model_test_time: 0.036798154935240746
Total test time: 0.054062082432210445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017482366180047393, model_test_time: 0.03657971625216305
Total test time: 0.05399617599323392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017316462006419897, model_test_time: 0.03667971398681402
Total test time: 0.054204911924898624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017417831113561988, model_test_time: 0.03678708081133664
Total test time: 0.0540321187581867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017370256828144193, model_test_time: 0.036661861930042505
Total test time: 0.05390291893854737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017403220059350133, model_test_time: 0.03649969887919724
Total test time: 0.07245515030808747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03575378912501037, model_test_time: 0.0367013611830771
Total test time: 0.05240004463121295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0174492746591568, model_test_time: 0.03495076997205615
Total test time: 0.04350756807252765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239827205426991, model_test_time: 0.031109296018257737
Total test time: 0.046522945165634155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012405714020133018, model_test_time: 0.03411723114550114
Total test time: 0.05383634613826871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017299202969297767, model_test_time: 0.03653714316897094
Total test time: 0.05631973803974688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01749218115583062, model_test_time: 0.03882755688391626
Total test time: 0.054290466010570526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017485958989709616, model_test_time: 0.03680450702086091
Total test time: 0.0551318374928087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018346904311329126, model_test_time: 0.03678493318147957
***4_th repeat
Total test time: 0.05297171697020531 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016319483751431108, model_test_time: 0.0366522332187742
Total test time: 0.05334109906107187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016798011027276516, model_test_time: 0.03654308803379536
Total test time: 0.05331546696834266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016702659893780947, model_test_time: 0.036612807074561715
Total test time: 0.05332133756019175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01676593627780676, model_test_time: 0.03655540128238499
Total test time: 0.05327693186700344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01676380797289312, model_test_time: 0.03651312389411032
Total test time: 0.05317550874315202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667299377731979, model_test_time: 0.03650251496583223
Total test time: 0.05341316876001656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01681076898239553, model_test_time: 0.03660239977762103
Total test time: 0.05331241223029792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016730900155380368, model_test_time: 0.036581512074917555
Total test time: 0.0533043947070837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016797158867120743, model_test_time: 0.03650723583996296
Total test time: 0.05321850813925266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016676180064678192, model_test_time: 0.03654232807457447
Total test time: 0.053699478739872575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720546488650143, model_test_time: 0.03649401385337114
Total test time: 0.05340057727880776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016896322136744857, model_test_time: 0.0365042551420629
Total test time: 0.05338459531776607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016761362552642822, model_test_time: 0.03662323276512325
Total test time: 0.05334613495506346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016827177023515105, model_test_time: 0.03651895793154836
Total test time: 0.05340961483307183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01683665788732469, model_test_time: 0.03657295694574714
Total test time: 0.06590523477643728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.029185133753344417, model_test_time: 0.036720101023092866
Total test time: 0.05317458207719028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016635698033496737, model_test_time: 0.03653888404369354
Total test time: 0.05342902126722038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016701863147318363, model_test_time: 0.036727158119902015
Total test time: 0.05344470660202205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01677788165397942, model_test_time: 0.03666682494804263
Total test time: 0.053538575768470764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668975385837257, model_test_time: 0.036848821910098195
speedup/out/models_res/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None/MACCDC1-KJL-OCSVM(linear).dat
