Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-09 09:22:14')
***MACCDC1, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01879280130378902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015911936992779374, model_test_time: 0.0028808643110096455
Total test time: 0.01508645387366414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012361753033474088, model_test_time: 0.002724700840190053
Total test time: 0.02577370614744723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02307552332058549, model_test_time: 0.002698182826861739
Total test time: 0.015056862030178308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012337624095380306, model_test_time: 0.0027192379347980022
Total test time: 0.02201691805385053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01807087194174528, model_test_time: 0.00394604611210525
Total test time: 0.021006532246246934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01706620934419334, model_test_time: 0.003940322902053595
Total test time: 0.01735773799009621 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01464150007814169, model_test_time: 0.002716237911954522
Total test time: 0.01502247410826385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012299605878069997, model_test_time: 0.0027228682301938534
Total test time: 0.014933420345187187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012216905364766717, model_test_time: 0.0027165149804204702
Total test time: 0.015060548903420568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0122702750377357, model_test_time: 0.002790273865684867
Total test time: 0.014931289944797754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220071163028479, model_test_time: 0.0027112187817692757
Total test time: 0.023945467779412866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021240859059616923, model_test_time: 0.0027046087197959423
Total test time: 0.01503191888332367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01225508889183402, model_test_time: 0.002776829991489649
Total test time: 0.017979539930820465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014055549865588546, model_test_time: 0.003923990065231919
Total test time: 0.021006105933338404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060023033991456, model_test_time: 0.003946082899346948
Total test time: 0.0210312909912318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060764133930206, model_test_time: 0.003970526857301593
Total test time: 0.014984603971242905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012247164035215974, model_test_time: 0.002737439936026931
Total test time: 0.015053990995511413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012273033149540424, model_test_time: 0.0027809578459709883
Total test time: 0.01497292029671371 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012260145274922252, model_test_time: 0.002712775021791458
Total test time: 0.016053600702434778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012409863993525505, model_test_time: 0.003643736708909273
***1_th repeat
Total test time: 0.021817978005856276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017732250038534403, model_test_time: 0.004085727967321873
Total test time: 0.02118130587041378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718868687748909, model_test_time: 0.00399261899292469
Total test time: 0.02121378481388092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0172130917198956, model_test_time: 0.004000693093985319
Total test time: 0.021223118994385004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017207260010764003, model_test_time: 0.004015858983621001
Total test time: 0.0211939699947834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01719511183910072, model_test_time: 0.003998858155682683
Total test time: 0.021256267093122005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017247501062229276, model_test_time: 0.00400876603089273
Total test time: 0.021139898104593158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017161316936835647, model_test_time: 0.003978581167757511
Total test time: 0.017396017676219344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014550152467563748, model_test_time: 0.0028458652086555958
Total test time: 0.015145377954468131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012321125017479062, model_test_time: 0.002824252936989069
Total test time: 0.015192805090919137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012416846118867397, model_test_time: 0.0027759589720517397
Total test time: 0.015172322047874331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01241049193777144, model_test_time: 0.002761830110102892
Total test time: 0.02124733990058303 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017159075941890478, model_test_time: 0.004088263958692551
Total test time: 0.021177971735596657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017121559008955956, model_test_time: 0.004056412726640701
Total test time: 0.02125484310090542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01718978094868362, model_test_time: 0.004065062152221799
Total test time: 0.021321674110367894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017222372116521, model_test_time: 0.004099301993846893
Total test time: 0.0212801368907094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017225019866600633, model_test_time: 0.0040551170241087675
Total test time: 0.015416299691423774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012648191768676043, model_test_time: 0.002768107922747731
Total test time: 0.015223321970552206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012396548874676228, model_test_time: 0.0028267730958759785
Total test time: 0.015096176881343126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012334069702774286, model_test_time: 0.00276210717856884
Total test time: 0.015290300827473402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012534286826848984, model_test_time: 0.0027560140006244183
***2_th repeat
Total test time: 0.02090656803920865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01652494096197188, model_test_time: 0.004381627077236772
Total test time: 0.021201449912041426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01683848910033703, model_test_time: 0.004362960811704397
Total test time: 0.021223896415904164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01687486027367413, model_test_time: 0.004349036142230034
Total test time: 0.0211491952650249 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016811880050227046, model_test_time: 0.004337315214797854
Total test time: 0.021071827271953225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669949432834983, model_test_time: 0.004372332943603396
Total test time: 0.015152230858802795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012149628950282931, model_test_time: 0.003002601908519864
Total test time: 0.02583774086087942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012138238875195384, model_test_time: 0.013699501985684037
Total test time: 0.015261729015037417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01224627485498786, model_test_time: 0.0030154541600495577
Total test time: 0.02119215694256127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016842693788930774, model_test_time: 0.004349463153630495
Total test time: 0.021230265963822603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016882823081687093, model_test_time: 0.0043474428821355104
Total test time: 0.021285283844918013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016941691981628537, model_test_time: 0.0043435918632894754
Total test time: 0.021193284774199128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685271179303527, model_test_time: 0.004340572981163859
Total test time: 0.02128533972427249 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692945184186101, model_test_time: 0.00435588788241148
Total test time: 0.021286597941070795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691772905178368, model_test_time: 0.004368868889287114
Total test time: 0.026159345405176282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02173423720523715, model_test_time: 0.004425108199939132
Total test time: 0.021344208158552647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016911525977775455, model_test_time: 0.004432682180777192
Total test time: 0.021334674209356308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016866010148078203, model_test_time: 0.004468664061278105
Total test time: 0.021220525028184056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679093507118523, model_test_time: 0.004429589956998825
Total test time: 0.0166513838339597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013642707839608192, model_test_time: 0.0030086759943515062
Total test time: 0.015151972183957696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012131239986047149, model_test_time: 0.0030207321979105473
***3_th repeat
Total test time: 0.01500076986849308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012216274859383702, model_test_time: 0.002784495009109378
Total test time: 0.014848348218947649 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012001835042610765, model_test_time: 0.0028465131763368845
Total test time: 0.02066957578063011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016666809795424342, model_test_time: 0.0040027659852057695
Total test time: 0.020605409983545542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016589737962931395, model_test_time: 0.004015672020614147
Total test time: 0.020625927252694964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016609513200819492, model_test_time: 0.004016414051875472
Total test time: 0.020749313989654183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016748141031712294, model_test_time: 0.00400117295794189
Total test time: 0.020608020946383476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016617310931906104, model_test_time: 0.003990710014477372
Total test time: 0.01485023694112897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012084389105439186, model_test_time: 0.002765847835689783
Total test time: 0.014869439881294966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012103684945032, model_test_time: 0.002765754936262965
Total test time: 0.014857718953862786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012030093930661678, model_test_time: 0.002827625023201108
Total test time: 0.01474766619503498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011975059052929282, model_test_time: 0.0027726071421056986
Total test time: 0.02057744818739593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016570775071159005, model_test_time: 0.004006673116236925
Total test time: 0.020660723792389035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016658104956150055, model_test_time: 0.00400261883623898
Total test time: 0.020722610875964165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016719177830964327, model_test_time: 0.004003433044999838
Total test time: 0.02064340910874307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016640810063108802, model_test_time: 0.00400259904563427
Total test time: 0.020687518641352654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016612771665677428, model_test_time: 0.004074746975675225
Total test time: 0.02067372342571616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016580440336838365, model_test_time: 0.004093283088877797
Total test time: 0.020793164847418666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671873382292688, model_test_time: 0.004074431024491787
Total test time: 0.020834147231653333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669980911538005, model_test_time: 0.004134338116273284
Total test time: 0.02079701703041792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01672990107908845, model_test_time: 0.00406711595132947
***4_th repeat
Total test time: 0.022279021563008428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716177980415523, model_test_time: 0.005117241758853197
Total test time: 0.022233726922422647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017200761009007692, model_test_time: 0.005032965913414955
Total test time: 0.022222709376364946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717652124352753, model_test_time: 0.005046188132837415
Total test time: 0.022105968790128827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017129705753177404, model_test_time: 0.004976263036951423
Total test time: 0.022120727924630046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017143002012744546, model_test_time: 0.0049777259118855
Total test time: 0.0220761199016124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017078615725040436, model_test_time: 0.004997504176571965
Total test time: 0.022094174986705184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017102597281336784, model_test_time: 0.0049915777053684
Total test time: 0.03914845711551607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03409462119452655, model_test_time: 0.005053835920989513
Total test time: 0.0221082279458642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017072281101718545, model_test_time: 0.005035946844145656
Total test time: 0.022149377968162298 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017163022188469768, model_test_time: 0.004986355779692531
Total test time: 0.02209215727634728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01711848611012101, model_test_time: 0.004973671166226268
Total test time: 0.0221961357165128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720077986828983, model_test_time: 0.004995355848222971
Total test time: 0.02202954632230103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017046782188117504, model_test_time: 0.004982764134183526
Total test time: 0.02211324917152524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017138522118330002, model_test_time: 0.004974727053195238
Total test time: 0.029575570253655314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02458669524639845, model_test_time: 0.0049888750072568655
Total test time: 0.02206802717410028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017096319003030658, model_test_time: 0.004971708171069622
Total test time: 0.022197560872882605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017193668754771352, model_test_time: 0.005003892118111253
Total test time: 0.022073860047385097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017099689226597548, model_test_time: 0.004974170820787549
Total test time: 0.02217713394202292 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01719381590373814, model_test_time: 0.004983318038284779
Total test time: 0.02224502293393016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720398385077715, model_test_time: 0.005041039083153009
speedup/out/models_res/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag/MACCDC1-KJL-QS-init_GMM(diag).dat
