Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='Nystrom-GMM(diag)', time='2021-04-09 09:35:18')
***MACCDC1, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.053948676912114024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0516764298081398, model_test_time: 0.002272247103974223
Total test time: 0.014605744043365121 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012443363899365067, model_test_time: 0.0021623801440000534
Total test time: 0.014511299785226583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012359420768916607, model_test_time: 0.0021518790163099766
Total test time: 0.020277840783819556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017171166837215424, model_test_time: 0.0031066739466041327
Total test time: 0.02028026874177158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715733576565981, model_test_time: 0.0031229329761117697
Total test time: 0.019609951181337237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017083375016227365, model_test_time: 0.002526576165109873
Total test time: 0.014571020612493157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012351771583780646, model_test_time: 0.002219249028712511
Total test time: 0.014465541113168001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01229871716350317, model_test_time: 0.002166823949664831
Total test time: 0.014659445965662599 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012486991938203573, model_test_time: 0.0021724540274590254
Total test time: 0.01688169315457344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013749408069998026, model_test_time: 0.0031322850845754147
Total test time: 0.020272139692679048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017147965729236603, model_test_time: 0.003124173963442445
Total test time: 0.020340361166745424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017209317069500685, model_test_time: 0.0031310440972447395
Total test time: 0.014606928918510675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012445604894310236, model_test_time: 0.0021613240242004395
Total test time: 0.014550927793607116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012381807900965214, model_test_time: 0.002169119892641902
Total test time: 0.014681443804875016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012380863772705197, model_test_time: 0.002300580032169819
Total test time: 0.015167489880695939 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012802873970940709, model_test_time: 0.00236461590975523
Total test time: 0.020331582985818386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01720061292871833, model_test_time: 0.0031309700571000576
Total test time: 0.020226621767506003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01709702191874385, model_test_time: 0.0031295998487621546
Total test time: 0.017143316799774766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014897161861881614, model_test_time: 0.0022461549378931522
Total test time: 0.014482910744845867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012317605782300234, model_test_time: 0.0021653049625456333
***1_th repeat
Total test time: 0.014970436692237854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01280557457357645, model_test_time: 0.0021648621186614037
Total test time: 0.014564892277121544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012385143199935555, model_test_time: 0.0021797490771859884
Total test time: 0.020572652341797948 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01739575737155974, model_test_time: 0.0031768949702382088
Total test time: 0.020446340087801218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017325129127129912, model_test_time: 0.0031212109606713057
Total test time: 0.019521025707945228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017360923811793327, model_test_time: 0.0021601018961519003
Total test time: 0.014638612978160381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01247617811895907, model_test_time: 0.002162434859201312
Total test time: 0.014646889176219702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012415603268891573, model_test_time: 0.002231285907328129
Total test time: 0.014608410187065601 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012439771089702845, model_test_time: 0.0021686390973627567
Total test time: 0.017963984981179237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01476390496827662, model_test_time: 0.0032000800129026175
Total test time: 0.020418265834450722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017310276860371232, model_test_time: 0.0031079889740794897
Total test time: 0.020377636654302478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017246352741494775, model_test_time: 0.003131283912807703
Total test time: 0.020285659469664097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017169892322272062, model_test_time: 0.0031157671473920345
Total test time: 0.020399564178660512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017272112192586064, model_test_time: 0.0031274519860744476
Total test time: 0.020328361075371504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017228833865374327, model_test_time: 0.003099527209997177
Total test time: 0.02040826715528965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01728422218002379, model_test_time: 0.0031240449752658606
Total test time: 0.020433116238564253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017248481046408415, model_test_time: 0.003184635192155838
Total test time: 0.020471784751862288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017263908637687564, model_test_time: 0.0032078761141747236
Total test time: 0.020439338870346546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727642584592104, model_test_time: 0.0031629130244255066
Total test time: 0.020416989689692855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01729451958090067, model_test_time: 0.003122470108792186
Total test time: 0.02033995185047388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01721994485706091, model_test_time: 0.0031200069934129715
***2_th repeat
