Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-09 09:33:24')
***MACCDC1, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.045496025355532765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.04310624301433563, model_test_time: 0.002389782341197133
Total test time: 0.014608872588723898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012353643542155623, model_test_time: 0.0022552290465682745
Total test time: 0.014624852919951081 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012326753931120038, model_test_time: 0.0022980989888310432
Total test time: 0.01457383600063622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012312198989093304, model_test_time: 0.0022616370115429163
Total test time: 0.014618723187595606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012357124127447605, model_test_time: 0.0022615990601480007
Total test time: 0.014670054893940687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01241369592025876, model_test_time: 0.0022563589736819267
Total test time: 0.017926671775057912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014669370837509632, model_test_time: 0.0032573009375482798
Total test time: 0.0203939126804471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017171814804896712, model_test_time: 0.0032220978755503893
Total test time: 0.02042837697081268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017167891142889857, model_test_time: 0.003260485827922821
Total test time: 0.030375311383977532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.027124455198645592, model_test_time: 0.0032508561853319407
Total test time: 0.02111202827654779 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01780970930121839, model_test_time: 0.003302318975329399
Total test time: 0.016704327194020152 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014454227173700929, model_test_time: 0.0022501000203192234
Total test time: 0.014655037084594369 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01240314100869, model_test_time: 0.0022518960759043694
Total test time: 0.01470975810661912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012395937228575349, model_test_time: 0.002313820878043771
Total test time: 0.014624353032559156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01236482709646225, model_test_time: 0.0022595259360969067
Total test time: 0.014654907863587141 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012396992649883032, model_test_time: 0.002257915213704109
Total test time: 0.014663907000795007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012410586001351476, model_test_time: 0.002253320999443531
