Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='Nystrom-GMM(full)', time='2021-04-09 09:28:39')
***MACCDC1, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.029892783844843507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02635986008681357, model_test_time: 0.0035329237580299377
Total test time: 0.015937770251184702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012536324327811599, model_test_time: 0.003401445923373103
Total test time: 0.01585356704890728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012452991912141442, model_test_time: 0.0034005751367658377
Total test time: 0.015838251914829016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012457342818379402, model_test_time: 0.0033809090964496136
Total test time: 0.015954230446368456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012510842643678188, model_test_time: 0.0034433878026902676
Total test time: 0.022399353329092264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017389313085004687, model_test_time: 0.005010040244087577
Total test time: 0.022420556750148535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017401682678610086, model_test_time: 0.005018874071538448
Total test time: 0.022359039867296815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017354016890749335, model_test_time: 0.00500502297654748
Total test time: 0.022358187939971685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017383794067427516, model_test_time: 0.004974393872544169
Total test time: 0.022276984993368387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01735501689836383, model_test_time: 0.0049219680950045586
Total test time: 0.015938825206831098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012554361252114177, model_test_time: 0.003384463954716921
Total test time: 0.015874694800004363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012477397918701172, model_test_time: 0.003397296881303191
Total test time: 0.01592164020985365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012511213077232242, model_test_time: 0.0034104271326214075
Total test time: 0.026911996072158217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021677460055798292, model_test_time: 0.005234536016359925
Total test time: 0.022350021870806813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017420941963791847, model_test_time: 0.004929079907014966
Total test time: 0.02107034414075315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01734647899866104, model_test_time: 0.0037238651420921087
Total test time: 0.015846511581912637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012437381548807025, model_test_time: 0.003409130033105612
Total test time: 0.015962916892021894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012525639031082392, model_test_time: 0.0034372778609395027
Total test time: 0.015980249037966132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012428918154910207, model_test_time: 0.0035513308830559254
Total test time: 0.015837271232157946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012392752105370164, model_test_time: 0.0034445191267877817
***1_th repeat
Total test time: 0.015187210636213422 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011750303907319903, model_test_time: 0.0034369067288935184
Total test time: 0.014773074071854353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011389127932488918, model_test_time: 0.0033839461393654346
Total test time: 0.014862478245049715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011482254136353731, model_test_time: 0.003380224108695984
Total test time: 0.02061081537976861 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015701088588684797, model_test_time: 0.004909726791083813
Total test time: 0.020630928222090006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01571403327398002, model_test_time: 0.004916894948109984
Total test time: 0.017122077755630016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013741001952439547, model_test_time: 0.0033810758031904697
