Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-09 09:27:06')
***MACCDC1, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.02221233700402081 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019215531181544065, model_test_time: 0.0029968058224767447
Total test time: 0.015274023870006204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012372918659821153, model_test_time: 0.002901105210185051
Total test time: 0.015179691836237907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01234438270330429, model_test_time: 0.0028353091329336166
Total test time: 0.015065306099131703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012226257240399718, model_test_time: 0.002839048858731985
Total test time: 0.01508541707880795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012201238190755248, model_test_time: 0.002884178888052702
Total test time: 0.021147806430235505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017060579266399145, model_test_time: 0.00408722716383636
Total test time: 0.02115480648353696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017082338221371174, model_test_time: 0.004072468262165785
Total test time: 0.01802314887754619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015214505605399609, model_test_time: 0.0028086432721465826
Total test time: 0.015182953793555498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012304107891395688, model_test_time: 0.00287884590215981
Total test time: 0.015096878632903099 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012250292813405395, model_test_time: 0.0028465858194977045
Total test time: 0.01510187890380621 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012259661918506026, model_test_time: 0.0028422169853001833
Total test time: 0.021320990286767483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017156837275251746, model_test_time: 0.004164153011515737
Total test time: 0.021404855884611607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01722213113680482, model_test_time: 0.0041827247478067875
Total test time: 0.01996122091077268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017032024916261435, model_test_time: 0.0029291959945112467
Total test time: 0.015149806626141071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01232171873562038, model_test_time: 0.002828087890520692
Total test time: 0.01513808430172503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012307793134823442, model_test_time: 0.0028302911669015884
Total test time: 0.022331317886710167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019444731762632728, model_test_time: 0.0028865861240774393
Total test time: 0.021142065292224288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017044931184500456, model_test_time: 0.004097134107723832
Total test time: 0.021064584841951728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016964246751740575, model_test_time: 0.004100338090211153
Total test time: 0.019871223019436002 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017038300866261125, model_test_time: 0.002832922153174877
***1_th repeat
Total test time: 0.015371282119303942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01262304512783885, model_test_time: 0.0027482369914650917
Total test time: 0.015164731070399284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012317143846303225, model_test_time: 0.00284758722409606
Total test time: 0.01502501335926354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012224313337355852, model_test_time: 0.002800700021907687
Total test time: 0.019725075224414468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01570781017653644, model_test_time: 0.004017265047878027
Total test time: 0.02117661968804896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01714379875920713, model_test_time: 0.004032820928841829
Total test time: 0.021209138445556164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017172355437651277, model_test_time: 0.004036783007904887
Total test time: 0.021250191843137145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017140483716502786, model_test_time: 0.004109708126634359
Total test time: 0.021160787902772427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017117579001933336, model_test_time: 0.00404320890083909
Total test time: 0.0182440138887614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015498868888244033, model_test_time: 0.0027451450005173683
Total test time: 0.0151003438513726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012350846780464053, model_test_time: 0.0027494970709085464
Total test time: 0.015131601830944419 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012351069133728743, model_test_time: 0.0027805326972156763
Total test time: 0.015045397682115436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01225658762268722, model_test_time: 0.002788810059428215
Total test time: 0.02100836276076734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017026189947500825, model_test_time: 0.003982172813266516
Total test time: 0.021108621498569846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017095725750550628, model_test_time: 0.0040128957480192184
Total test time: 0.015921585960313678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013180200010538101, model_test_time: 0.0027413859497755766
Total test time: 0.015042918035760522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01231134682893753, model_test_time: 0.0027315712068229914
Total test time: 0.01583193917758763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012349718250334263, model_test_time: 0.0034822209272533655
Total test time: 0.015004288870841265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012223534053191543, model_test_time: 0.002780754817649722
Total test time: 0.021113694179803133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017155112931504846, model_test_time: 0.003958581248298287
Total test time: 0.021219286369159818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017166743287816644, model_test_time: 0.004052543081343174
***2_th repeat
