Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-09 09:33:50')
***MACCDC1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.40382725233212113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0501127690076828e-05, model_test_time: 0.40381675120443106
Total test time: 0.44863566011190414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4757970348000526e-05, model_test_time: 0.44862090214155614
Total test time: 0.443605286302045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.031416468322277e-05, model_test_time: 0.44359497213736176
Total test time: 0.44991505960933864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0851770639419556e-05, model_test_time: 0.4499042078386992
Total test time: 0.44792689895257354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4592194929718971e-05, model_test_time: 0.4479123067576438
Total test time: 0.4696101169101894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.39621552079916e-05, model_test_time: 0.4695961547549814
Total test time: 0.47952249995432794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.477799378335476e-05, model_test_time: 0.4795077219605446
Total test time: 0.5244273126590997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1313706636428833e-05, model_test_time: 0.5244159989524633
Total test time: 0.5124393668957055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4906749129295349e-05, model_test_time: 0.5124244601465762
Total test time: 0.49861584790050983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.444295048713684e-05, model_test_time: 0.4986014049500227
Total test time: 0.49429029249586165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0720686987042427e-05, model_test_time: 0.4942795718088746
Total test time: 0.505864692851901 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4202902093529701e-05, model_test_time: 0.5058504899498075
Total test time: 0.46592869819141924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4149118214845657e-05, model_test_time: 0.4659145490732044
Total test time: 0.470143532846123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0906951501965523e-05, model_test_time: 0.470132625894621
Total test time: 0.47789266309700906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.031416468322277e-05, model_test_time: 0.47788234893232584
Total test time: 0.4942371458746493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.412886194884777e-05, model_test_time: 0.49422301701270044
Total test time: 0.514404715038836 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0092975571751595e-05, model_test_time: 0.5143946220632643
Total test time: 0.4995860692579299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.413002610206604e-05, model_test_time: 0.49957193923182786
Total test time: 0.5391430160962045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3832002878189087e-05, model_test_time: 0.5391291840933263
Total test time: 0.504053546115756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4407094568014145e-05, model_test_time: 0.504039139021188
***1_th repeat
Total test time: 0.47509187110699713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0185176506638527e-05, model_test_time: 0.4750816859304905
