Namespace(dataset='MAWI1_2020', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-09 09:11:21')
***MAWI1_2020, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018476011231541634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01563905319198966, model_test_time: 0.0028369580395519733
Total test time: 0.015966603998094797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013250605901703238, model_test_time: 0.0027159980963915586
Total test time: 0.015975472051650286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013241216074675322, model_test_time: 0.002734255976974964
Total test time: 0.02231538901105523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018281199038028717, model_test_time: 0.004034189973026514
Total test time: 0.02214111597277224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0181286099832505, model_test_time: 0.004012505989521742
Total test time: 0.02440616092644632 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021674349904060364, model_test_time: 0.002731811022385955
Total test time: 0.01591891748830676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013185773743316531, model_test_time: 0.0027331437449902296
Total test time: 0.015947844833135605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013202921021729708, model_test_time: 0.002744923811405897
Total test time: 0.017093116184696555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013197681400924921, model_test_time: 0.003895434783771634
Total test time: 0.02218676428310573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01823601615615189, model_test_time: 0.00395074812695384
Total test time: 0.022209580056369305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018255589995533228, model_test_time: 0.003953990060836077
Total test time: 0.016497091157361865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013758058194071054, model_test_time: 0.0027390329632908106
Total test time: 0.01601741393096745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013277824968099594, model_test_time: 0.002739588962867856
Total test time: 0.01597469625994563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013217773288488388, model_test_time: 0.002756922971457243
Total test time: 0.01692754402756691 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01328154793009162, model_test_time: 0.0036459960974752903
Total test time: 0.0220502489246428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01809540786780417, model_test_time: 0.003954841056838632
Total test time: 0.022167488699778914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018209443893283606, model_test_time: 0.003958044806495309
Total test time: 0.016765807988122106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01401545898988843, model_test_time: 0.002750348998233676
Total test time: 0.01607328560203314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01326134568080306, model_test_time: 0.0028119399212300777
Total test time: 0.01854514004662633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015804329188540578, model_test_time: 0.0027408108580857515
***1_th repeat
Total test time: 0.017879894701763988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01477057277224958, model_test_time: 0.003109321929514408
Total test time: 0.020763054257258773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017673491034656763, model_test_time: 0.0030895632226020098
Total test time: 0.020754499128088355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01767767616547644, model_test_time: 0.0030768229626119137
