Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-09 09:14:33')
***MAWI1_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02576141175813973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015519815729930997, model_test_time: 0.010241596028208733
Total test time: 0.022089968901127577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012508990010246634, model_test_time: 0.009580978890880942
Total test time: 0.02201517578214407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01247334387153387, model_test_time: 0.009541831910610199
Total test time: 0.02194473287090659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012415676843374968, model_test_time: 0.009529056027531624
Total test time: 0.022059063659980893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012483212864026427, model_test_time: 0.009575850795954466
Total test time: 0.021938362158834934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012386196991428733, model_test_time: 0.009552165167406201
Total test time: 0.0226862165145576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012515397742390633, model_test_time: 0.010170818772166967
Total test time: 0.024218833073973656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014689852017909288, model_test_time: 0.009528981056064367
Total test time: 0.031023371033370495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017031819093972445, model_test_time: 0.01399155193939805
Total test time: 0.03108809213154018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017141668824478984, model_test_time: 0.013946423307061195
Total test time: 0.03095783689059317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017018171958625317, model_test_time: 0.013939664931967854
Total test time: 0.03106579720042646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01711300411261618, model_test_time: 0.013952793087810278
Total test time: 0.02324229688383639 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013688039034605026, model_test_time: 0.009554257849231362
Total test time: 0.02196808415465057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012476862175390124, model_test_time: 0.009491221979260445
Total test time: 0.02191167720593512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0123398641590029, model_test_time: 0.00957181304693222
Total test time: 0.021946937078610063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012447159038856626, model_test_time: 0.009499778039753437
Total test time: 0.021943140076473355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012392419157549739, model_test_time: 0.009550720918923616
Total test time: 0.021931196097284555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012470843037590384, model_test_time: 0.009460353059694171
Total test time: 0.031029573874548078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017098354874178767, model_test_time: 0.01393121900036931
Total test time: 0.031135757220909 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017166002187877893, model_test_time: 0.013969755033031106
***1_th repeat
Total test time: 0.022747270995751023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013443045085296035, model_test_time: 0.009304225910454988
Total test time: 0.022068193880841136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012797669973224401, model_test_time: 0.009270523907616735
Total test time: 0.021969492081552744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012691413052380085, model_test_time: 0.009278079029172659
Total test time: 0.031090294709429145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017521549947559834, model_test_time: 0.013568744761869311
Total test time: 0.03115375922061503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017480719136074185, model_test_time: 0.013673040084540844
Total test time: 0.031272422056645155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01752884592860937, model_test_time: 0.013743576128035784
Total test time: 0.031140074133872986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017524569295346737, model_test_time: 0.013615504838526249
Total test time: 0.03110074088908732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01747332909144461, model_test_time: 0.013627411797642708
Total test time: 0.03119959100149572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01757879089564085, model_test_time: 0.013620800105854869
Total test time: 0.031379716005176306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01773884193971753, model_test_time: 0.013640874065458775
Total test time: 0.030988410348072648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01742162718437612, model_test_time: 0.013566783163696527
Total test time: 0.022008193656802177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012726077809929848, model_test_time: 0.00928211584687233
Total test time: 0.022097544046118855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01285076211206615, model_test_time: 0.009246781934052706
Total test time: 0.021929250797256827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01266941288486123, model_test_time: 0.009259837912395597
Total test time: 0.031042668037116528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017467070138081908, model_test_time: 0.01357559789903462
Total test time: 0.031120741041377187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017519311048090458, model_test_time: 0.013601429993286729
Total test time: 0.03176348586566746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017443663207814097, model_test_time: 0.014319822657853365
Total test time: 0.031054759165272117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017417293274775147, model_test_time: 0.01363746589049697
Total test time: 0.03099211328662932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017424126155674458, model_test_time: 0.013567987130954862
Total test time: 0.03109961049631238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01747127273119986, model_test_time: 0.01362833776511252
***2_th repeat
