Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(diag)', time='2021-04-09 09:07:34')
***MAWI1_2020, Nystrom-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.02104701311327517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018796394113451242, model_test_time: 0.002250618999823928
Total test time: 0.01782374642789364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015684570418670774, model_test_time: 0.002139176009222865
Total test time: 0.017773174913600087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0156289238948375, model_test_time: 0.0021442510187625885
Total test time: 0.01791387377306819 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015715346671640873, model_test_time: 0.0021985271014273167
Total test time: 0.017742212861776352 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015591240022331476, model_test_time: 0.0021509728394448757
Total test time: 0.018457327969372272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016315299086272717, model_test_time: 0.002142028883099556
Total test time: 0.018783578649163246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015678181778639555, model_test_time: 0.003105396870523691
Total test time: 0.024491493124514818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02139817108400166, model_test_time: 0.003093322040513158
Total test time: 0.024615970673039556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02142789075151086, model_test_time: 0.003188079921528697
Total test time: 0.0245487866923213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02144735399633646, model_test_time: 0.0031014326959848404
Total test time: 0.02453147293999791 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02136413403786719, model_test_time: 0.003167338902130723
Total test time: 0.018664358416572213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016503478633239865, model_test_time: 0.002160879783332348
Total test time: 0.017834601225331426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015629666158929467, model_test_time: 0.0022049350664019585
Total test time: 0.017796024680137634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015637811738997698, model_test_time: 0.0021582129411399364
Total test time: 0.022236393997445703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019108349923044443, model_test_time: 0.0031280440744012594
Total test time: 0.024564695078879595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021446391940116882, model_test_time: 0.0031183031387627125
Total test time: 0.02457578689791262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021406429819762707, model_test_time: 0.0031693570781499147
Total test time: 0.024553341791033745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021477056900039315, model_test_time: 0.0030762848909944296
Total test time: 0.024472309043630958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021383024053648114, model_test_time: 0.0030892849899828434
Total test time: 0.024437733925879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021338318940252066, model_test_time: 0.003099414985626936
***1_th repeat
Total test time: 0.02484091091901064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021693774964660406, model_test_time: 0.003147135954350233
Total test time: 0.01774891628883779 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01560448040254414, model_test_time: 0.0021444358862936497
Total test time: 0.017798913875594735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01564903394319117, model_test_time: 0.0021498799324035645
Total test time: 0.017861803527921438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015660627745091915, model_test_time: 0.002201175782829523
Total test time: 0.024550992297008634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021419060183688998, model_test_time: 0.0031319321133196354
Total test time: 0.024584603030234575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021510798018425703, model_test_time: 0.0030738050118088722
