Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(diag)', time='2021-04-09 09:16:20')
***MAWI1_2020, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017836821265518665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015579407336190343, model_test_time: 0.0022574139293283224
Total test time: 0.015796865103766322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013663374120369554, model_test_time: 0.0021334909833967686
Total test time: 0.01532754022628069 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013179457280784845, model_test_time: 0.002148082945495844
Total test time: 0.016324353870004416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013218013104051352, model_test_time: 0.003106340765953064
Total test time: 0.021311951335519552 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018216277239844203, model_test_time: 0.0030956740956753492
Total test time: 0.021265414776280522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018158850725740194, model_test_time: 0.003106564050540328
Total test time: 0.021274191793054342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01818027696572244, model_test_time: 0.0030939148273319006
Total test time: 0.02118358272127807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018097722670063376, model_test_time: 0.003085860051214695
Total test time: 0.021220879862084985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0181160569190979, model_test_time: 0.0031048229429870844
Total test time: 0.021322874817997217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01821849774569273, model_test_time: 0.0031043770723044872
Total test time: 0.02127967425622046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01813315018080175, model_test_time: 0.0031465240754187107
Total test time: 0.01737984991632402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015238024992868304, model_test_time: 0.002141824923455715
Total test time: 0.015397039940580726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013258363818749785, model_test_time: 0.0021386761218309402
Total test time: 0.015368652995675802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0132206070702523, model_test_time: 0.002148045925423503
Total test time: 0.015358355827629566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013157420791685581, model_test_time: 0.002200935035943985
Total test time: 0.02125095296651125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018147501163184643, model_test_time: 0.0031034518033266068
Total test time: 0.021309061907231808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018209053901955485, model_test_time: 0.0031000080052763224
Total test time: 0.021319856867194176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0182292761746794, model_test_time: 0.003090580692514777
Total test time: 0.021357448073104024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01823960803449154, model_test_time: 0.003117840038612485
Total test time: 0.02138052205555141 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018275440903380513, model_test_time: 0.0031050811521708965
***1_th repeat
Total test time: 0.021704162703827024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018602174939587712, model_test_time: 0.0031019877642393112
Total test time: 0.03326352802105248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.030167742865160108, model_test_time: 0.003095785155892372
Total test time: 0.016107730334624648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013969479128718376, model_test_time: 0.002138251205906272
Total test time: 0.015306244371458888 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01315273530781269, model_test_time: 0.0021535090636461973
Total test time: 0.015239950967952609 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013086626771837473, model_test_time: 0.002153324196115136
Total test time: 0.015315208584070206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013175661908462644, model_test_time: 0.002139546675607562
Total test time: 0.021360225277021527 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01811553630977869, model_test_time: 0.003244688967242837
Total test time: 0.02134293131530285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018167665461078286, model_test_time: 0.0031752658542245626
Total test time: 0.01816057227551937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016032674349844456, model_test_time: 0.0021278979256749153
Total test time: 0.015255895210430026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013125311117619276, model_test_time: 0.00213058409281075
Total test time: 0.015339171513915062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013197477208450437, model_test_time: 0.0021416943054646254
Total test time: 0.015378374140709639 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013163125142455101, model_test_time: 0.0022152489982545376
Total test time: 0.02119056391529739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018128574127331376, model_test_time: 0.003061989787966013
Total test time: 0.0211283799726516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01803411403670907, model_test_time: 0.0030942659359425306
Total test time: 0.020242697093635798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018100483110174537, model_test_time: 0.002142213983461261
Total test time: 0.015321820974349976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013184237061068416, model_test_time: 0.00213758391328156
Total test time: 0.015394465764984488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013208419783040881, model_test_time: 0.0021860459819436073
Total test time: 0.015311929862946272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013153772801160812, model_test_time: 0.0021581570617854595
Total test time: 0.019944701110944152 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016803898150101304, model_test_time: 0.003140802960842848
Total test time: 0.02130754361860454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01818153657950461, model_test_time: 0.0031260070390999317
***2_th repeat
Total test time: 0.020867164013907313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018582841847091913, model_test_time: 0.0022843221668154
Total test time: 0.015325060114264488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01318206894211471, model_test_time: 0.0021429911721497774
Total test time: 0.030164796859025955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02801469573751092, model_test_time: 0.0021501011215150356
Total test time: 0.01526846969500184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013115348760038614, model_test_time: 0.0021531209349632263
Total test time: 0.021263006841763854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01816496206447482, model_test_time: 0.003098044777289033
Total test time: 0.02116358163766563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01805705646984279, model_test_time: 0.003106525167822838
Total test time: 0.02125022979453206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018151962896808982, model_test_time: 0.0030982668977230787
Total test time: 0.021220601396635175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018126297276467085, model_test_time: 0.00309430412016809
Total test time: 0.021284749498590827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018119798274710774, model_test_time: 0.0031649512238800526
Total test time: 0.021259156987071037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01811679918318987, model_test_time: 0.0031423578038811684
Total test time: 0.02132684108801186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01814439008012414, model_test_time: 0.003182451007887721
Total test time: 0.021457391092553735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018236275063827634, model_test_time: 0.003221116028726101
Total test time: 0.021451039938256145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018255942035466433, model_test_time: 0.003195097902789712
Total test time: 0.021382300881668925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018182775704190135, model_test_time: 0.0031995251774787903
Total test time: 0.02145868679508567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018260570941492915, model_test_time: 0.0031981158535927534
Total test time: 0.021430893102660775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018216350115835667, model_test_time: 0.0032145429868251085
Total test time: 0.02142443135380745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018263628240674734, model_test_time: 0.0031608031131327152
Total test time: 0.0214222630020231 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018214832060039043, model_test_time: 0.0032074309419840574
Total test time: 0.021428670966997743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018215813906863332, model_test_time: 0.003212857060134411
Total test time: 0.021427262807264924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018214757787063718, model_test_time: 0.003212505020201206
***3_th repeat
Total test time: 0.020083310548216105 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016974283615127206, model_test_time: 0.0031090269330888987
Total test time: 0.019552120240405202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01643731608055532, model_test_time: 0.003114804159849882
Total test time: 0.035000785952433944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.031898445915430784, model_test_time: 0.0031023400370031595
Total test time: 0.01950161997228861 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016411222983151674, model_test_time: 0.0030903969891369343
Total test time: 0.019585801754146814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016435998491942883, model_test_time: 0.003149803262203932
