Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(full)', time='2021-04-09 09:05:29')
***MAWI1_2020, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020462894812226295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01797581883147359, model_test_time: 0.0024870759807527065
Total test time: 0.017853672616183758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01559359161183238, model_test_time: 0.0022600810043513775
Total test time: 0.01784300385043025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01557807088829577, model_test_time: 0.0022649329621344805
Total test time: 0.017879653489217162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015619257697835565, model_test_time: 0.0022603957913815975
Total test time: 0.01792567176744342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01565923891030252, model_test_time: 0.0022664328571408987
Total test time: 0.017941318918019533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01567905186675489, model_test_time: 0.0022622670512646437
Total test time: 0.01891635381616652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015639182645827532, model_test_time: 0.0032771711703389883
Total test time: 0.02468152390792966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02141420589759946, model_test_time: 0.0032673180103302
Total test time: 0.024755377089604735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021431300090625882, model_test_time: 0.0033240769989788532
Total test time: 0.017966892337426543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015698626171797514, model_test_time: 0.0022682661656290293
Total test time: 0.017894690623506904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015628868946805596, model_test_time: 0.0022658216767013073
Total test time: 0.017952541587874293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015597536228597164, model_test_time: 0.002355005359277129
Total test time: 0.02479489427059889 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02145117032341659, model_test_time: 0.0033437239471822977
Total test time: 0.024893503868952394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021625629859045148, model_test_time: 0.0032678740099072456
Total test time: 0.024651526007801294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021377467084676027, model_test_time: 0.003274058923125267
Total test time: 0.02474348619580269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021416520234197378, model_test_time: 0.0033269659616053104
Total test time: 0.02474759821780026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021483724005520344, model_test_time: 0.003263874212279916
Total test time: 0.024760320084169507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02143542910926044, model_test_time: 0.003324890974909067
Total test time: 0.023845136864110827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02157518593594432, model_test_time: 0.0022699509281665087
Total test time: 0.017920966958627105 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01565299811773002, model_test_time: 0.0022679688408970833
***1_th repeat
