Namespace(dataset='MAWI1_2020', feat='stats', gs='True', header='True', model='Nystrom-GMM(full)', time='2021-04-09 09:09:32')
***MAWI1_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.022916990099474788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015457169152796268, model_test_time: 0.007459820946678519
Total test time: 0.01969959493726492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01247293478809297, model_test_time: 0.007226660149171948
Total test time: 0.019739058800041676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012453733943402767, model_test_time: 0.007285324856638908
Total test time: 0.019655819050967693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012355773011222482, model_test_time: 0.007300046039745212
Total test time: 0.026752519188448787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01600343408063054, model_test_time: 0.010749085107818246
Total test time: 0.027658701175823808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016979283187538385, model_test_time: 0.010679417988285422
Total test time: 0.02774916309863329 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0170538742095232, model_test_time: 0.010695288889110088
Total test time: 0.027800737880170345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017099651973694563, model_test_time: 0.010701085906475782
Total test time: 0.027649147668853402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016984154703095555, model_test_time: 0.010664992965757847
Total test time: 0.027735314099118114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01700308104045689, model_test_time: 0.010732233058661222
Total test time: 0.02768834982998669 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01701959688216448, model_test_time: 0.010668752947822213
Total test time: 0.03952930006198585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02888575103133917, model_test_time: 0.010643549030646682
Total test time: 0.027700609061867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017021171050146222, model_test_time: 0.010679438011720777
Total test time: 0.027779738884419203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017036709701642394, model_test_time: 0.010743029182776809
Total test time: 0.027819198090583086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017123002093285322, model_test_time: 0.010696195997297764
Total test time: 0.027686886955052614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01700000511482358, model_test_time: 0.010686881840229034
Total test time: 0.02770131337456405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017034968361258507, model_test_time: 0.010666345013305545
Total test time: 0.01980887306854129 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012448437977582216, model_test_time: 0.007360435090959072
Total test time: 0.01981524215079844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012489843182265759, model_test_time: 0.0073253989685326815
Total test time: 0.019657374126836658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01235786429606378, model_test_time: 0.007299509830772877
***1_th repeat
Total test time: 0.025380991166457534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01834340114146471, model_test_time: 0.007037590024992824
Total test time: 0.02465056418441236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01772567629814148, model_test_time: 0.006924887886270881
Total test time: 0.024550677742809057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017684676917269826, model_test_time: 0.006866000825539231
Total test time: 0.024716896237805486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017767137149348855, model_test_time: 0.006949759088456631
Total test time: 0.024813005467876792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01792354229837656, model_test_time: 0.006889463169500232
Total test time: 0.024771895026788116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017819117987528443, model_test_time: 0.006952777039259672
Total test time: 0.024930370971560478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01784541318193078, model_test_time: 0.007084957789629698
Total test time: 0.02465630485676229 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01780809974297881, model_test_time: 0.006848205113783479
Total test time: 0.026453321566805243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01950708171352744, model_test_time: 0.0069462398532778025
Total test time: 0.024790467927232385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017850931966677308, model_test_time: 0.006939535960555077
Total test time: 0.02482587448321283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017856561578810215, model_test_time: 0.006969312904402614
Total test time: 0.02131154201924801 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016515664057806134, model_test_time: 0.0047958779614418745
Total test time: 0.017782506067305803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012992683099582791, model_test_time: 0.004789822967723012
Total test time: 0.017730952939018607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012975869933143258, model_test_time: 0.004755083005875349
Total test time: 0.01832408830523491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012926944065839052, model_test_time: 0.005397144239395857
Total test time: 0.024693506071344018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01780761731788516, model_test_time: 0.0068858887534588575
Total test time: 0.024856670759618282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01781500782817602, model_test_time: 0.007041662931442261
