Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-09 09:39:03')
***SFRIG1_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02099279430694878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013544347137212753, model_test_time: 0.007448447169736028
Total test time: 0.01845496683381498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011220213957130909, model_test_time: 0.00723475287668407
Total test time: 0.018406376242637634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011173401027917862, model_test_time: 0.007232975214719772
Total test time: 0.01831245538778603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011041538091376424, model_test_time: 0.007270917296409607
Total test time: 0.021610245807096362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011003742925822735, model_test_time: 0.010606502881273627
Total test time: 0.02594092977233231 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015346519649028778, model_test_time: 0.010594410123303533
Total test time: 0.025824733078479767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015232692006975412, model_test_time: 0.010592041071504354
Total test time: 0.025943988235667348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015287673100829124, model_test_time: 0.010656315134838223
Total test time: 0.026526552392169833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015308411326259375, model_test_time: 0.011218141065910459
Total test time: 0.021498861256986856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014270090265199542, model_test_time: 0.007228770991787314
Total test time: 0.01835988136008382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011168458266183734, model_test_time: 0.0071914230939000845
Total test time: 0.018225996056571603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01104920287616551, model_test_time: 0.007176793180406094
Total test time: 0.024781059939414263 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014102004934102297, model_test_time: 0.010679055005311966
Total test time: 0.02594961691647768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015342355240136385, model_test_time: 0.010607261676341295
Total test time: 0.026921016862615943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01547992299310863, model_test_time: 0.011441093869507313
Total test time: 0.025912451092153788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01532720704562962, model_test_time: 0.010585244046524167
Total test time: 0.026142423041164875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015541032189503312, model_test_time: 0.010601390851661563
Total test time: 0.026008058805018663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015409426996484399, model_test_time: 0.010598631808534265
Total test time: 0.02594846999272704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015320837963372469, model_test_time: 0.010627632029354572
Total test time: 0.025934303645044565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015314615797251463, model_test_time: 0.010619687847793102
***1_th repeat
Total test time: 0.02643131883814931 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016045600874349475, model_test_time: 0.010385717963799834
Total test time: 0.019939453806728125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012884469935670495, model_test_time: 0.00705498387105763
Total test time: 0.01850300282239914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011466683819890022, model_test_time: 0.007036319002509117
Total test time: 0.01862349663861096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011518033919855952, model_test_time: 0.007105462718755007
Total test time: 0.021884549176320434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011452834121882915, model_test_time: 0.010431715054437518
