Namespace(dataset='SFRIG1_2020', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-09 09:49:50')
***SFRIG1_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.02456427225843072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02056065620854497, model_test_time: 0.00400361604988575
Total test time: 0.01510847290046513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011250426759943366, model_test_time: 0.0038580461405217648
Total test time: 0.02555853803642094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021688196109607816, model_test_time: 0.0038703419268131256
Total test time: 0.014944552909582853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011076970025897026, model_test_time: 0.0038675828836858273
Total test time: 0.015454462263733149 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011084950063377619, model_test_time: 0.00436951220035553
Total test time: 0.015037124743685126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011113560758531094, model_test_time: 0.003923563985154033
Total test time: 0.014979088911786675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011141079012304544, model_test_time: 0.003838009899482131
Total test time: 0.018848580541089177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013210737379267812, model_test_time: 0.005637843161821365
Total test time: 0.020933254854753613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015344318002462387, model_test_time: 0.005588936852291226
Total test time: 0.021021272288635373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01540550240315497, model_test_time: 0.005615769885480404
Total test time: 0.020839370088651776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015307819936424494, model_test_time: 0.0055315501522272825
Total test time: 0.020827239844948053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01529696793295443, model_test_time: 0.005530271911993623
