Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-09 08:32:55')
***UNB345_3, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01832332811318338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014468174194917083, model_test_time: 0.0038551539182662964
Total test time: 0.015799124259501696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012087801238521934, model_test_time: 0.003711323020979762
Total test time: 0.015633741160854697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011841789120808244, model_test_time: 0.0037919520400464535
Total test time: 0.015578502090647817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011784439207985997, model_test_time: 0.0037940628826618195
Total test time: 0.015426857629790902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011727181263267994, model_test_time: 0.003699676366522908
Total test time: 0.015534574398770928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011811381205916405, model_test_time: 0.0037231931928545237
Total test time: 0.015473261009901762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01176878996193409, model_test_time: 0.0037044710479676723
Total test time: 0.015547316055744886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011812343960627913, model_test_time: 0.003734972095116973
Total test time: 0.01563411089591682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011812937911599874, model_test_time: 0.003821172984316945
Total test time: 0.015580853447318077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01181675330735743, model_test_time: 0.0037641001399606466
Total test time: 0.015528354095295072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01181017910130322, model_test_time: 0.003718174993991852
Total test time: 0.015613722149282694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011893380200490355, model_test_time: 0.0037203419487923384
Total test time: 0.015520520275458694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01180306845344603, model_test_time: 0.003717451822012663
Total test time: 0.02164666005410254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016232745023444295, model_test_time: 0.005413915030658245
Total test time: 0.022437679348513484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017055542208254337, model_test_time: 0.005382137140259147
Total test time: 0.021644847001880407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01627391204237938, model_test_time: 0.005370934959501028
Total test time: 0.021610122872516513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016274411231279373, model_test_time: 0.00533571164123714
Total test time: 0.0216449738945812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01626200322061777, model_test_time: 0.0053829706739634275
Total test time: 0.015426931204274297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011714200023561716, model_test_time: 0.0037127311807125807
Total test time: 0.015589797170832753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011892510112375021, model_test_time: 0.003697287058457732
***1_th repeat
Total test time: 0.01521893567405641 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012482514837756753, model_test_time: 0.002736420836299658
Total test time: 0.01800920721143484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01411723904311657, model_test_time: 0.0038919681683182716
Total test time: 0.020823493134230375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01676560309715569, model_test_time: 0.004057890037074685
Total test time: 0.02078338200226426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01689119217917323, model_test_time: 0.00389218982309103
Total test time: 0.02059248019941151 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016686753137037158, model_test_time: 0.0039057270623743534
Total test time: 0.02057840791530907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669277297332883, model_test_time: 0.0038856349419802427
Total test time: 0.019496856024488807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016748529160395265, model_test_time: 0.002748326864093542
Total test time: 0.014806868741288781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012098467675969005, model_test_time: 0.0027084010653197765
Total test time: 0.0149321467615664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220151955261827, model_test_time: 0.002711994806304574
Total test time: 0.014844665303826332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012140244245529175, model_test_time: 0.0027044210582971573
Total test time: 0.015031254151836038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01227825996465981, model_test_time: 0.0027529941871762276
Total test time: 0.014863719930872321 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0121547628659755, model_test_time: 0.002708957064896822
Total test time: 0.014992308802902699 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012290851911529899, model_test_time: 0.0027014568913728
Total test time: 0.014952071011066437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012238966068252921, model_test_time: 0.0027131049428135157
Total test time: 0.014870052924379706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012125134002417326, model_test_time: 0.0027449189219623804
Total test time: 0.014877294423058629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01216804119758308, model_test_time: 0.0027092532254755497
Total test time: 0.014918459812179208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01222353894263506, model_test_time: 0.0026949208695441484
Total test time: 0.016053472878411412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012155523989349604, model_test_time: 0.0038979488890618086
Total test time: 0.022667915327474475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01876983721740544, model_test_time: 0.0038980781100690365
Total test time: 0.020699070068076253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016801436198875308, model_test_time: 0.003897633869200945
***2_th repeat
Total test time: 0.022122815949842334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016181024024263024, model_test_time: 0.0059417919255793095
Total test time: 0.022332274820655584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640753890387714, model_test_time: 0.005924735916778445
Total test time: 0.02226857072673738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016361019806936383, model_test_time: 0.005907550919800997
Total test time: 0.022398717002943158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016483757877722383, model_test_time: 0.005914959125220776
Total test time: 0.02225949801504612 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01635905704461038, model_test_time: 0.0059004409704357386
