Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-OCSVM(linear)', time='2021-04-09 08:32:33')
***UNB345_3, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04551602783612907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014373378828167915, model_test_time: 0.031142649007961154
Total test time: 0.04316530283540487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012047468917444348, model_test_time: 0.031117833917960525
Total test time: 0.04331978177651763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012085265014320612, model_test_time: 0.031234516762197018
Total test time: 0.04577078181318939 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012021043803542852, model_test_time: 0.033749738009646535
Total test time: 0.06531389593146741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.029010622994974256, model_test_time: 0.03630327293649316
Total test time: 0.0431100819259882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01199124800041318, model_test_time: 0.031118833925575018
Total test time: 0.04381937952712178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011997246649116278, model_test_time: 0.031822132878005505
Total test time: 0.053271629847586155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016694159945473075, model_test_time: 0.03657746990211308
Total test time: 0.04790382506325841 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016661846078932285, model_test_time: 0.031241978984326124
Total test time: 0.04312199121341109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012076635379344225, model_test_time: 0.031045355834066868
Total test time: 0.043166228802874684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012050245888531208, model_test_time: 0.031115982914343476
Total test time: 0.04310663789510727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012004563119262457, model_test_time: 0.031102074775844812
Total test time: 0.04313023108989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012041711015626788, model_test_time: 0.031088520074263215
Total test time: 0.04296121606603265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01197313703596592, model_test_time: 0.03098807903006673
