Namespace(dataset='UNB345_3', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-09 08:37:47')
***UNB345_3, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019212132319808006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014779341174289584, model_test_time: 0.004432791145518422
Total test time: 0.01628212188370526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011989549966529012, model_test_time: 0.004292571917176247
Total test time: 0.016116754850372672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01182679389603436, model_test_time: 0.004289960954338312
Total test time: 0.016050443518906832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011763297487050295, model_test_time: 0.004287146031856537
Total test time: 0.0161235888954252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011849182890728116, model_test_time: 0.004274406004697084
Total test time: 0.016090460354462266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011745871277526021, model_test_time: 0.004344589076936245
Total test time: 0.016110127326101065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011750797042623162, model_test_time: 0.004359330283477902
Total test time: 0.016147329937666655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011754666920751333, model_test_time: 0.004392663016915321
Total test time: 0.016073811100795865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01178864692337811, model_test_time: 0.004285164177417755
Total test time: 0.016109255142509937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011809295043349266, model_test_time: 0.004299960099160671
Total test time: 0.01622818154282868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01193414581939578, model_test_time: 0.0042940357234328985
Total test time: 0.01806930499151349 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01189714390784502, model_test_time: 0.00617216108366847
Total test time: 0.022648462560027838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636591670103371, model_test_time: 0.006282545858994126
Total test time: 0.02269423916004598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016374249011278152, model_test_time: 0.006319990148767829
Total test time: 0.022652072831988335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016372637823224068, model_test_time: 0.006279435008764267
Total test time: 0.02268196176737547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640580384992063, model_test_time: 0.006276157917454839
Total test time: 0.02268494409509003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016413748962804675, model_test_time: 0.0062711951322853565
Total test time: 0.02243639389052987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016245956998318434, model_test_time: 0.006190436892211437
Total test time: 0.035522941034287214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02921109809540212, model_test_time: 0.006311842938885093
Total test time: 0.02271911082789302 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01634776988066733, model_test_time: 0.00637134094722569
***1_th repeat
Total test time: 0.023061010986566544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017713831970468163, model_test_time: 0.00534717901609838
Total test time: 0.016211402136832476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01251202099956572, model_test_time: 0.003699381137266755
Total test time: 0.016300288029015064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012584500014781952, model_test_time: 0.0037157880142331123
