Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-09 08:33:11')
***UNB345_3, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.026803509099408984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.022387495962902904, model_test_time: 0.004416013136506081
Total test time: 0.015910326736047864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01162827480584383, model_test_time: 0.004282051930204034
Total test time: 0.01595423393882811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011670737992972136, model_test_time: 0.004283495945855975
Total test time: 0.015921084908768535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011623997008427978, model_test_time: 0.004297087900340557
Total test time: 0.0158930120524019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011615626979619265, model_test_time: 0.004277385072782636
Total test time: 0.01596654881723225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01162831299006939, model_test_time: 0.004338235827162862
Total test time: 0.015860458137467504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011514815036207438, model_test_time: 0.004345643101260066
Total test time: 0.015807663090527058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011468315962702036, model_test_time: 0.004339347127825022
Total test time: 0.01581473578698933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011534479912370443, model_test_time: 0.004280255874618888
Total test time: 0.022061800817027688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015848068986088037, model_test_time: 0.0062137318309396505
Total test time: 0.022124558920040727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015945457154884934, model_test_time: 0.006179101765155792
Total test time: 0.020192047813907266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015882199862971902, model_test_time: 0.004309847950935364
Total test time: 0.015952307963743806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01160455378703773, model_test_time: 0.004347754176706076
Total test time: 0.015858197584748268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01150905480608344, model_test_time: 0.004349142778664827
Total test time: 0.01584934606216848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01155144302174449, model_test_time: 0.004297903040423989
Total test time: 0.022091724211350083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015846328111365438, model_test_time: 0.006245396099984646
Total test time: 0.022029764484614134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01584394136443734, model_test_time: 0.006185823120176792
Total test time: 0.02030806173570454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015901363920420408, model_test_time: 0.004406697815284133
Total test time: 0.015930622350424528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011620720149949193, model_test_time: 0.004309902200475335
Total test time: 0.015862624859437346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011519795749336481, model_test_time: 0.004342829110100865
***1_th repeat
Total test time: 0.016194044146686792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012501312186941504, model_test_time: 0.003692731959745288
Total test time: 0.01597712212242186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012226132908836007, model_test_time: 0.0037509892135858536
Total test time: 0.0160996753256768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01234251819550991, model_test_time: 0.0037571571301668882
Total test time: 0.016003417316824198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012233021203428507, model_test_time: 0.003770396113395691
Total test time: 0.017587919952347875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012194263050332665, model_test_time: 0.005393656902015209
Total test time: 0.02229355415329337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016946656396612525, model_test_time: 0.005346897756680846
Total test time: 0.022338328883051872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016921174013987184, model_test_time: 0.005417154869064689
Total test time: 0.0159896407276392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012302408693358302, model_test_time: 0.003687232034280896
Total test time: 0.015955141047015786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012257891008630395, model_test_time: 0.0036972500383853912
Total test time: 0.01605547242797911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012302759336307645, model_test_time: 0.003752713091671467
Total test time: 0.01608926593326032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01231203693896532, model_test_time: 0.003777228994295001
Total test time: 0.015942030120640993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012188151013106108, model_test_time: 0.0037538791075348854
Total test time: 0.015905993059277534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012212965870276093, model_test_time: 0.003693027189001441
Total test time: 0.015979252057150006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012289464240893722, model_test_time: 0.0036897878162562847
Total test time: 0.021730123087763786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01607997203245759, model_test_time: 0.005650151055306196
Total test time: 0.022300163051113486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01699639391154051, model_test_time: 0.005303769139572978
Total test time: 0.020865624770522118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01688797282986343, model_test_time: 0.0039776519406586885
Total test time: 0.015932716196402907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012252502143383026, model_test_time: 0.0036802140530198812
Total test time: 0.016031638951972127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012303462950512767, model_test_time: 0.00372817600145936
Total test time: 0.01601073215715587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012243002187460661, model_test_time: 0.0037677299696952105
***2_th repeat
Total test time: 0.015818774001672864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011741495924070477, model_test_time: 0.0040772780776023865
Total test time: 0.015891049290075898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01182095636613667, model_test_time: 0.004070092923939228
Total test time: 0.0158065150026232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011795030906796455, model_test_time: 0.004011484095826745
Total test time: 0.01714205788448453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012037470005452633, model_test_time: 0.005104587879031897
Total test time: 0.02221674076281488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01642559375613928, model_test_time: 0.005791147006675601
Total test time: 0.022356572095304728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016482389299198985, model_test_time: 0.0058741827961057425
Total test time: 0.022376663982868195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016497628996148705, model_test_time: 0.005879034986719489
Total test time: 0.02765010087750852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021876194048672915, model_test_time: 0.005773906828835607
Total test time: 0.020400448236614466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016427649185061455, model_test_time: 0.003972799051553011
Total test time: 0.015948159154504538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01193752815015614, model_test_time: 0.004010631004348397
Total test time: 0.015925087733194232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011866011889651418, model_test_time: 0.004059075843542814
Total test time: 0.016018454218283296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011957601411268115, model_test_time: 0.004060852807015181
Total test time: 0.02216487075202167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016428222879767418, model_test_time: 0.0057366478722542524
Total test time: 0.022206629859283566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016427944879978895, model_test_time: 0.005778684979304671
Total test time: 0.022479069186374545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016571145970374346, model_test_time: 0.005907923216000199
Total test time: 0.022424106020480394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01653985003940761, model_test_time: 0.0058842559810727835
Total test time: 0.02247345889918506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01654194388538599, model_test_time: 0.005931515013799071
Total test time: 0.022358145099133253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01645472226664424, model_test_time: 0.005903422832489014
Total test time: 0.02237340505234897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016471907030791044, model_test_time: 0.005901498021557927
Total test time: 0.02225255430676043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016418445156887174, model_test_time: 0.005834109149873257
***3_th repeat
Total test time: 0.02327001327648759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017864598194137216, model_test_time: 0.005405415082350373
Total test time: 0.02294987183995545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017491883831098676, model_test_time: 0.005457988008856773
Total test time: 0.022813504096120596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01742312591522932, model_test_time: 0.005390378180891275
Total test time: 0.022804505191743374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01743277395144105, model_test_time: 0.005371731240302324
Total test time: 0.01955533749423921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01571757229976356, model_test_time: 0.003837765194475651
Total test time: 0.01633968809619546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012567050056532025, model_test_time: 0.003772638039663434
Total test time: 0.016186432214453816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012480312027037144, model_test_time: 0.0037061201874166727
Total test time: 0.016331263119354844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012640457134693861, model_test_time: 0.003690805984660983
Total test time: 0.0227563944645226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017426328733563423, model_test_time: 0.005330065730959177
Total test time: 0.022846967913210392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017508292105048895, model_test_time: 0.005338675808161497
