Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-09 08:23:39')
***UNB345_3, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018271723063662648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014721947256475687, model_test_time: 0.003549775807186961
Total test time: 0.015878125792369246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012480808887630701, model_test_time: 0.0033973169047385454
Total test time: 0.015726965619251132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012329962803050876, model_test_time: 0.0033970028162002563
Total test time: 0.01583834900520742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012426052009686828, model_test_time: 0.0034122969955205917
Total test time: 0.015855385456234217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012410014634951949, model_test_time: 0.0034453708212822676
Total test time: 0.01591864414513111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239503431133926, model_test_time: 0.003523609833791852
Total test time: 0.01572276116348803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012295942986384034, model_test_time: 0.0034268181771039963
Total test time: 0.015772204380482435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012362628243863583, model_test_time: 0.0034095761366188526
Total test time: 0.01586116384714842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012463977094739676, model_test_time: 0.003397186752408743
Total test time: 0.015775536885485053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012384535046294332, model_test_time: 0.0033910018391907215
Total test time: 0.015734999906271696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012338090920820832, model_test_time: 0.003396908985450864
Total test time: 0.015833923825994134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012357813073322177, model_test_time: 0.003476110752671957
Total test time: 0.015858183847740293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012408033711835742, model_test_time: 0.0034501501359045506
Total test time: 0.01583523931913078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012337109073996544, model_test_time: 0.0034981302451342344
Total test time: 0.01578511204570532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012391276191920042, model_test_time: 0.0033938358537852764
Total test time: 0.015835459111258388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012443012092262506, model_test_time: 0.003392447018995881
