Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='Nystrom-GMM(diag)', time='2021-04-09 08:33:03')
***UNB345_3, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017800950910896063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014397138729691505, model_test_time: 0.0034038121812045574
Total test time: 0.01502301194705069 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011843342799693346, model_test_time: 0.0031796691473573446
Total test time: 0.01518480689264834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012005377793684602, model_test_time: 0.0031794290989637375
Total test time: 0.01511938194744289 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011922324076294899, model_test_time: 0.0031970578711479902
Total test time: 0.015195176936686039 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011950379936024547, model_test_time: 0.0032447970006614923
Total test time: 0.015078124357387424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011891770176589489, model_test_time: 0.0031863541807979345
Total test time: 0.021096136886626482 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016513628885149956, model_test_time: 0.004582508001476526
Total test time: 0.03166669374331832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.027061648899689317, model_test_time: 0.004605044843629003
Total test time: 0.021225225878879428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016597255831584334, model_test_time: 0.0046279700472950935
Total test time: 0.021097579738125205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016495368909090757, model_test_time: 0.004602210829034448
Total test time: 0.02103330404497683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01641920511610806, model_test_time: 0.004614098928868771
Total test time: 0.021043321816250682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016437647864222527, model_test_time: 0.004605673952028155
Total test time: 0.021187838166952133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016581201227381825, model_test_time: 0.004606636939570308
Total test time: 0.019216788467019796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015939547214657068, model_test_time: 0.003277241252362728
Total test time: 0.015089530032128096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011895509203895926, model_test_time: 0.003194020828232169
Total test time: 0.015260805143043399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012083894107490778, model_test_time: 0.003176911035552621
Total test time: 0.015027939807623625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011844937922433019, model_test_time: 0.003183001885190606
Total test time: 0.021110895555466413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016494906274601817, model_test_time: 0.004615989280864596
Total test time: 0.021183690056204796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016567497048527002, model_test_time: 0.0046161930076777935
