Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-09 08:25:21')
***UNB345_3, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01961036422289908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015212160302326083, model_test_time: 0.004398203920572996
Total test time: 0.016467542154714465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012167558073997498, model_test_time: 0.004299984080716968
Total test time: 0.016506372950971127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220279080793262, model_test_time: 0.004286093870177865
Total test time: 0.016488041961565614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012182928854599595, model_test_time: 0.004305113106966019
Total test time: 0.016467726323753595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012163076316937804, model_test_time: 0.004304650006815791
Total test time: 0.01638519112020731 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012075189966708422, model_test_time: 0.004310001153498888
Total test time: 0.01652353908866644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012234980938956141, model_test_time: 0.004288558149710298
Total test time: 0.01645924453623593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012158057652413845, model_test_time: 0.0043011868838220835
Total test time: 0.016477095894515514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01211233576759696, model_test_time: 0.004364760126918554
Total test time: 0.016511392081156373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012125094886869192, model_test_time: 0.004386297194287181
Total test time: 0.01659557456150651 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012179353507235646, model_test_time: 0.0044162210542708635
Total test time: 0.0166041674092412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012164891231805086, model_test_time: 0.004439276177436113
Total test time: 0.01655150088481605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012153667863458395, model_test_time: 0.0043978330213576555
Total test time: 0.016398468986153603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012062413152307272, model_test_time: 0.004336055833846331
Total test time: 0.01648203982040286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012167445849627256, model_test_time: 0.004314593970775604
Total test time: 0.017032174160704017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012701858999207616, model_test_time: 0.004330315161496401
Total test time: 0.01654076110571623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01221248204819858, model_test_time: 0.004328279057517648
Total test time: 0.016587628284469247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012260017218068242, model_test_time: 0.004327611066401005
Total test time: 0.016492909286171198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01215446530841291, model_test_time: 0.004338443977758288
Total test time: 0.016498929355293512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012174280127510428, model_test_time: 0.004324649227783084
***1_th repeat
Total test time: 0.01684004976414144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0131689237896353, model_test_time: 0.0036711259745061398
Total test time: 0.016562981996685266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012845449149608612, model_test_time: 0.0037175328470766544
Total test time: 0.01643933798186481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012777692871168256, model_test_time: 0.003661645110696554
Total test time: 0.016450726194307208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012814211193472147, model_test_time: 0.003636515000835061
Total test time: 0.016479243291541934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012815190013498068, model_test_time: 0.003664053278043866
Total test time: 0.016501152189448476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012847673147916794, model_test_time: 0.003653479041531682
Total test time: 0.01657729735597968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012872635386884212, model_test_time: 0.0037046619690954685
Total test time: 0.016589964274317026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012772971065714955, model_test_time: 0.003816993208602071
Total test time: 0.016480337595567107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012746804859489202, model_test_time: 0.0037335327360779047
Total test time: 0.016515596071258187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012765415012836456, model_test_time: 0.003750181058421731
Total test time: 0.01650961278937757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012793746776878834, model_test_time: 0.0037158660124987364
Total test time: 0.016432930016890168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012759636854752898, model_test_time: 0.00367329316213727
Total test time: 0.016452557872980833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012782840058207512, model_test_time: 0.003669717814773321
Total test time: 0.016617483692243695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012866673991084099, model_test_time: 0.0037508097011595964
Total test time: 0.01653217035345733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012858951231464744, model_test_time: 0.003673219121992588
Total test time: 0.022887293016538024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017633663024753332, model_test_time: 0.005253629991784692
Total test time: 0.022950479527935386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017679664306342602, model_test_time: 0.005270815221592784
Total test time: 0.019960357109084725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01631043408997357, model_test_time: 0.0036499230191111565
Total test time: 0.028990754624828696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.025283017894253135, model_test_time: 0.0037077367305755615
Total test time: 0.016397116240113974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012760470388457179, model_test_time: 0.0036366458516567945
***2_th repeat
Total test time: 0.016258970135822892 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012412384850904346, model_test_time: 0.0038465852849185467
Total test time: 0.01649168785661459 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012650768971070647, model_test_time: 0.0038409188855439425
Total test time: 0.016460242681205273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012611380778253078, model_test_time: 0.003848861902952194
Total test time: 0.016483799321576953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01263082423247397, model_test_time: 0.0038529750891029835
Total test time: 0.016518370946869254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01266337907873094, model_test_time: 0.0038549918681383133
Total test time: 0.01655024173669517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012654916616156697, model_test_time: 0.003895325120538473
Total test time: 0.016581315780058503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012667638948187232, model_test_time: 0.003913676831871271
Total test time: 0.016551964916288853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012600714806467295, model_test_time: 0.003951250109821558
Total test time: 0.016520594945177436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012602269882336259, model_test_time: 0.003918325062841177
Total test time: 0.016497649950906634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012589714722707868, model_test_time: 0.003907935228198767
Total test time: 0.016412856988608837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01255786488763988, model_test_time: 0.003854992100968957
Total test time: 0.0164610231295228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012600327143445611, model_test_time: 0.0038606959860771894
Total test time: 0.01660055690445006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012659732950851321, model_test_time: 0.003940823953598738
Total test time: 0.01655520498752594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012687157141044736, model_test_time: 0.003868047846481204
