Namespace(dataset='UNB345_3', feat='stats', gs='False', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-09 08:36:07')
***UNB345_3, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02444823505356908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014810892986133695, model_test_time: 0.009637342067435384
Total test time: 0.021147750783711672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011658202856779099, model_test_time: 0.009489547926932573
Total test time: 0.021393729140982032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011817199876531959, model_test_time: 0.009576529264450073
Total test time: 0.021258767694234848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01168486988171935, model_test_time: 0.009573897812515497
Total test time: 0.021260307170450687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011642465135082603, model_test_time: 0.009617842035368085
Total test time: 0.02130710007622838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011737943161278963, model_test_time: 0.009569156914949417
Total test time: 0.021263193804770708 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01176803489215672, model_test_time: 0.009495158912613988
Total test time: 0.02138418983668089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011764626018702984, model_test_time: 0.009619563817977905
Total test time: 0.02118815784342587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011689794948324561, model_test_time: 0.009498362895101309
Total test time: 0.030235440004616976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01624913909472525, model_test_time: 0.013986300909891725
Total test time: 0.030304715735837817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016218268778175116, model_test_time: 0.014086446957662702
Total test time: 0.027759012300521135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018263186095282435, model_test_time: 0.0094958262052387
Total test time: 0.030881739920005202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02138974703848362, model_test_time: 0.009491992881521583
Total test time: 0.024249443551525474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011651093373075128, model_test_time: 0.012598350178450346
Total test time: 0.030260420870035887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01629115710966289, model_test_time: 0.013969263760372996
Total test time: 0.03011533315293491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016170179238542914, model_test_time: 0.013945153914391994
Total test time: 0.030123812844976783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016228417865931988, model_test_time: 0.013895394979044795
Total test time: 0.029635657090693712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016221381025388837, model_test_time: 0.013414276065304875
Total test time: 0.021136309253051877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011640963144600391, model_test_time: 0.009495346108451486
Total test time: 0.021296082064509392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011785349110141397, model_test_time: 0.009510732954367995
***1_th repeat
Total test time: 0.021503505995497108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012635183986276388, model_test_time: 0.00886832200922072
Total test time: 0.021361323073506355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012452502036467195, model_test_time: 0.00890882103703916
Total test time: 0.02131522912532091 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012387094087898731, model_test_time: 0.00892813503742218
Total test time: 0.024366606259718537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012618663487955928, model_test_time: 0.01174794277176261
Total test time: 0.03021047543734312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017180764582008123, model_test_time: 0.013029710855334997
Total test time: 0.028710697079077363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017283728113397956, model_test_time: 0.011426968965679407
Total test time: 0.02139861905016005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012449057074263692, model_test_time: 0.008949561975896358
Total test time: 0.02131887781433761 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012426038039848208, model_test_time: 0.008892839774489403
Total test time: 0.023542052833363414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012394874123856425, model_test_time: 0.011147178709506989
Total test time: 0.03017681185156107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017123101744800806, model_test_time: 0.013053710106760263
Total test time: 0.029288480058312416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717584114521742, model_test_time: 0.012112638913094997
Total test time: 0.02126756520010531 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012419909005984664, model_test_time: 0.008847656194120646
Total test time: 0.02136739739216864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01244520558975637, model_test_time: 0.008922191802412271
Total test time: 0.022907675709575415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012425093678757548, model_test_time: 0.010482582030817866
Total test time: 0.030388252809643745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017261784756556153, model_test_time: 0.013126468053087592
Total test time: 0.02988900407217443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01726950705051422, model_test_time: 0.012619497021660209
Total test time: 0.021459951298311353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012441762257367373, model_test_time: 0.00901818904094398
Total test time: 0.021412653848528862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012425649911165237, model_test_time: 0.008987003937363625
Total test time: 0.02248159213922918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012479204218834639, model_test_time: 0.01000238792039454
Total test time: 0.030342290177941322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017197562847286463, model_test_time: 0.01314472733065486
***2_th repeat
Total test time: 0.03002733294852078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01649926300160587, model_test_time: 0.013528069946914911
Total test time: 0.030243754386901855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016616761218756437, model_test_time: 0.013626993168145418
Total test time: 0.03030347521416843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663455623202026, model_test_time: 0.01366891898214817
Total test time: 0.03017746191471815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668661180883646, model_test_time: 0.013490850105881691
Total test time: 0.030198849039152265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671938900835812, model_test_time: 0.013479460030794144
Total test time: 0.021234157728031278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012030916754156351, model_test_time: 0.009203240973874927
Total test time: 0.02121686260215938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012036694679409266, model_test_time: 0.009180167922750115
Total test time: 0.030361400917172432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0191061869263649, model_test_time: 0.011255213990807533
Total test time: 0.04713345365598798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.033478219993412495, model_test_time: 0.013655233662575483
Total test time: 0.030193849932402372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016708759823814034, model_test_time: 0.013485090108588338
