Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-09 08:23:54')
***UNB345_3, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.3811401550192386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.702984243631363e-06, model_test_time: 0.38113045203499496
Total test time: 0.3819229919463396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.072324812412262e-05, model_test_time: 0.3819122686982155
Total test time: 0.38100802805274725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0203104466199875e-05, model_test_time: 0.38099782494828105
Total test time: 0.3805955008137971 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0685063898563385e-05, model_test_time: 0.38058481574989855
Total test time: 0.3800873279105872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.072208397090435e-05, model_test_time: 0.3800766058266163
Total test time: 0.39727775868959725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0628718882799149e-05, model_test_time: 0.39726712997071445
Total test time: 0.38039622618816793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.040613278746605e-05, model_test_time: 0.38038582005538046
Total test time: 0.3810654547996819 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0333722457289696e-05, model_test_time: 0.3810551210772246
Total test time: 0.380110900150612 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.012999564409256e-05, model_test_time: 0.3801007701549679
Total test time: 0.3801772501319647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0795891284942627e-05, model_test_time: 0.38016645424067974
Total test time: 0.37954733800143003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0573770850896835e-05, model_test_time: 0.37953676423057914
Total test time: 0.3800804018974304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0240823030471802e-05, model_test_time: 0.38007016107439995
Total test time: 0.38005662499926984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.981915354728699e-06, model_test_time: 0.3800466430839151
Total test time: 0.38069777796044946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0592862963676453e-05, model_test_time: 0.3806871850974858
Total test time: 0.3801959156990051 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0535819455981255e-05, model_test_time: 0.38018537987954915
Total test time: 0.3800090136937797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0999850928783417e-05, model_test_time: 0.3799980138428509
Total test time: 0.3816950349137187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0426854714751244e-05, model_test_time: 0.38168460805900395
Total test time: 0.38006262411363423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0426156222820282e-05, model_test_time: 0.3800521979574114
Total test time: 0.37997201294638216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0295072570443153e-05, model_test_time: 0.3799617178738117
