Namespace(dataset='AECHO1_2020', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-05 18:30:32')
***AECHO1_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02644809172488749 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01792161795310676, model_test_time: 0.00852647377178073
Total test time: 0.024387361016124487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016215844079852104, model_test_time: 0.008171516936272383
Total test time: 0.024299024837091565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016080318950116634, model_test_time: 0.00821870588697493
Total test time: 0.024057873524725437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593271130695939, model_test_time: 0.008125162217766047
Total test time: 0.02432553586550057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015896043041720986, model_test_time: 0.008429492823779583
Total test time: 0.02420860598795116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602495275437832, model_test_time: 0.00818365323357284
Total test time: 0.02433829684741795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015910262940451503, model_test_time: 0.008428033906966448
Total test time: 0.024274337338283658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01595271215774119, model_test_time: 0.008321625180542469
Total test time: 0.0241415211930871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593875326216221, model_test_time: 0.008202767930924892
Total test time: 0.024178708670660853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015969378873705864, model_test_time: 0.00820932979695499
Total test time: 0.024249649373814464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015930420020595193, model_test_time: 0.00831922935321927
Total test time: 0.024182198802009225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0158774487208575, model_test_time: 0.008304750081151724
Total test time: 0.02406636392697692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01587901310995221, model_test_time: 0.008187350817024708
Total test time: 0.024329911218956113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015968233114108443, model_test_time: 0.00836167810484767
Total test time: 0.02434011921286583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015998285030946136, model_test_time: 0.008341834181919694
Total test time: 0.024308816995471716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01590724103152752, model_test_time: 0.008401575963944197
Total test time: 0.02423308650031686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593974349088967, model_test_time: 0.00829334300942719
Total test time: 0.024285586085170507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01600109809078276, model_test_time: 0.008284487994387746
Total test time: 0.02428985806182027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015936305047944188, model_test_time: 0.00835355301387608
Total test time: 0.024167980765923858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015973232686519623, model_test_time: 0.008194748079404235
***1_th repeat
Total test time: 0.026368665043264627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016620908165350556, model_test_time: 0.009747756877914071
Total test time: 0.02579474076628685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01612688205204904, model_test_time: 0.00966785871423781
Total test time: 0.027218632865697145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016009847866371274, model_test_time: 0.011208784999325871
Total test time: 0.02616975177079439 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016242719953879714, model_test_time: 0.009927031816914678
Total test time: 0.02597302687354386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01620756182819605, model_test_time: 0.00976546504534781
Total test time: 0.02577828336507082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016103081172332168, model_test_time: 0.009675202192738652
Total test time: 0.030883313389495015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02088841423392296, model_test_time: 0.009994899155572057
Total test time: 0.025917246006429195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016199802048504353, model_test_time: 0.009717443957924843
Total test time: 0.025811044266447425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016148654045537114, model_test_time: 0.00966239022091031
Total test time: 0.02598667494021356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016139436047524214, model_test_time: 0.009847238892689347
Total test time: 0.025857297237962484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016165061853826046, model_test_time: 0.009692235384136438
Total test time: 0.026027664775028825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610813196748495, model_test_time: 0.009919532807543874
Total test time: 0.025743801845237613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01609724690206349, model_test_time: 0.009646554943174124
Total test time: 0.026044228579849005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0161650103982538, model_test_time: 0.009879218181595206
Total test time: 0.02613891731016338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016145528061315417, model_test_time: 0.009993389248847961
Total test time: 0.02604860090650618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016119068954139948, model_test_time: 0.009929531952366233
Total test time: 0.026004800107330084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016122040105983615, model_test_time: 0.009882760001346469
Total test time: 0.02584432507865131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016145894303917885, model_test_time: 0.009698430774733424
Total test time: 0.02586849220097065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016072350088506937, model_test_time: 0.009796142112463713
Total test time: 0.0258439090102911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610406907275319, model_test_time: 0.009739839937537909
***2_th repeat
Total test time: 0.02608943614177406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01620834320783615, model_test_time: 0.009881092933937907
Total test time: 0.025828283978626132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016078235814347863, model_test_time: 0.009750048164278269
Total test time: 0.02588229486718774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016175424912944436, model_test_time: 0.009706869954243302
Total test time: 0.026002924889326096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01614006096497178, model_test_time: 0.009862863924354315
Total test time: 0.025892556877806783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01616834197193384, model_test_time: 0.009724214905872941
Total test time: 0.026153397979214787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016145166009664536, model_test_time: 0.010008231969550252
Total test time: 0.03374375216662884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02384390914812684, model_test_time: 0.009899843018501997
Total test time: 0.02592255687341094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016189540969207883, model_test_time: 0.009733015904203057
Total test time: 0.025998392840847373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016169645125046372, model_test_time: 0.009828747715801
Total test time: 0.026154230115935206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016205999068915844, model_test_time: 0.009948231047019362
Total test time: 0.025801928946748376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016114696161821485, model_test_time: 0.009687232784926891
Total test time: 0.025892348028719425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01616870705038309, model_test_time: 0.009723640978336334
Total test time: 0.02587255509570241 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016167144291102886, model_test_time: 0.009705410804599524
Total test time: 0.025810993742197752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016112507786601782, model_test_time: 0.00969848595559597
Total test time: 0.02609303197823465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01618886413052678, model_test_time: 0.009904167847707868
Total test time: 0.02624532487243414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016172091010957956, model_test_time: 0.010073233861476183
Total test time: 0.025981620885431767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016063026851043105, model_test_time: 0.009918594034388661
Total test time: 0.025851877871900797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01615078980103135, model_test_time: 0.009701088070869446
Total test time: 0.025891619035974145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016047714045271277, model_test_time: 0.009843904990702868
Total test time: 0.025981517741456628 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016109694726765156, model_test_time: 0.009871823014691472
***3_th repeat
Total test time: 0.020268710097298026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016072871163487434, model_test_time: 0.004195838933810592
Total test time: 0.020086257020011544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016019640024751425, model_test_time: 0.0040666169952601194
Total test time: 0.020122299902141094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016130164032801986, model_test_time: 0.0039921358693391085
Total test time: 0.02012568572536111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01612078887410462, model_test_time: 0.00400489685125649
Total test time: 0.020011466229334474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01599563006311655, model_test_time: 0.004015836166217923
Total test time: 0.020037350244820118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016034380067139864, model_test_time: 0.004002970177680254
Total test time: 0.02021204214543104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016155894147232175, model_test_time: 0.004056147998198867
Total test time: 0.020120529690757394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016024171840399504, model_test_time: 0.00409635785035789
Total test time: 0.0200859431643039 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610630820505321, model_test_time: 0.0039796349592506886
Total test time: 0.02010677964426577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016131778713315725, model_test_time: 0.003975000930950046
Total test time: 0.020077769178897142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016101414104923606, model_test_time: 0.0039763550739735365
Total test time: 0.020134956808760762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01606344385072589, model_test_time: 0.004071512958034873
Total test time: 0.02002734993584454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0161027149297297, model_test_time: 0.0039246350061148405
Total test time: 0.020138032035902143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01612974889576435, model_test_time: 0.004008283140137792
Total test time: 0.020020161755383015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01603339076973498, model_test_time: 0.003986770985648036
Total test time: 0.02023157523944974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016180739039555192, model_test_time: 0.0040508361998945475
Total test time: 0.019992351299151778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016058027045801282, model_test_time: 0.003934324253350496
Total test time: 0.02018495788797736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016129694879055023, model_test_time: 0.0040552630089223385
Total test time: 0.020051309373229742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016096413135528564, model_test_time: 0.003954896237701178
Total test time: 0.02000474533997476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016040214337408543, model_test_time: 0.003964531002566218
***4_th repeat
Total test time: 0.02687128074467182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016310117905959487, model_test_time: 0.010561162838712335
Total test time: 0.026685233926400542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016158655053004622, model_test_time: 0.01052657887339592
Total test time: 0.026579658966511488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016102508176118135, model_test_time: 0.010477150790393353
Total test time: 0.026882217032834888 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016086255898699164, model_test_time: 0.010795961134135723
Total test time: 0.02672559767961502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01601229584775865, model_test_time: 0.01071330183185637
Total test time: 0.026483772322535515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01595073426142335, model_test_time: 0.010533038061112165
Total test time: 0.02656559692695737 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016002140939235687, model_test_time: 0.010563455987721682
Total test time: 0.026463404297828674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015985420206561685, model_test_time: 0.01047798409126699
Total test time: 0.0267008061055094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016022765077650547, model_test_time: 0.010678041027858853
