Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(diag)', time='2021-04-05 18:43:29')
***AECHO1_2020, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01949837920255959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017107170075178146, model_test_time: 0.002391209127381444
Total test time: 0.017437334405258298 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015187640208750963, model_test_time: 0.0022496941965073347
Total test time: 0.01737332111224532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015208733035251498, model_test_time: 0.002164588076993823
Total test time: 0.017415978712961078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015178679954260588, model_test_time: 0.00223729875870049
Total test time: 0.017580149928107858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015430040890350938, model_test_time: 0.00215010903775692
Total test time: 0.01740467664785683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015193629777058959, model_test_time: 0.0022110468707978725
Total test time: 0.017322750063613057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015155452070757747, model_test_time: 0.0021672979928553104
Total test time: 0.017386447172611952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015253318240866065, model_test_time: 0.002133128931745887
Total test time: 0.017462232150137424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015276808990165591, model_test_time: 0.0021854231599718332
Total test time: 0.017322382889688015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01518982695415616, model_test_time: 0.0021325559355318546
Total test time: 0.01742827077396214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015255453996360302, model_test_time: 0.002172816777601838
Total test time: 0.01733092707581818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015146441059187055, model_test_time: 0.0021844860166311264
Total test time: 0.017367957159876823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015235558152198792, model_test_time: 0.002132399007678032
Total test time: 0.01745842699892819 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01527837011963129, model_test_time: 0.002180056879296899
Total test time: 0.0173596260137856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01524045504629612, model_test_time: 0.002119170967489481
Total test time: 0.017400251235812902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015176494140177965, model_test_time: 0.0022237570956349373
