Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-05 17:29:06')
***CTU1, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.023403017781674862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015561037929728627, model_test_time: 0.007841979851946235
Total test time: 0.021370567847043276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013826149050146341, model_test_time: 0.0075444187968969345
Total test time: 0.021266764029860497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013687916100025177, model_test_time: 0.0075788479298353195
Total test time: 0.021213794825598598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013727187877520919, model_test_time: 0.007486606948077679
Total test time: 0.02128978492692113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013745157048106194, model_test_time: 0.007544627878814936
Total test time: 0.021162543212994933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013677656184881926, model_test_time: 0.0074848870281130075
Total test time: 0.021438173949718475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013797970721498132, model_test_time: 0.007640203228220344
Total test time: 0.02138728811405599 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01370354206301272, model_test_time: 0.007683746051043272
Total test time: 0.02128759794868529 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013714114902541041, model_test_time: 0.007573483046144247
Total test time: 0.021344837732613087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013730469858273864, model_test_time: 0.007614367874339223
Total test time: 0.02136874501593411 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013776720967143774, model_test_time: 0.007592024048790336
Total test time: 0.02124989009462297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013684271136298776, model_test_time: 0.007565618958324194
Total test time: 0.021414320217445493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013781148241832852, model_test_time: 0.00763317197561264
Total test time: 0.021468384191393852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013766563963145018, model_test_time: 0.007701820228248835
Total test time: 0.021657763980329037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013910995097830892, model_test_time: 0.007746768882498145
Total test time: 0.021496718982234597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013776148902252316, model_test_time: 0.007720570079982281
Total test time: 0.02140411059372127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013684425735846162, model_test_time: 0.007719684857875109
Total test time: 0.021242545219138265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013642135076224804, model_test_time: 0.007600410142913461
Total test time: 0.021304421359673142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013716407120227814, model_test_time: 0.007588014239445329
Total test time: 0.02125639794394374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013768906937912107, model_test_time: 0.007487491006031632
***1_th repeat
Total test time: 0.019276398699730635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013855108758434653, model_test_time: 0.005421289941295981
Total test time: 0.018861073069274426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01366697670891881, model_test_time: 0.005194096360355616
Total test time: 0.018931284081190825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013802502071484923, model_test_time: 0.005128782009705901
Total test time: 0.019060038262978196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013852816307917237, model_test_time: 0.005207221955060959
Total test time: 0.01904696528799832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013777033193036914, model_test_time: 0.005269932094961405
Total test time: 0.01894727535545826 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013853546231985092, model_test_time: 0.005093729123473167
Total test time: 0.01893675373867154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013788752723485231, model_test_time: 0.00514800101518631
Total test time: 0.01902279770001769 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013821513624861836, model_test_time: 0.005201284075155854
Total test time: 0.01890493114478886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013734012143686414, model_test_time: 0.0051709190011024475
Total test time: 0.018866128055378795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013731199083849788, model_test_time: 0.005134928971529007
Total test time: 0.018886649049818516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013770418940111995, model_test_time: 0.005116230109706521
Total test time: 0.018960608169436455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013719063019379973, model_test_time: 0.005241545150056481
Total test time: 0.018944201758131385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013786720810458064, model_test_time: 0.005157480947673321
Total test time: 0.018928471952676773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013759481022134423, model_test_time: 0.00516899093054235
Total test time: 0.01903404900804162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013768596109002829, model_test_time: 0.005265452899038792
Total test time: 0.018928210251033306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013723489129915833, model_test_time: 0.005204721121117473
Total test time: 0.01910045463591814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013891618698835373, model_test_time: 0.0052088359370827675
Total test time: 0.019073893083259463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013863336993381381, model_test_time: 0.005210556089878082
Total test time: 0.019374059047549963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014101471053436399, model_test_time: 0.0052725879941135645
Total test time: 0.01892649382352829 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01373218884691596, model_test_time: 0.0051943049766123295
***2_th repeat
Total test time: 0.02187412092462182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013846772955730557, model_test_time: 0.008027347968891263
Total test time: 0.021802819101139903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013716197106987238, model_test_time: 0.008086621994152665
Total test time: 0.021621773252263665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013691926142200828, model_test_time: 0.007929847110062838
Total test time: 0.021708389976993203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013741616159677505, model_test_time: 0.007966773817315698
Total test time: 0.02210756903514266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013951101107522845, model_test_time: 0.008156467927619815
Total test time: 0.021602710941806436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013705365126952529, model_test_time: 0.007897345814853907
Total test time: 0.021804904332384467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013718959176912904, model_test_time: 0.008085945155471563
Total test time: 0.02171651483513415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013701561838388443, model_test_time: 0.008014952996745706
Total test time: 0.0218227154109627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01375890732742846, model_test_time: 0.00806380808353424
Total test time: 0.02161797136068344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013734272215515375, model_test_time: 0.007883699145168066
Total test time: 0.021742297802120447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0136998959351331, model_test_time: 0.008042401866987348
Total test time: 0.02163911797106266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01369166700169444, model_test_time: 0.00794745096936822
Total test time: 0.02170776599086821 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013808806193992496, model_test_time: 0.007898959796875715
