Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-05 17:25:08')
***CTU1, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.023335466161370277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015578123042359948, model_test_time: 0.007757343119010329
Total test time: 0.021351819159463048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01368432305753231, model_test_time: 0.0076674961019307375
Total test time: 0.02135244384407997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013754324987530708, model_test_time: 0.007598118856549263
Total test time: 0.021230306243523955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013767867116257548, model_test_time: 0.007462439127266407
Total test time: 0.021334317745640874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013669166015461087, model_test_time: 0.007665151730179787
Total test time: 0.02129322406835854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01370416791178286, model_test_time: 0.00758905615657568
Total test time: 0.02154411398805678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0137711470015347, model_test_time: 0.0077729669865220785
Total test time: 0.021274627884849906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013659321935847402, model_test_time: 0.007615305949002504
Total test time: 0.021660213358700275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013590050162747502, model_test_time: 0.008070163195952773
Total test time: 0.021753964480012655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013617654331028461, model_test_time: 0.008136310148984194
Total test time: 0.021530572790652514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013981048949062824, model_test_time: 0.007549523841589689
Total test time: 0.02120327320881188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013713594991713762, model_test_time: 0.007489678217098117
