Namespace(dataset='CTU1', feat='stats', gs='True', header='True', model='Nystrom-GMM(diag)', time='2021-04-05 17:33:14')
***CTU1, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_True/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019048788119107485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01608803286217153, model_test_time: 0.002960755256935954
Total test time: 0.017264209454879165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014480385696515441, model_test_time: 0.0027838237583637238
Total test time: 0.01713337446562946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014262880198657513, model_test_time: 0.0028704942669719458
Total test time: 0.017097381176427007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014232669956982136, model_test_time: 0.002864711219444871
Total test time: 0.017323845764622092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01440840377472341, model_test_time: 0.0029154419898986816
Total test time: 0.017248220974579453 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01434996584430337, model_test_time: 0.002898255130276084
Total test time: 0.017061131075024605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014297047164291143, model_test_time: 0.0027640839107334614
Total test time: 0.017090714303776622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014226159080862999, model_test_time: 0.002864555222913623
Total test time: 0.016988524002954364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014213659102097154, model_test_time: 0.00277486490085721
Total test time: 0.017071129754185677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014209803892299533, model_test_time: 0.0028613258618861437
Total test time: 0.01703837001696229 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01423412817530334, model_test_time: 0.00280424184165895
Total test time: 0.017068370711058378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014214388793334365, model_test_time: 0.0028539819177240133
