Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-05 18:52:38')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.019826720003038645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015694007044658065, model_test_time: 0.00413271295838058
Total test time: 0.017344624269753695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013468636199831963, model_test_time: 0.003875988069921732
Total test time: 0.017295402940362692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013435146072879434, model_test_time: 0.0038602568674832582
Total test time: 0.017324936110526323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013422750169411302, model_test_time: 0.0039021859411150217
Total test time: 0.01751926331780851 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013389206258580089, model_test_time: 0.00413005705922842
Total test time: 0.017497386783361435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013414154760539532, model_test_time: 0.004083232022821903
Total test time: 0.017398376017808914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013519157888367772, model_test_time: 0.003879218129441142
Total test time: 0.017450564075261354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013636243995279074, model_test_time: 0.0038143200799822807
Total test time: 0.017254465026780963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013458843808621168, model_test_time: 0.003795621218159795
Total test time: 0.017282851738855243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013485876843333244, model_test_time: 0.0037969748955219984
Total test time: 0.01727941306307912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013408894883468747, model_test_time: 0.0038705181796103716
Total test time: 0.01766697596758604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013865155866369605, model_test_time: 0.0038018201012164354
Total test time: 0.017560461070388556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013469207799062133, model_test_time: 0.004091253271326423
Total test time: 0.01746051269583404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013582336949184537, model_test_time: 0.0038781757466495037
Total test time: 0.017335352953523397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01351858489215374, model_test_time: 0.0038167680613696575
Total test time: 0.017253163270652294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013415509136393666, model_test_time: 0.003837654134258628
Total test time: 0.017201286740601063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013401863863691688, model_test_time: 0.003799422876909375
Total test time: 0.01734660309739411 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013448063051328063, model_test_time: 0.0038985400460660458
Total test time: 0.01746785710565746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013642756035551429, model_test_time: 0.0038251010701060295
Total test time: 0.017305352026596665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013443375006318092, model_test_time: 0.003861977020278573
***1_th repeat
Total test time: 0.01732201874256134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013606400927528739, model_test_time: 0.0037156178150326014
Total test time: 0.01729373587295413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013630670960992575, model_test_time: 0.0036630649119615555
Total test time: 0.017300403909757733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013644369784742594, model_test_time: 0.0036560341250151396
Total test time: 0.017218006076291203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013570775045081973, model_test_time: 0.0036472310312092304
Total test time: 0.017280871979892254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013636505929753184, model_test_time: 0.0036443660501390696
Total test time: 0.017301079351454973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013517595361918211, model_test_time: 0.0037834839895367622
Total test time: 0.01719795260578394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013579731807112694, model_test_time: 0.0036182207986712456
Total test time: 0.01742087583988905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01368577778339386, model_test_time: 0.0037350980564951897
Total test time: 0.01740097813308239 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013615410076454282, model_test_time: 0.003785568056628108
Total test time: 0.017153732012957335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013494156068190932, model_test_time: 0.0036595759447664022
Total test time: 0.017396083800122142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013610202819108963, model_test_time: 0.003785880981013179
Total test time: 0.017280820291489363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013616244308650494, model_test_time: 0.003664575982838869
Total test time: 0.017290821066126227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013641505967825651, model_test_time: 0.003649315098300576
Total test time: 0.017176390625536442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01357160764746368, model_test_time: 0.0036047829780727625
Total test time: 0.017385092796757817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013675724621862173, model_test_time: 0.003709368174895644
Total test time: 0.01721826591528952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0135094178840518, model_test_time: 0.0037088480312377214
Total test time: 0.017112430650740862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013501397799700499, model_test_time: 0.0036110328510403633
