Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-05 18:58:02')
***DWSHR_WSHR_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020666793920099735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01574869593605399, model_test_time: 0.004918097984045744
Total test time: 0.018822109093889594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013971357140690088, model_test_time: 0.004850751953199506
Total test time: 0.018443976528942585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013746248790994287, model_test_time: 0.0046977277379482985
Total test time: 0.01846053870394826 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01375895575620234, model_test_time: 0.004701582947745919
Total test time: 0.018402151064947248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01370082888752222, model_test_time: 0.004701322177425027
Total test time: 0.018418559106066823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013669996056705713, model_test_time: 0.00474856304936111
Total test time: 0.018394545884802938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013668172061443329, model_test_time: 0.004726373823359609
Total test time: 0.018355380510911345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01369291334412992, model_test_time: 0.0046624671667814255
Total test time: 0.018360638990998268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013688588980585337, model_test_time: 0.0046720500104129314
Total test time: 0.018589395796880126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013921927893534303, model_test_time: 0.004667467903345823
Total test time: 0.01873825490474701 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014008390717208385, model_test_time: 0.004729864187538624
Total test time: 0.018460590858012438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013739580987021327, model_test_time: 0.004721009870991111
Total test time: 0.018431007163599133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013762549962848425, model_test_time: 0.004668457200750709
Total test time: 0.01844288082793355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013785674935206771, model_test_time: 0.004657205892726779
Total test time: 0.018376994412392378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013692964101210237, model_test_time: 0.004684030311182141
Total test time: 0.018485382664948702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013804633868858218, model_test_time: 0.004680748796090484
Total test time: 0.01835907786153257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013706923695281148, model_test_time: 0.004652154166251421
Total test time: 0.019079878460615873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014320742338895798, model_test_time: 0.004759136121720076
Total test time: 0.018460589926689863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013704058015719056, model_test_time: 0.004756531910970807
Total test time: 0.018621428171172738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013944221893325448, model_test_time: 0.00467720627784729
***1_th repeat
Total test time: 0.018816641066223383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014043860137462616, model_test_time: 0.004772780928760767
Total test time: 0.018648407887667418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013886615866795182, model_test_time: 0.004761792020872235
Total test time: 0.01866241986863315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013956670882180333, model_test_time: 0.004705748986452818
Total test time: 0.018717887811362743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013945991871878505, model_test_time: 0.004771895939484239
Total test time: 0.01887711090967059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014047608710825443, model_test_time: 0.004829502198845148
Total test time: 0.018791953334584832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013930158223956823, model_test_time: 0.004861795110628009
Total test time: 0.018538456177338958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013853802112862468, model_test_time: 0.00468465406447649
Total test time: 0.018583979923278093 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013898438774049282, model_test_time: 0.004685541149228811
Total test time: 0.018702263478189707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01393203274346888, model_test_time: 0.004770230734720826
Total test time: 0.01857085432857275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013823332963511348, model_test_time: 0.004747521365061402
Total test time: 0.0185732482932508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013810884207487106, model_test_time: 0.004762364085763693
Total test time: 0.018616951070725918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013865835033357143, model_test_time: 0.004751116037368774
Total test time: 0.01869429461658001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014009691774845123, model_test_time: 0.004684602841734886
Total test time: 0.018562572076916695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01388411596417427, model_test_time: 0.004678456112742424
Total test time: 0.018579030875116587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013892813818529248, model_test_time: 0.0046862170565873384
Total test time: 0.0186071558855474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013864218723028898, model_test_time: 0.004742937162518501
Total test time: 0.01863236492499709 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013890470145270228, model_test_time: 0.004741894779726863
Total test time: 0.018743776017799973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01378161390312016, model_test_time: 0.004962162114679813
Total test time: 0.018987637013196945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013961096992716193, model_test_time: 0.005026540020480752
Total test time: 0.01890747738070786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013953754212707281, model_test_time: 0.004953723168000579
***2_th repeat
Total test time: 0.018029587110504508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01406766101717949, model_test_time: 0.003961926093325019
Total test time: 0.017829115968197584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013943076133728027, model_test_time: 0.003886039834469557
Total test time: 0.01770302001386881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013830989832058549, model_test_time: 0.00387203018181026
Total test time: 0.01771187107078731 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013764684088528156, model_test_time: 0.003947186982259154
Total test time: 0.017781198723241687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01380984392017126, model_test_time: 0.003971354803070426
Total test time: 0.017854481237009168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013960368232801557, model_test_time: 0.003894113004207611
Total test time: 0.01777109201066196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0138944280333817, model_test_time: 0.003876663977280259
Total test time: 0.017771718092262745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013852708972990513, model_test_time: 0.003919009119272232
Total test time: 0.018229229375720024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014243812067434192, model_test_time: 0.003985417308285832
Total test time: 0.017722341930493712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013831145828589797, model_test_time: 0.0038911961019039154
Total test time: 0.01770609011873603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01381077989935875, model_test_time: 0.0038953102193772793
Total test time: 0.0177886460442096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01389765809290111, model_test_time: 0.003890987951308489
Total test time: 0.017783853923901916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013846563175320625, model_test_time: 0.00393729074858129
