Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-05 18:57:54')
***DWSHR_WSHR_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018151883967220783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015647546853870153, model_test_time: 0.00250433711335063
Total test time: 0.0163370450027287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013888387009501457, model_test_time: 0.0024486579932272434
Total test time: 0.016095736995339394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01378275896422565, model_test_time: 0.0023129780311137438
Total test time: 0.016276418697088957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013862864812836051, model_test_time: 0.002413553884252906
Total test time: 0.016152978874742985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013832708820700645, model_test_time: 0.0023202700540423393
Total test time: 0.01633126218803227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013910989975556731, model_test_time: 0.0024202722124755383
Total test time: 0.016114800004288554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013799479231238365, model_test_time: 0.002315320773050189
Total test time: 0.01965588191524148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017343529034405947, model_test_time: 0.002312352880835533
Total test time: 0.016236680326983333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013894117204472423, model_test_time: 0.00234256312251091
Total test time: 0.016051932238042355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013745986158028245, model_test_time: 0.0023059460800141096
Total test time: 0.01619157404638827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013830001000314951, model_test_time: 0.0023615730460733175
Total test time: 0.016137087950482965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013830205891281366, model_test_time: 0.002306882059201598
Total test time: 0.01641173311509192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013901928206905723, model_test_time: 0.0025098049081861973
Total test time: 0.016279127215966582 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013966982020065188, model_test_time: 0.002312145195901394
Total test time: 0.01621271879412234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013813384808599949, model_test_time: 0.0023993339855223894
Total test time: 0.016256104223430157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013896719086915255, model_test_time: 0.002359385136514902
Total test time: 0.016114798141643405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013818227918818593, model_test_time: 0.002296570222824812
Total test time: 0.016173916403204203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013818437233567238, model_test_time: 0.002355479169636965
Total test time: 0.016182613093405962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013873490039259195, model_test_time: 0.0023091230541467667
Total test time: 0.01633912930265069 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013947138097137213, model_test_time: 0.0023919912055134773
***1_th repeat
Total test time: 0.016457361401990056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014100111089646816, model_test_time: 0.00235725031234324
Total test time: 0.016424912959337234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013986514881253242, model_test_time: 0.002438398078083992
Total test time: 0.016266836319118738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01394870225340128, model_test_time: 0.0023181340657174587
Total test time: 0.016315219923853874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01389744901098311, model_test_time: 0.0024177709128707647
Total test time: 0.016340482281520963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013905469328165054, model_test_time: 0.0024350129533559084
Total test time: 0.016291628126055002 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013975889887660742, model_test_time: 0.0023157382383942604
Total test time: 0.0163300649728626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013917918084189296, model_test_time: 0.0024121468886733055
Total test time: 0.01624745992012322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013929898152127862, model_test_time: 0.0023175617679953575
Total test time: 0.01635199412703514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013934898190200329, model_test_time: 0.002417095936834812
Total test time: 0.016423297114670277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014053703052923083, model_test_time: 0.0023695940617471933
Total test time: 0.016389232128858566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013929011998698115, model_test_time: 0.002460220130160451
Total test time: 0.016378243919461966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014056098880246282, model_test_time: 0.002322145039215684
Total test time: 0.016391681041568518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013968128012493253, model_test_time: 0.002423553029075265
Total test time: 0.016395744867622852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014033494982868433, model_test_time: 0.0023622498847544193
Total test time: 0.016331523191183805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01394755532965064, model_test_time: 0.002383967861533165
Total test time: 0.01643574540503323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01406776625663042, model_test_time: 0.00236797914840281
Total test time: 0.01625454192981124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013935106107965112, model_test_time: 0.0023194358218461275
Total test time: 0.016338085988536477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013976826099678874, model_test_time: 0.002361259888857603
Total test time: 0.01637037913314998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013991930987685919, model_test_time: 0.0023784481454640627
Total test time: 0.01642824593000114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014065162977203727, model_test_time: 0.002363082952797413
***2_th repeat
Total test time: 0.01661184197291732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014196726959198713, model_test_time: 0.002415115013718605
Total test time: 0.016334649175405502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014013390988111496, model_test_time: 0.0023212581872940063
Total test time: 0.016423453111201525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014056673040613532, model_test_time: 0.0023667800705879927
Total test time: 0.016369597986340523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014013339066877961, model_test_time: 0.0023562589194625616
Total test time: 0.016469132155179977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0139634411316365, model_test_time: 0.002505691023543477
Total test time: 0.016376109095290303 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013971098000183702, model_test_time: 0.0024050110951066017
Total test time: 0.01649574702605605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014151934999972582, model_test_time: 0.0023438120260834694
