Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(full)', time='2021-04-05 18:47:09')
***DWSHR_WSHR_2020, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.026113655883818865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015350403962656856, model_test_time: 0.01076325192116201
Total test time: 0.024936698144301772 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013733330182731152, model_test_time: 0.01120336796157062
Total test time: 0.02473356667906046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013903021579608321, model_test_time: 0.010830545099452138
Total test time: 0.02425027173012495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013687754748389125, model_test_time: 0.010562516981735826
Total test time: 0.024143240647390485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013597649987787008, model_test_time: 0.010545590659603477
Total test time: 0.024155532009899616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013627285836264491, model_test_time: 0.010528246173635125
Total test time: 0.024282566970214248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013597388984635472, model_test_time: 0.010685177985578775
Total test time: 0.024353973334655166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013580304104834795, model_test_time: 0.01077366922982037
Total test time: 0.02433392428793013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013675153022632003, model_test_time: 0.010658771265298128
Total test time: 0.024235896533355117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013545406749472022, model_test_time: 0.010690489783883095
Total test time: 0.024282619124278426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013658171985298395, model_test_time: 0.010624447138980031
Total test time: 0.02421891991980374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01360452501103282, model_test_time: 0.010614394908770919
Total test time: 0.024264231091365218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013648170977830887, model_test_time: 0.010616060113534331
Total test time: 0.02427517087198794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013700047973543406, model_test_time: 0.010575122898444533
Total test time: 0.024270744062960148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01366551616229117, model_test_time: 0.010605227900668979
Total test time: 0.024120636051520705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013575514080002904, model_test_time: 0.010545121971517801
Total test time: 0.024206420639529824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013567390386015177, model_test_time: 0.010639030253514647
