Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='True', header='True', model='Nystrom-GMM(full)', time='2021-04-05 18:53:56')
***DWSHR_WSHR_2020, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018651637015864253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016099121887236834, model_test_time: 0.0025525151286274195
Total test time: 0.016758776968345046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014381473883986473, model_test_time: 0.002377303084358573
Total test time: 0.016704347915947437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014356160769239068, model_test_time: 0.0023481871467083693
Total test time: 0.01657116413116455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014196883188560605, model_test_time: 0.0023742809426039457
Total test time: 0.016561007825657725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01421651872806251, model_test_time: 0.002344489097595215
Total test time: 0.016549446154385805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01420615497045219, model_test_time: 0.0023432911839336157
Total test time: 0.016590123996138573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01423438498750329, model_test_time: 0.0023557390086352825
Total test time: 0.016525852028280497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014191780006513, model_test_time: 0.002334072021767497
Total test time: 0.016750752227380872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014372564619407058, model_test_time: 0.002378187607973814
Total test time: 0.016502518206834793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014189228182658553, model_test_time: 0.00231329002417624
Total test time: 0.016639760928228498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01426974986679852, model_test_time: 0.0023700110614299774
Total test time: 0.016486422624439 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014161256840452552, model_test_time: 0.0023251657839864492
Total test time: 0.01661481219343841 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014262823853641748, model_test_time: 0.0023519883397966623
Total test time: 0.016566528705880046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014238030882552266, model_test_time: 0.0023284978233277798
Total test time: 0.016625595279037952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014208396198228002, model_test_time: 0.002417199080809951
Total test time: 0.016573979053646326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014243187848478556, model_test_time: 0.0023307912051677704
Total test time: 0.01654590293765068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014133600983768702, model_test_time: 0.002412301953881979
Total test time: 0.01658668788149953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014216730138286948, model_test_time: 0.0023699577432125807
Total test time: 0.016605959739536047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014204854611307383, model_test_time: 0.0024011051282286644
Total test time: 0.01667840895242989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014257146744057536, model_test_time: 0.0024212622083723545
***1_th repeat
Total test time: 0.020864718593657017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014458507299423218, model_test_time: 0.006406211294233799
Total test time: 0.020756431855261326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014349961886182427, model_test_time: 0.006406469969078898
Total test time: 0.020575802074745297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014287147205322981, model_test_time: 0.0062886548694223166
Total test time: 0.020592365181073546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014203238068148494, model_test_time: 0.006389127112925053
Total test time: 0.020732939476147294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0142953225877136, model_test_time: 0.006437616888433695
Total test time: 0.020759921986609697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014397774823009968, model_test_time: 0.0063621471635997295
Total test time: 0.02072585793212056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014331887941807508, model_test_time: 0.006393969990313053
Total test time: 0.020787525922060013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014259696938097477, model_test_time: 0.006527828983962536
Total test time: 0.020778723061084747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0143438670784235, model_test_time: 0.006434855982661247
Total test time: 0.020781066035851836 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01428443705663085, model_test_time: 0.006496628979220986
Total test time: 0.021101230522617698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014249436790123582, model_test_time: 0.006851793732494116
Total test time: 0.02098633535206318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014340118505060673, model_test_time: 0.006646216847002506
Total test time: 0.02082908945158124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01445116219110787, model_test_time: 0.0063779272604733706
Total test time: 0.020642469869926572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014242093078792095, model_test_time: 0.006400376791134477
Total test time: 0.020851122913882136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014431266114115715, model_test_time: 0.006419856799766421
Total test time: 0.020538667915388942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014214958995580673, model_test_time: 0.0063237089198082685
Total test time: 0.020704607013612986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0143232939299196, model_test_time: 0.006381313083693385
Total test time: 0.02065845998004079 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01425610389560461, model_test_time: 0.006402356084436178
Total test time: 0.020638718968257308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01430610497482121, model_test_time: 0.006332613993436098
Total test time: 0.020598200149834156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014217876130715013, model_test_time: 0.0063803240191191435
***2_th repeat
Total test time: 0.02088721701875329 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014413452241569757, model_test_time: 0.006473764777183533
Total test time: 0.020848360378295183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014434129232540727, model_test_time: 0.0064142311457544565
Total test time: 0.02065340895205736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014295323984697461, model_test_time: 0.0063580849673599005
